Year,State,Value
2023,Alabama,52480000
2023,Arizona,7828000
2023,Arkansas,151890000
2023,California,7120000
2023,Colorado,123830000
2023,Delaware,32508000
2023,Florida,9796000
2023,Georgia,76560000
2023,Idaho,23345000
2023,Illinois,2276300000
2023,Indiana,1077930000
2023,Iowa,2522550000
2023,Kansas,612850000
2023,Kentucky,280500000
2023,Louisiana,119000000
2023,Maryland,72600000
2023,Michigan,346080000
2023,Minnesota,1513300000
2023,Mississippi,139370000
2023,Missouri,561510000
2023,Montana,8772000
2023,Nebraska,1729000000
2023,New Jersey,10920000
2023,New Mexico,7285000
2023,New York,95400000
2023,North Carolina,132300000
2023,North Dakota,543400000
2023,Ohio,673200000
2023,Oklahoma,50660000
2023,Oregon,11770000
2023,Other States,0
2023,Pennsylvania,106760000
2023,South Carolina,52500000
2023,South Dakota,854240000
2023,Tennessee,153970000
2023,Texas,256200000
2023,Utah,4995000
2023,Virginia,58090000
2023,Washington,18000000
2023,West Virginia,4350000
2023,Wisconsin,552640000
2023,Wyoming,8721000
2023,Alabama,55650000
2023,Arkansas,156600000
2023,California,6880000
2023,Colorado,130000000
2023,Delaware,33196000
2023,Georgia,74820000
2023,Idaho,26520000
2023,Illinois,2271300000
2023,Indiana,1049100000
2023,Iowa,2618700000
2023,Kansas,632400000
2023,Kentucky,269700000
2023,Louisiana,95485000
2023,Maryland,70310000
2023,Michigan,348500000
2023,Minnesota,1464000000
2023,Mississippi,125300000
2023,Missouri,497640000
2023,Nebraska,1685440000
2023,New York,104000000
2023,North Carolina,138180000
2023,North Dakota,468000000
2023,Ohio,624570000
2023,Oklahoma,44550000
2023,Other States,77966000
2023,Pennsylvania,139230000
2023,South Carolina,51060000
2023,South Dakota,797500000
2023,Tennessee,162540000
2023,Texas,292600000
2023,Virginia,62400000
2023,Washington,22050000
2023,Wisconsin,514600000
2023,Alabama,56280000
2023,Arkansas,149400000
2023,California,6960000
2023,Colorado,132680000
2023,Delaware,31992000
2023,Georgia,82350000
2023,Idaho,25800000
2023,Illinois,2233000000
2023,Indiana,1076000000
2023,Iowa,2520000000
2023,Kansas,644930000
2023,Kentucky,274500000
2023,Louisiana,119000000
2023,Maryland,71820000
2023,Michigan,350550000
2023,Minnesota,1484200000
2023,Mississippi,140140000
2023,Missouri,539490000
2023,Nebraska,1659070000
2023,New York,101640000
2023,North Carolina,128700000
2023,North Dakota,534820000
2023,Ohio,657150000
2023,Oklahoma,50400000
2023,Other States,77708000
2023,Pennsylvania,129360000
2023,South Carolina,53250000
2023,South Dakota,849680000
2023,Tennessee,158415000
2023,Texas,286000000
2023,Virginia,57750000
2023,Washington,21150000
2023,Wisconsin,530100000
2023,Alabama,55945000
2023,Arkansas,149400000
2023,California,6960000
2023,Colorado,136960000
2023,Delaware,31992000
2023,Georgia,79650000
2023,Idaho,25440000
2023,Illinois,2200000000
2023,Indiana,1059860000
2023,Iowa,2507400000
2023,Kansas,650260000
2023,Kentucky,274500000
2023,Louisiana,119000000
2023,Maryland,66360000
2023,Michigan,348500000
2023,Minnesota,1467800000
2023,Mississippi,140140000
2023,Missouri,517470000
2023,Nebraska,1668660000
2023,New York,98615000
2023,North Carolina,132300000
2023,North Dakota,508640000
2023,Ohio,657150000
2023,Oklahoma,50400000
2023,Other States,77708000
2023,Pennsylvania,129360000
2023,South Carolina,52185000
2023,South Dakota,821730000
2023,Tennessee,154835000
2023,Texas,286000000
2023,Virginia,57000000
2023,Washington,20700000
2023,Wisconsin,511500000
2023,Alabama,55610000
2023,Arkansas,149400000
2023,California,7120000
2023,Colorado,139100000
2023,Delaware,31648000
2023,Georgia,79650000
2023,Idaho,24960000
2023,Illinois,2178000000
2023,Indiana,1043720000
2023,Iowa,2520000000
2023,Kansas,676910000
2023,Kentucky,279000000
2023,Louisiana,119000000
2023,Maryland,67200000
2023,Michigan,354650000
2023,Minnesota,1476000000
2023,Mississippi,140140000
2023,Missouri,532150000
2023,Nebraska,1697430000
2023,New York,99220000
2023,North Carolina,132300000
2023,North Dakota,516120000
2023,Ohio,657150000
2023,Oklahoma,49350000
2023,Other States,77708000
2023,Pennsylvania,131040000
2023,South Carolina,50410000
2023,South Dakota,816140000
2023,Tennessee,154835000
2023,Texas,290400000
2023,Virginia,56250000
2023,Washington,19800000
2023,Wisconsin,511500000
2022,Alabama,34220000
2022,Arizona,9900000
2022,Arkansas,120235000
2022,California,3540000
2022,Colorado,117370000
2022,Delaware,26520000
2022,Florida,9184000
2022,Georgia,65625000
2022,Idaho,22680000
2022,Illinois,2268400000
2022,Indiana,974700000
2022,Iowa,2470000000
2022,Kansas,510600000
2022,Kentucky,207480000
2022,Louisiana,73950000
2022,Maryland,59400000
2022,Michigan,325920000
2022,Minnesota,1460550000
2022,Mississippi,93225000
2022,Missouri,500710000
2022,Montana,7728000
2022,Nebraska,1455300000
2022,New Jersey,6612000
2022,New Mexico,5364000
2022,New York,80230000
2022,North Carolina,97650000
2022,North Dakota,344500000
2022,Ohio,594660000
2022,Oklahoma,24400000
2022,Oregon,10665000
2022,Other States,0
2022,Pennsylvania,90300000
2022,South Carolina,36600000
2022,South Dakota,661320000
2022,Tennessee,102050000
2022,Texas,152950000
2022,Utah,2310000
2022,Virginia,54275000
2022,Washington,17600000
2022,West Virginia,5040000
2022,Wisconsin,538200000
2022,Wyoming,8568000
2022,Alabama,38860000
2022,Arkansas,122820000
2022,California,4400000
2022,Colorado,142780000
2022,Delaware,27864000
2022,Georgia,64740000
2022,Idaho,25200000
