Year,State,Value
2023,Alabama,330000
2023,Arizona,105000
2023,Arkansas,850000
2023,California,400000
2023,Colorado,1330000
2023,Connecticut,24000
2023,Delaware,175000
2023,Florida,90000
2023,Georgia,485000
2023,Idaho,360000
2023,Illinois,11200000
2023,Indiana,5450000
2023,Iowa,13100000
2023,Kansas,5750000
2023,Kentucky,1600000
2023,Louisiana,700000
2023,Maine,28000
2023,Maryland,480000
2023,Massachusetts,14000
2023,Michigan,2400000
2023,Minnesota,8600000
2023,Mississippi,790000
2023,Missouri,3850000
2023,Montana,135000
2023,Nebraska,9950000
2023,Nevada,13000
2023,New Hampshire,13000
2023,New Jersey,74000
2023,New Mexico,125000
2023,New York,1040000
2023,North Carolina,950000
2023,North Dakota,4050000
2023,Ohio,3600000
2023,Oklahoma,390000
2023,Oregon,95000
2023,Other States,0
2023,Pennsylvania,1040000
2023,Rhode Island,2000
2023,South Carolina,365000
2023,South Dakota,6300000
2023,Tennessee,940000
2023,Texas,2500000
2023,Utah,75000
2023,Vermont,89000
2023,Virginia,495000
2023,Washington,160000
2023,West Virginia,44000
2023,Wisconsin,4000000
2023,Wyoming,85000
2022,Alabama,300000
2022,Arizona,90000
2022,Arkansas,710000
2022,California,360000
2022,Colorado,1340000
2022,Connecticut,24000
2022,Delaware,160000
2022,Florida,85000
2022,Georgia,415000
2022,Idaho,310000
2022,Illinois,10800000
2022,Indiana,5250000
2022,Iowa,12900000
2022,Kansas,5500000
2022,Kentucky,1420000
2022,Louisiana,450000
2022,Maine,29000
2022,Maryland,420000
2022,Massachusetts,14000
2022,Michigan,2300000
2022,Minnesota,8000000
2022,Mississippi,580000
2022,Missouri,3350000
2022,Montana,130000
2022,Nebraska,9600000
2022,Nevada,12000
2022,New Hampshire,13000
2022,New Jersey,68000
2022,New Mexico,100000
2022,New York,1010000
2022,North Carolina,820000
2022,North Dakota,2950000
2022,Ohio,3400000
2022,Oklahoma,350000
2022,Oregon,80000
2022,Other States,0
2022,Pennsylvania,1020000
2022,Rhode Island,2000
2022,South Carolina,320000
2022,South Dakota,5750000
2022,Tennessee,830000
2022,Texas,2150000
2022,Utah,60000
2022,Vermont,90000
2022,Virginia,430000
2022,Washington,135000
2022,West Virginia,40000
2022,Wisconsin,3900000
2022,Wyoming,95000
2021,Alabama,330000
2021,Arizona,95000
2021,Arkansas,850000
2021,California,400000
2021,Colorado,1370000
2021,Connecticut,24000
2021,Delaware,170000
2021,Florida,95000
2021,Georgia,470000
2021,Idaho,380000
2021,Illinois,11000000
2021,Indiana,5400000
2021,Iowa,12900000
2021,Kansas,5700000
2021,Kentucky,1530000
2021,Louisiana,580000
2021,Maine,30000
2021,Maryland,460000
2021,Massachusetts,14000
2021,Michigan,2350000
2021,Minnesota,8350000
2021,Mississippi,730000
2021,Missouri,3600000
2021,Montana,120000
2021,Nebraska,9900000
2021,Nevada,13000
2021,New Hampshire,13000
2021,New Jersey,75000
2021,New Mexico,120000
2021,New York,1030000
2021,North Carolina,960000
2021,North Dakota,4100000
2021,Ohio,3550000
2021,Oklahoma,340000
2021,Oregon,95000
2021,Other States,0
2021,Pennsylvania,1180000
2021,Rhode Island,2000
2021,South Carolina,390000
2021,South Dakota,6150000
2021,Tennessee,990000
2021,Texas,2150000
2021,Utah,65000
2021,Vermont,85000
2021,Virginia,490000
2021,Washington,165000
2021,West Virginia,45000
2021,Wisconsin,3950000
2021,Wyoming,95000
2020,Alabama,320000
2020,Arizona,75000
2020,Arkansas,620000
2020,California,440000
2020,Colorado,1420000
2020,Connecticut,24000
2020,Delaware,180000
2020,Florida,100000
2020,Georgia,420000
2020,Idaho,390000
2020,Illinois,11300000
2020,Indiana,5400000
2020,Iowa,13600000
2020,Kansas,6100000
2020,Kentucky,1470000
2020,Louisiana,500000
2020,Maine,30000
2020,Maryland,475000
2020,Massachusetts,14000
2020,Michigan,2350000
2020,Minnesota,8000000
2020,Mississippi,510000
2020,Missouri,3450000
2020,Montana,115000
2020,Nebraska,10200000
2020,Nevada,13000
2020,New Hampshire,13000
2020,New Jersey,80000
2020,New Mexico,125000
2020,New York,1030000
2020,North Carolina,990000
2020,North Dakota,1950000
2020,Ohio,3550000
2020,Oklahoma,360000
2020,Oregon,100000
2020,Other States,0
2020,Pennsylvania,1320000
2020,Rhode Island,2000
2020,South Carolina,390000
2020,South Dakota,4900000
2020,Tennessee,860000
2020,Texas,2250000
2020,Utah,85000
2020,Vermont,85000
2020,Virginia,540000
2020,Washington,195000
2020,West Virginia,46000
2020,Wisconsin,3950000
2020,Wyoming,95000
2019,Alabama,300000
2019,Arizona,90000
2019,Arkansas,770000
2019,California,480000
2019,Colorado,1550000
2019,Connecticut,23000
2019,Delaware,185000
2019,Florida,95000
2019,Georgia,395000
2019,Idaho,390000
2019,Illinois,10500000
2019,Indiana,4950000
2019,Iowa,13400000
2019,Kansas,6400000
2019,Kentucky,1550000
2019,Louisiana,570000
2019,Maine,29000
2019,Maryland,510000
2019,Massachusetts,14000
2019,Michigan,2000000
2019,Minnesota,7800000
2019,Mississippi,660000
2019,Missouri,3200000
2019,Montana,115000
2019,Nebraska,10100000
2019,Nevada,15000
2019,New Hampshire,12000
2019,New Jersey,77000
2019,New Mexico,150000
2019,New York,970000
2019,North Carolina,990000
2019,North Dakota,3500000
2019,Ohio,2800000
2019,Oklahoma,370000
2019,Oregon,85000
2019,Other States,0
2019,Pennsylvania,1300000
2019,Rhode Island,2000
2019,South Carolina,380000
2019,South Dakota,4350000
2019,Tennessee,970000
2019,Texas,2500000
2019,Utah,85000
2019,Vermont,81000
2019,Virginia,540000
2019,Washington,170000
2019,West Virginia,52000
2019,Wisconsin,3800000
2019,Wyoming,95000
2018,Alabama,255000
2018,Arizona,80000
2018,Arkansas,660000
2018,California,430000
2018,Colorado,1460000
2018,Connecticut,23000
2018,Delaware,170000
2018,Florida,95000
2018,Georgia,325000
2018,Idaho,350000
2018,Illinois,11000000
2018,Indiana,5300000
2018,Iowa,13200000
2018,Kansas,5450000
2018,Kentucky,1330000
2018,Louisiana,460000
2018,Maine,30000
2018,Maryland,440000
2018,Massachusetts,14000
2018,Michigan,2250000
2018,Minnesota,7900000
2018,Mississippi,480000
2018,Missouri,3500000
2018,Montana,115000
2018,Nebraska,9600000
2018,Nevada,13000
2018,New Hampshire,13000
2018,New Jersey,70000
2018,New Mexico,135000
2018,New York,1070000
2018,North Carolina,910000
2018,North Dakota,3150000
2018,Ohio,3500000
2018,Oklahoma,310000
2018,Oregon,75000
2018,Other States,0
2018,Pennsylvania,1250000
2018,Rhode Island,2000
2018,South Carolina,340000
2018,South Dakota,5300000
2018,Tennessee,720000
2018,Texas,2200000
2018,Utah,70000
2018,Vermont,85000
2018,Virginia,485000
2018,Washington,165000
2018,West Virginia,46000
2018,Wisconsin,3900000
2018,Wyoming,95000
2017,Alabama,250000
2017,Arizona,65000
2017,Arkansas,620000
2017,California,430000
2017,Colorado,1460000
2017,Connecticut,24000
2017,Delaware,180000
2017,Florida,75000
2017,Georgia,290000
2017,Idaho,340000
2017,Illinois,11200000
2017,Indiana,5350000
2017,Iowa,13300000
2017,Kansas,5500000
2017,Kentucky,1320000
2017,Louisiana,500000
2017,Maine,31000
2017,Maryland,480000
2017,Massachusetts,15000
2017,Michigan,2250000
2017,Minnesota,8050000
2017,Mississippi,520000
2017,Missouri,3400000
2017,Montana,115000
2017,Nebraska,9550000
2017,Nevada,12000
2017,New Hampshire,14000
2017,New Jersey,77000
2017,New Mexico,125000
2017,New York,1000000
2017,North Carolina,890000
2017,North Dakota,3420000
2017,Ohio,3400000
2017,Oklahoma,350000
2017,Oregon,85000
2017,Other States,0
2017,Pennsylvania,1350000
2017,Rhode Island,2000
2017,South Carolina,350000
2017,South Dakota,5700000
2017,Tennessee,750000
2017,Texas,2450000
2017,Utah,80000
2017,Vermont,82000
2017,Virginia,500000
2017,Washington,170000
2017,West Virginia,50000
2017,Wisconsin,3900000
2017,Wyoming,95000
2016,Alabama,330000
2016,Arizona,95000
2016,Arkansas,760000
2016,California,420000
2016,Colorado,1340000
2016,Connecticut,25000
2016,Delaware,170000
2016,Florida,80000
2016,Georgia,410000
2016,Idaho,340000
2016,Illinois,11600000
2016,Indiana,5600000
2016,Iowa,13900000
2016,Kansas,5100000
2016,Kentucky,1500000
2016,Louisiana,620000
2016,Maine,31000
2016,Maryland,460000
