State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,99494.0,118990.0,131202.0,153796.0,197526.0,192365.0,190684.0,149149.0,135208.0,139780.0,161938.0,159321.0,212555.0,274500.0,269469.0,265681.0
Alaska,,,,,,,,,,,,,,,,
Arizona,14361.0,12773.0,19262.0,29297.0,42203.0,42716.0,43115.0,30584.0,39481.0,38407.0,24471.0,31078.0,36490.0,26714.0,50350.0,71607.0
Arkansas,304485.0,258924.0,238335.0,316039.0,632833.0,775977.0,647670.0,365488.0,398419.0,414067.0,440797.0,462837.0,516378.0,690254.0,843819.0,814827.0
California,135083.0,143880.0,149409.0,163390.0,189042.0,179619.0,136299.0,58574.0,59492.0,72498.0,55445.0,47628.0,50313.0,59938.0,49742.0,33759.0
Colorado,510533.0,494721.0,651909.0,872904.0,971003.0,656306.0,545669.0,497196.0,493365.0,501393.0,608035.0,567208.0,584785.0,654926.0,745828.0,847416.0
Connecticut,,,,,,,,,,,,,,,,
Delaware,68373.0,75673.0,90859.0,113866.0,150003.0,133654.0,120419.0,108109.0,106233.0,103746.0,109114.0,95665.0,128150.0,162215.0,170006.0,154544.0
Florida,11164.0,14125.0,13092.0,15161.0,26291.0,36232.0,34322.0,20099.0,21514.0,20584.0,32636.0,38735.0,42344.0,58064.0,65528.0,59529.0
Georgia,192475.0,189422.0,206273.0,227575.0,355870.0,386036.0,331077.0,194561.0,195006.0,184936.0,201733.0,227551.0,300604.0,393856.0,443475.0,450616.0
Hawaii,,,,,,,,,,,,,,,,
Idaho,62572.0,53449.0,73459.0,114246.0,161429.0,137027.0,85177.0,59586.0,67504.0,80127.0,101703.0,117761.0,130426.0,126034.0,141244.0,160282.0
Illinois,8514991.0,7519936.0,8112349.0,10528233.0,11283961.0,7575564.0,9371371.0,7597694.0,7386469.0,7066245.0,7866810.0,7491386.0,7018798.0,10613190.0,13661316.0,13106282.0
Indiana,3908404.0,3276474.0,3523624.0,5103051.0,4874684.0,3750858.0,4611958.0,3638872.0,3030188.0,3322264.0,3286338.0,3460745.0,3228546.0,5029723.0,6468360.0,5620530.0
Iowa,9176754.0,7967229.0,8355309.0,11439876.0,13364355.0,10240109.0,8172914.0,8041007.0,8451937.0,7936209.0,8076021.0,8701603.0,8136934.0,11907771.0,15380757.0,14072210.0
Kansas,1712251.0,1785810.0,2513304.0,2211673.0,2419453.0,1979081.0,1961563.0,1865179.0,2073622.0,2039193.0,2293754.0,2392803.0,2907098.0,3550889.0,3926911.0,3349770.0
Kentucky,575695.0,587671.0,600035.0,820465.0,838463.0,751986.0,889888.0,750124.0,764728.0,697700.0,739261.0,826892.0,817024.0,1264511.0,1430632.0,1242010.0
Louisiana,357307.0,310946.0,331752.0,381846.0,558063.0,570352.0,467645.0,273006.0,296373.0,317977.0,324908.0,318878.0,341544.0,426274.0,498418.0,571094.0
Maine,,,,,,,,,,,,,,,,
Maryland,168399.0,187745.0,219962.0,233516.0,298191.0,291969.0,276462.0,229687.0,218591.0,222308.0,232072.0,246449.0,313853.0,370532.0,387358.0,341604.0
Massachusetts,,,,,,,,,,,,,,,,
Michigan,1140043.0,934261.0,1140190.0,1708850.0,1894577.0,1535417.0,1294288.0,1195872.0,1042656.0,965582.0,959662.0,957268.0,896511.0,1530435.0,1911848.0,1739197.0
Minnesota,4587681.0,3701792.0,4297762.0,5611506.0,7222520.0,7512305.0,4653818.0,4077371.0,4318137.0,4424605.0,4530277.0,4172188.0,4005139.0,6974794.0,8023472.0,7911555.0
Mississippi,420833.0,414590.0,379446.0,465439.0,749467.0,780898.0,585453.0,352507.0,385925.0,379798.0,348277.0,361941.0,389284.0,512770.0,648697.0,689121.0
Missouri,1678006.0,1442154.0,1550419.0,1992097.0,1948870.0,1574115.0,2031366.0,1843966.0,1632226.0,1757170.0,1825897.0,1655819.0,1821123.0,2877228.0,3283616.0,3063939.0
Montana,17759.0,14593.0,19242.0,25097.0,33271.0,36650.0,31772.0,23505.0,20573.0,18282.0,17295.0,20357.0,23619.0,32048.0,42690.0,49632.0
Nebraska,5283467.0,5091545.0,5493148.0,8182648.0,8458274.0,7224114.0,6092382.0,5742045.0,5393941.0,5182906.0,5791052.0,6175914.0,6106616.0,8881985.0,10745854.0,8969616.0
Nevada,,,,,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,,,,,,
New Jersey,33902.0,30965.0,35925.0,45186.0,61225.0,53282.0,45218.0,38824.0,36214.0,35646.0,37190.0,32993.0,48168.0,62284.0,56096.0,42591.0
New Mexico,41055.0,43888.0,44969.0,50738.0,52066.0,39901.0,36012.0,33166.0,27024.0,21065.0,24155.0,26164.0,30969.0,36093.0,37107.0,39744.0
New York,293254.0,315026.0,341591.0,450320.0,506253.0,460886.0,402332.0,332582.0,288364.0,252455.0,313001.0,344528.0,367769.0,512875.0,536583.0,473240.0
North Carolina,381402.0,311541.0,355288.0,431105.0,648496.0,566407.0,501386.0,377139.0,467824.0,480831.0,472459.0,396494.0,487186.0,736174.0,762945.0,756932.0
North Dakota,993100.0,830692.0,708352.0,1122104.0,1638057.0,1765753.0,1298479.0,876972.0,1176960.0,1256444.0,1343113.0,1294311.0,1088075.0,1471804.0,2077006.0,2071839.0
Ohio,1912665.0,1633791.0,1919116.0,2447383.0,3008454.0,2736438.0,2261659.0,1989210.0,1751630.0,1682700.0,2063744.0,1988845.0,1643407.0,2882387.0,3706931.0,3208287.0
Oklahoma,132136.0,132500.0,149147.0,129081.0,145781.0,188450.0,187726.0,142740.0,130025.0,122153.0,133783.0,146295.0,173053.0,210566.0,206834.0,220619.0
Oregon,23217.0,24256.0,32107.0,50450.0,72994.0,53269.0,33139.0,26507.0,25579.0,33443.0,33402.0,36633.0,61557.0,84588.0,82795.0,77949.0
Pennsylvania,455781.0,373870.0,574676.0,523314.0,790605.0,649883.0,565737.0,496980.0,543631.0,402633.0,455891.0,552719.0,486952.0,678031.0,902616.0,494798.0
Rhode Island,,,,,,,,,,,,,,,,
South Carolina,110510.0,111920.0,157828.0,143080.0,212457.0,231134.0,171653.0,111341.0,127801.0,168656.0,188390.0,172922.0,193912.0,251671.0,279794.0,275555.0
South Dakota,2152772.0,2090949.0,1946581.0,2953579.0,3416284.0,2839923.0,2813518.0,2350969.0,2303065.0,2194401.0,2292020.0,2118493.0,1937441.0,3487080.0,4225160.0,3896595.0
Tennessee,276289.0,283078.0,271829.0,417527.0,531584.0,572550.0,487044.0,397055.0,416410.0,382038.0,366392.0,457373.0,515644.0,851226.0,690369.0,646802.0
Texas,1201812.0,1020539.0,1242857.0,816308.0,1477859.0,1170787.0,1308204.0,1067346.0,1170850.0,1010355.0,1029645.0,1102881.0,901148.0,1486278.0,1154451.0,1374919.0
Utah,11449.0,12868.0,14506.0,24264.0,36040.0,33281.0,24387.0,15395.0,14550.0,15771.0,14760.0,15574.0,18542.0,20824.0,17313.0,20818.0
Vermont,,,,,,,,,,,,,,,,
Virginia,122492.0,140161.0,128722.0,141970.0,232275.0,214512.0,219084.0,167288.0,179052.0,170521.0,181183.0,188199.0,219087.0,270293.0,324394.0,320492.0
Washington,91669.0,88622.0,113986.0,131455.0,153044.0,131068.0,115858.0,96314.0,77790.0,84211.0,77085.0,76448.0,80109.0,94146.0,112541.0,119701.0
West Virginia,10815.0,12203.0,12767.0,15080.0,22998.0,24475.0,21512.0,17637.0,17882.0,17111.0,18549.0,20060.0,22480.0,22467.0,29148.0,27626.0
Wisconsin,1230223.0,943999.0,1353168.0,2100897.0,2287737.0,1816705.0,1378247.0,1343143.0,1305917.0,1308075.0,1465229.0,1364148.0,1204139.0,2058133.0,2499986.0,2383219.0
Wyoming,20056.0,25390.0,26435.0,36567.0,55729.0,45230.0,32175.0,28336.0,30541.0,30377.0,34932.0,35485.0,27111.0,37257.0,59806.0,60223.0
