Year,State,Value
2023,Alabama,5.3
2023,Arizona,7
2023,Arkansas,5.2
2023,California,6.15
2023,Colorado,5.3
2023,Delaware,4.9
2023,Florida,5.4
2023,Georgia,5.75
2023,Idaho,6.75
2023,Illinois,4.75
2023,Indiana,4.7
2023,Iowa,4.85
2023,Kansas,4.9
2023,Kentucky,4.9
2023,Louisiana,5.55
2023,Maryland,4.9
2023,Michigan,4.3
2023,Minnesota,4.75
2023,Mississippi,5.35
2023,Missouri,4.8
2023,Montana,4.85
2023,Nebraska,4.95
2023,New Jersey,4.95
2023,New Mexico,5.9
2023,New York,4.95
2023,North Carolina,5.75
2023,North Dakota,4.45
2023,Ohio,4.6
2023,Oklahoma,5.65
2023,Oregon,6.75
2023,Pennsylvania,5.1
2023,South Carolina,5.45
2023,South Dakota,4.5
2023,Tennessee,4.8
2023,Texas,5.6
2023,Utah,5.9
2023,Virginia,5.3
2023,Washington,6.75
2023,West Virginia,5.2
2023,Wisconsin,4.4
2023,Wyoming,5.9
2022,Alabama,7.36
2022,Arizona,8.55
2022,Arkansas,6.78
2022,California,7.7
2022,Colorado,7.36
2022,Delaware,6.68
2022,Florida,7.42
2022,Georgia,7.1
2022,Idaho,7.37
2022,Illinois,6.4
2022,Indiana,6.48
2022,Iowa,6.62
2022,Kansas,7.04
2022,Kentucky,6.72
2022,Louisiana,6.66
2022,Maryland,6.53
2022,Michigan,6.16
2022,Minnesota,6.27
2022,Mississippi,6.87
2022,Missouri,6.71
2022,Montana,7.16
2022,Nebraska,6.77
2022,New Jersey,6.51
2022,New Mexico,7.25
2022,New York,6.62
2022,North Carolina,7.34
2022,North Dakota,6.16
2022,Ohio,6.28
2022,Oklahoma,7.55
2022,Oregon,7.49
2022,Pennsylvania,7
2022,South Carolina,7.31
2022,South Dakota,6.5
2022,Tennessee,6.72
2022,Texas,7.57
2022,Utah,7.25
2022,Virginia,7
2022,Washington,7.05
2022,West Virginia,6.9
2022,Wisconsin,6.11
2022,Wyoming,7.9
2021,Alabama,5.91
2021,Arizona,7.65
2021,Arkansas,5.95
2021,California,7.3
2021,Colorado,6.08
2021,Delaware,6.55
2021,Florida,6.02
2021,Georgia,5.76
2021,Idaho,6.05
2021,Illinois,5.96
2021,Indiana,6.07
2021,Iowa,6.1
2021,Kansas,6.02
2021,Kentucky,5.79
2021,Louisiana,5.29
2021,Maryland,6.39
2021,Michigan,5.86
2021,Minnesota,5.91
2021,Mississippi,5.59
2021,Missouri,6.15
2021,Montana,6.9
2021,Nebraska,5.96
2021,New Jersey,6.48
2021,New Mexico,5.75
2021,New York,6.5
2021,North Carolina,6.3
2021,North Dakota,5.86
2021,Ohio,5.92
2021,Oklahoma,6.14
2021,Oregon,7.23
2021,Pennsylvania,6.65
2021,South Carolina,5.94
2021,South Dakota,6.11
2021,Tennessee,5.67
2021,Texas,6.18
2021,Utah,6.55
2021,Virginia,6.4
2021,Washington,6.31
2021,West Virginia,6.1
2021,Wisconsin,6
2021,Wyoming,6
2020,Alabama,5.14
2020,Arizona,5.4
2020,Arkansas,4.49
2020,California,4.75
2020,Colorado,4.62
2020,Delaware,5.6
2020,Florida,5.67
2020,Georgia,5.08
2020,Idaho,4.8
2020,Illinois,4.46
2020,Indiana,4.65
2020,Iowa,4.64
2020,Kansas,4.35
2020,Kentucky,4.52
2020,Louisiana,3.74
2020,Maryland,5.6
2020,Michigan,4.72
2020,Minnesota,4.52
2020,Mississippi,4.03
2020,Missouri,4.59
2020,Montana,4.4
2020,Nebraska,4.47
2020,New Jersey,5.7
2020,New Mexico,4.7
2020,New York,6.1
2020,North Carolina,4.7
2020,North Dakota,4.44
2020,Ohio,4.69
2020,Oklahoma,4.35
2020,Oregon,5.45
2020,Pennsylvania,5.51
2020,South Carolina,4.36
2020,South Dakota,4.37
2020,Tennessee,4.7
2020,Texas,4.52
2020,Utah,5.35
2020,Virginia,5.1
2020,Washington,4.7
2020,West Virginia,4.7
2020,Wisconsin,4.44
2020,Wyoming,3.95
2019,Alabama,3.99
2019,Arizona,5.4
2019,Arkansas,3.86
2019,California,4.6
2019,Colorado,3.68
2019,Delaware,4.3
