Year,State,Value
2023,Alabama,278144000
2023,Arizona,54796000
2023,Arkansas,789828000
2023,California,43788000
2023,Colorado,656299000
2023,Delaware,159289000
2023,Florida,52898000
2023,Georgia,440220000
2023,Idaho,157579000
2023,Illinois,10812425000
2023,Indiana,5066271000
2023,Iowa,12234368000
2023,Kansas,3002965000
2023,Kentucky,1374450000
2023,Louisiana,660450000
2023,Maryland,355740000
2023,Michigan,1488144000
2023,Minnesota,7188175000
2023,Mississippi,745630000
2023,Missouri,2695248000
2023,Montana,42544000
2023,Nebraska,8558550000
2023,New Jersey,54054000
2023,New Mexico,42982000
2023,New York,472230000
2023,North Carolina,760725000
2023,North Dakota,2418130000
2023,Ohio,3096720000
2023,Oklahoma,286229000
2023,Oregon,79448000
2023,Pennsylvania,544476000
2023,South Carolina,286125000
2023,South Dakota,3844080000
2023,Tennessee,739056000
2023,Texas,1434720000
2023,Utah,29471000
2023,Virginia,312038000
2023,Washington,121500000
2023,West Virginia,24128000
2023,Wisconsin,2431616000
2023,Wyoming,51454000
2022,Alabama,251859000
2022,Arizona,84645000
2022,Arkansas,815193000
2022,California,27258000
2022,Colorado,863843000
2022,Delaware,177154000
2022,Florida,68145000
2022,Georgia,465938000
2022,Idaho,167152000
2022,Illinois,14517760000
2022,Indiana,6316056000
2022,Iowa,16351400000
2022,Kansas,3594624000
2022,Kentucky,1394266000
2022,Louisiana,492507000
2022,Maryland,387882000
2022,Michigan,2007667000
2022,Minnesota,9157649000
2022,Mississippi,640456000
2022,Missouri,3359764000
2022,Montana,55332000
2022,Nebraska,9852381000
2022,New Jersey,43044000
2022,New Mexico,38889000
2022,New York,531123000
2022,North Carolina,716751000
2022,North Dakota,2122120000
2022,Ohio,3734465000
2022,Oklahoma,184220000
2022,Oregon,79881000
2022,Pennsylvania,632100000
2022,South Carolina,267546000
2022,South Dakota,4298580000
2022,Tennessee,685776000
2022,Texas,1157832000
2022,Utah,16748000
2022,Virginia,379925000
2022,Washington,124080000
2022,West Virginia,34776000
2022,Wisconsin,3288402000
2022,Wyoming,67687000
2021,Alabama,308266000
2021,Arizona,24924000
2021,Arkansas,908684000
2021,California,68620000
2021,Colorado,894125000
2021,Delaware,201268000
2021,Florida,69928000
2021,Georgia,456019000
2021,Idaho,146108000
2021,Illinois,13062532000
2021,Indiana,6237836000
2021,Iowa,15492780000
2021,Kansas,4518612000
2021,Kentucky,1578586000
2021,Louisiana,546960000
2021,Maryland,464074000
2021,Michigan,2029084000
2021,Minnesota,8148885000
2021,Mississippi,708253000
2021,Missouri,3354026000
2021,Montana,41400000
2021,Nebraska,11053654000
2021,New Jersey,72881000
2021,New Mexico,41262000
2021,New York,624163000
2021,North Carolina,849524000
2021,North Dakota,2233539000
2021,Ohio,3816150000
2021,Oklahoma,271695000
2021,Oregon,95436000
2021,Pennsylvania,955273000
2021,South Carolina,305494000
2021,South Dakota,4486695000
2021,Tennessee,896427000
2021,Texas,1463424000
2021,Utah,19932000
2021,Virginia,353280000
2021,Washington,133015000
2021,West Virginia,28987000
2021,Wisconsin,3240000000
2021,Wyoming,62568000
2020,Alabama,251757000
2020,Arizona,31633000
2020,Arkansas,499827000
2020,California,53295000
2020,Colorado,568075000
2020,Delaware,157696000
2020,Florida,47730000
2020,Georgia,356616000
2020,Idaho,124176000
2020,Illinois,9455646000
2020,Indiana,4565138000
2020,Iowa,10594512000
2020,Kansas,3334188000
2020,Kentucky,1131085000
2020,Louisiana,328316000
2020,Maryland,364560000
2020,Michigan,1429877000
2020,Minnesota,6483533000
2020,Mississippi,355446000
2020,Missouri,2559384000
2020,Montana,29256000
2020,Nebraska,7917264000
2020,New Jersey,64912000
2020,New Mexico,33911000
2020,New York,526735000
2020,North Carolina,499234000
2020,North Dakota,1098545000
2020,Ohio,2646567000
2020,Oklahoma,187920000
2020,Oregon,85374000
2020,Pennsylvania,688144000
2020,South Carolina,212942000
2020,South Dakota,3150333000
2020,Tennessee,651185000
2020,Texas,1047194000
2020,Utah,23117000
2020,Virginia,251991000
2020,Washington,91086000
2020,West Virginia,22334000
2020,Wisconsin,2250592000
2020,Wyoming,26023000
2019,Alabama,167161000
2019,Arizona,46154000
2019,Arkansas,496493000
2019,California,46368000
2019,Colorado,588432000
2019,Delaware,124614000
2019,Florida,38167000
2019,Georgia,253680000
2019,Idaho,137453000
2019,Illinois,6554010000
2019,Indiana,3095539000
2019,Iowa,8974350000
2019,Kansas,2850350000
2019,Kentucky,960596000
2019,Louisiana,347111000
2019,Maryland,318458000
2019,Michigan,882779000
2019,Minnesota,4112490000
2019,Mississippi,413059000
2019,Missouri,1695173000
2019,Montana,21090000
2019,Nebraska,6284678000
2019,New Jersey,45322000
2019,New Mexico,28512000
2019,New York,345072000
2019,North Carolina,455244000
2019,North Dakota,1258792000
2019,Ohio,1647987000
2019,Oklahoma,180840000
2019,Oregon,50400000
2019,Pennsylvania,587658000
2019,South Carolina,172144000
2019,South Dakota,1850170000
2019,Tennessee,608845000
2019,Texas,1200990000
2019,Utah,15987000
2019,Virginia,224352000
2019,Washington,82220000
2019,West Virginia,25707000
2019,Wisconsin,1520245000
2019,Wyoming,28431000
2018,Alabama,157084000
2018,Arizona,21824000
2018,Arkansas,443631000
2018,California,49478000
2018,Colorado,567987000
2018,Delaware,98332000
2018,Florida,43511000
2018,Georgia,218196000
2018,Idaho,117683000
2018,Illinois,8210160000
2018,Indiana,3657830000
2018,Iowa,8971410000
2018,Kansas,2299864000
2018,Kentucky,819840000
2018,Louisiana,300501000
2018,Maryland,228023000
2018,Michigan,1051718000
2018,Minnesota,4711288000
2018,Mississippi,323380000
2018,Missouri,1700160000
2018,Montana,21906000
2018,Nebraska,6392448000
2018,New Jersey,32994000
2018,New Mexico,28144000
2018,New York,400171000
2018,North Carolina,411738000
2018,North Dakota,1488323000
2018,Ohio,2307954000
2018,Oklahoma,139655000
2018,Oregon,32214000
2018,Pennsylvania,505134000
2018,South Carolina,177165000
2018,South Dakota,2628288000
2018,Tennessee,423226000
2018,Texas,780570000
2018,Utah,17257000
2018,Virginia,192647000
2018,Washington,75953000
2018,West Virginia,20465000
2018,Wisconsin,1919245000
2018,Wyoming,42361000
2017,Alabama,158550000
2017,Arizona,28392000
2017,Arkansas,396341000
2017,California,56112000
2017,Colorado,626483000
2017,Delaware,129922000
2017,Florida,26628000
2017,Georgia,186710000
2017,Idaho,98282000
2017,Illinois,7505240000
2017,Indiana,3332160000
2017,Iowa,8625198000
2017,Kansas,2251392000
2017,Kentucky,801320000
2017,Louisiana,335395000
2017,Maryland,290405000
2017,Michigan,1039765000
2017,Minnesota,4707100000
2017,Mississippi,347760000
2017,Missouri,1884025000
2017,Montana,15516000
2017,Nebraska,5639055000
2017,New Jersey,43838000
2017,New Mexico,22472000
2017,New York,317806000
2017,North Carolina,505747000
2017,North Dakota,1364869000
2017,Ohio,2012756000
2017,Oklahoma,137964000
2017,Oregon,35260000
2017,Pennsylvania,573224000
2017,South Carolina,194480000
2017,South Dakota,2276094000
2017,Tennessee,431006000
2017,Texas,1160320000
2017,Utah,13939000
2017,Virginia,188496000
2017,Washington,72900000
2017,West Virginia,19813000
2017,Wisconsin,1682406000
2017,Wyoming,32713000
2016,Alabama,137214000
2016,Arizona,50848000
2016,Arkansas,470088000
2016,California,86765000
2016,Colorado,548192000
2016,Delaware,114029000
2016,Florida,22794000
2016,Georgia,217668000
2016,Idaho,83472000
