State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,562205,545604,540241,538284,548939,559794,567082,569698,557098,526872,518945,523261,520823,523749,525717,531796,534516,535610,541356,541954,533799,546700,562784
Alaska,141405,140075,141926,140997,143838,145573,148123,150778,152144,151387,152626,154765,156928,158591,160105,158423,155886,154511,154005,154730,142151,144586,149440
Arizona,118118,116952,116694,119521,121950,127052,132052,139070,138023,132024,130717,131533,132978,135073,135374,135339,135189,135271,136810,136757,135608,138835,142474
Arkansas,564014,554741,548018,540043,543902,549207,553099,553351,551195,536748,534291,539147,535404,531804,533325,534427,533198,529394,531001,530624,521541,529568,543271
California,382321,384505,393759,392971,396208,399885,403833,409485,403274,387394,380031,377390,375761,385009,391477,396977,403472,407177,412087,410997,394083,402323,417093
Colorado,409183,414009,412878,414512,421173,433942,447639,464994,468834,448307,437918,439640,441687,448554,456535,462767,468313,476841,483211,478926,467956,487660,507135
Connecticut,95571,94593,93597,93988,95270,95578,97013,98840,99786,95757,94461,95602,96204,96488,97175,97588,96580,95697,96588,95212,92452,96049,100339
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,260369,260835,260951,264371,269516,278752,285523,291705,284981,274336,273519,273956,273597,277982,282552,286601,289532,294447,297971,301320,298842,305329,315165
Georgia,784915,768614,765013,766410,780707,804628,817175,820152,806756,767815,754475,766672,768943,776154,788858,800947,812997,825691,834161,843936,840475,871069,909277
Hawaii,114308,118185,120462,124115,129593,136368,141253,147081,144018,136475,134746,136319,138525,142688,145359,148449,150272,153491,155713,156549,140166,149566,158003
Idaho,216431,214831,217152,218017,222223,228322,235581,243737,242639,232622,227854,229428,230092,232525,236798,240240,244659,250802,254896,256507,258116,269819,280870
Illinois,812713,788787,768081,757409,752049,754863,758900,766449,761937,743730,739554,742436,739882,736846,741079,741045,732527,725202,723636,713239,688937,699052,718890
Indiana,804233,780467,770553,764550,768454,771027,769227,772537,755534,716631,719766,729255,738636,747900,757640,761340,762844,766009,775154,769290,745303,760773,781048
Iowa,808993,791567,775127,766620,772411,782386,788930,794581,791385,767939,761940,769050,770531,777480,778733,784220,780658,769109,770367,764570,745423,752379,768121
Kansas,604361,592672,585394,577865,578758,577570,583052,591945,594383,581033,579805,583748,591790,597239,601358,598605,592593,584162,580332,573965,564826,572990,582370
Kentucky,843568,831482,822890,822005,829363,836699,842835,851469,845690,820219,816699,831753,832537,832131,836448,837782,836710,835256,838939,838565,811639,832342,861167
Louisiana,314854,310309,308787,310206,310972,315107,323826,330790,332968,331094,332240,334277,333196,332553,332433,330305,325825,322878,324120,322144,315446,325158,330990
Maine,311136,308451,309515,309270,312808,313273,314672,317121,313796,304566,299404,298934,298943,301693,303193,302170,304430,304703,305710,302583,292376,305382,313596
Maryland,84346,81876,83407,84346,86288,88392,89648,91035,90560,87566,85797,85388,86068,87370,88334,88888,89409,88950,89980,89245,86035,89516,92412
Massachusetts,21133,21619,21975,22416,23310,23812,24314,24941,24673,23832,23824,24221,24814,26069,27445,28797,29701,29650,30533,29778,27850,30336,31720
Michigan,887686,858761,853673,853492,861606,866352,863988,865309,846256,806891,799514,809151,812146,822134,832503,836368,841264,839353,846812,839607,799493,827954,860556
Minnesota,733751,732370,731025,729318,734702,742869,747392,752553,749437,733547,727483,732454,734874,738061,741991,746437,743132,741329,742589,739330,711906,728168,743749
