State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Unnamed: 17,Unnamed: 18
Alabama,69420.0,165905.0,137749.0,93914.0,178142.0,243699.0,208060.0,167028.0,169232.0,133397.0,123112.0,100233.0,126118.0,150285.0,195919.0,207143.0,,
Alaska,,,,,,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,,,,,,
Arkansas,1118710.0,1268386.0,1222045.0,1257279.0,2051880.0,1938864.0,1568084.0,1379082.0,1588244.0,1563043.0,1358045.0,1197752.0,1564755.0,1634483.0,2400555.0,2169478.0,,
California,,,,,,,,,,,,,,,,,,
Colorado,,,,,,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,,,,,,,
Delaware,41351.0,66089.0,69521.0,61022.0,93070.0,92826.0,78659.0,64461.0,68650.0,64240.0,60447.0,57181.0,81382.0,88718.0,99299.0,89447.0,,
Florida,3720.0,8882.0,7519.0,4676.0,8180.0,13515.0,14148.0,10444.0,9967.0,5986.0,3661.0,,,,,,,
Georgia,94545.0,151554.0,115061.0,47833.0,80994.0,127296.0,120123.0,111422.0,107424.0,62118.0,46944.0,31821.0,43062.0,65051.0,90319.0,92736.0,,
Hawaii,,,,,,,,,,,,,,,,,,
Idaho,,,,,,,,,,,,,,,,,,
Illinois,3462962.0,4713120.0,4758945.0,4759034.0,6049685.0,5622929.0,6072707.0,4756980.0,5726559.0,5443345.0,5715495.0,5473623.0,5770533.0,7012380.0,9557549.0,9609995.0,,
Indiana,2132477.0,2769320.0,2837242.0,2730223.0,3509006.0,3367188.0,3431568.0,2644103.0,3064518.0,2959956.0,2847134.0,2808662.0,3274178.0,3996047.0,4732349.0,4776128.0,,
Iowa,4281528.0,5213553.0,5243607.0,4825572.0,6359326.0,5927389.0,5232073.0,4317827.0,5945903.0,4938526.0,4721622.0,4306957.0,5339044.0,6633027.0,8693188.0,8141209.0,,
Kansas,776606.0,1547371.0,1683731.0,1088308.0,1222911.0,1568878.0,1354317.0,1097634.0,1835368.0,1610294.0,1567742.0,1605666.0,2048626.0,2121399.0,2076140.0,1622843.0,,
Kentucky,338987.0,566658.0,601135.0,576433.0,706579.0,1047940.0,932109.0,788400.0,883530.0,823333.0,903463.0,772297.0,870104.0,1153840.0,1313886.0,1401783.0,,
Louisiana,260845.0,379734.0,457759.0,381634.0,735475.0,763514.0,795234.0,623612.0,574853.0,639694.0,526178.0,371067.0,559480.0,675739.0,701024.0,591410.0,,
Maine,,,,,,,,,,,,,,,,,,
Maryland,109266.0,173327.0,187462.0,168189.0,270653.0,276340.0,221255.0,181813.0,209078.0,201226.0,197807.0,182439.0,240765.0,280015.0,325325.0,287897.0,,
