Year,State,Value
2023,Alabama,350000
2023,Arkansas,2980000
2023,Delaware,150000
2023,Georgia,160000
2023,Illinois,10350000
2023,Indiana,5500000
2023,Iowa,9950000
2023,Kansas,4430000
2023,Kentucky,1830000
2023,Louisiana,1030000
2023,Maryland,470000
2023,Michigan,2040000
2023,Minnesota,7350000
2023,Mississippi,2180000
2023,Missouri,5600000
2023,Nebraska,5250000
2023,New Jersey,100000
2023,New York,350000
2023,North Carolina,1640000
2023,North Dakota,6200000
2023,Ohio,4750000
2023,Oklahoma,460000
2023,Other States,0
2023,Pennsylvania,570000
2023,South Carolina,395000
2023,South Dakota,5100000
2023,Tennessee,1600000
2023,Texas,125000
2023,Virginia,580000
2023,Wisconsin,2110000
2022,Alabama,360000
2022,Arkansas,3180000
2022,Delaware,160000
2022,Georgia,165000
2022,Illinois,10800000
2022,Indiana,5850000
2022,Iowa,10100000
2022,Kansas,5050000
2022,Kentucky,1950000
2022,Louisiana,1260000
2022,Maryland,520000
2022,Michigan,2250000
2022,Minnesota,7450000
2022,Mississippi,2310000
2022,Missouri,6100000
2022,Nebraska,5750000
2022,New Jersey,110000
2022,New York,350000
2022,North Carolina,1700000
2022,North Dakota,5700000
2022,Ohio,5100000
2022,Oklahoma,545000
2022,Pennsylvania,600000
2022,South Carolina,405000
2022,South Dakota,5100000
2022,Tennessee,1650000
2022,Texas,155000
2022,Virginia,620000
2022,Wisconsin,2160000
2021,Alabama,310000
2021,Arkansas,3040000
2021,Delaware,155000
2021,Georgia,140000
2021,Illinois,10600000
2021,Indiana,5650000
2021,Iowa,10100000
2021,Kansas,4850000
2021,Kentucky,1850000
2021,Louisiana,1080000
2021,Maryland,490000
2021,Michigan,2150000
2021,Minnesota,7650000
2021,Mississippi,2220000
2021,Missouri,5700000
2021,Nebraska,5600000
2021,New Jersey,100000
2021,New York,325000
2021,North Carolina,1650000
2021,North Dakota,7250000
2021,Ohio,4900000
2021,Oklahoma,580000
2021,Other States,0
2021,Pennsylvania,600000
2021,South Carolina,395000
2021,South Dakota,5450000
2021,Tennessee,1550000
2021,Texas,110000
2021,Virginia,600000
2021,Wisconsin,2100000
2020,Alabama,280000
2020,Arkansas,2820000
2020,Delaware,150000
2020,Georgia,100000
2020,Illinois,10300000
2020,Indiana,5750000
2020,Iowa,9450000
2020,Kansas,4800000
2020,Kentucky,1850000
2020,Louisiana,1050000
2020,Maryland,485000
2020,Michigan,2200000
2020,Minnesota,7450000
2020,Mississippi,2090000
2020,Missouri,5850000
2020,Nebraska,5200000
2020,New Jersey,94000
2020,New York,315000
2020,North Carolina,1600000
2020,North Dakota,5750000
2020,Ohio,4950000
2020,Oklahoma,560000
2020,Other States,0
2020,Pennsylvania,640000
2020,South Carolina,310000
2020,South Dakota,4950000
2020,Tennessee,1650000
2020,Texas,120000
2020,Virginia,570000
2020,Wisconsin,2020000
2019,Alabama,265000
2019,Arkansas,2650000
2019,Delaware,155000
2019,Georgia,100000
2019,Illinois,9950000
2019,Indiana,5400000
2019,Iowa,9200000
2019,Kansas,4550000
2019,Kentucky,1700000
2019,Louisiana,890000
2019,Maryland,480000
2019,Michigan,1760000
2019,Minnesota,6850000
2019,Mississippi,1660000
2019,Missouri,5100000
2019,Nebraska,4900000
2019,New Jersey,95000
2019,New York,235000
2019,North Carolina,1540000
2019,North Dakota,5600000
2019,Ohio,4300000
2019,Oklahoma,465000
2019,Other States,0
2019,Pennsylvania,620000
2019,South Carolina,335000
2019,South Dakota,3500000
2019,Tennessee,1400000
2019,Texas,80000
2019,Virginia,570000
2019,Wisconsin,1750000
2018,Alabama,345000
2018,Arkansas,3270000
2018,Delaware,170000
2018,Florida,18000
2018,Georgia,145000
2018,Illinois,10800000
2018,Indiana,6000000
2018,Iowa,9950000
2018,Kansas,4750000
2018,Kentucky,1950000
2018,Louisiana,1340000
2018,Maryland,530000
2018,Michigan,2330000
2018,Minnesota,7750000
2018,Mississippi,2230000
2018,Missouri,5850000
2018,Nebraska,5650000
2018,New Jersey,110000
2018,New York,335000
2018,North Carolina,1650000
2018,North Dakota,6900000
2018,Ohio,5050000
2018,Oklahoma,640000
2018,Other States,0
2018,Pennsylvania,640000
2018,South Carolina,390000
2018,South Dakota,5650000
2018,Tennessee,1700000
2018,Texas,175000
2018,Virginia,600000
2018,West Virginia,29000
2018,Wisconsin,2220000
2017,Alabama,350000
2017,Arkansas,3530000
2017,Delaware,160000
2017,Florida,15000
2017,Georgia,155000
2017,Illinois,10600000
2017,Indiana,5950000
2017,Iowa,10000000
2017,Kansas,5150000
2017,Kentucky,1950000
2017,Louisiana,1270000
2017,Maryland,500000
2017,Michigan,2280000
2017,Minnesota,8150000
2017,Mississippi,2190000
2017,Missouri,5950000
2017,Nebraska,5700000
2017,New Jersey,100000
2017,New York,270000
2017,North Carolina,1700000
2017,North Dakota,7100000
2017,Ohio,5100000
2017,Oklahoma,655000
2017,Other States,0
2017,Pennsylvania,610000
2017,South Carolina,400000
2017,South Dakota,5650000
2017,Tennessee,1690000
2017,Texas,210000
2017,Virginia,600000
2017,West Virginia,27000
2017,Wisconsin,2150000
2016,Alabama,420000
2016,Arkansas,3130000
2016,Delaware,165000
2016,Florida,31000
2016,Georgia,260000
2016,Illinois,10100000
2016,Indiana,5650000
2016,Iowa,9500000
2016,Kansas,4050000
2016,Kentucky,1790000
2016,Louisiana,1230000
2016,Maryland,520000
2016,Michigan,2070000
2016,Minnesota,7550000
2016,Mississippi,2040000
2016,Missouri,5600000
2016,Nebraska,5200000
2016,New Jersey,100000
2016,New York,330000
2016,North Carolina,1690000
2016,North Dakota,6050000
2016,Ohio,4850000
2016,Oklahoma,485000
2016,Other States,0
2016,Pennsylvania,600000
2016,South Carolina,420000
2016,South Dakota,5200000
2016,Tennessee,1660000
2016,Texas,165000
2016,Virginia,610000
2016,West Virginia,27000
2016,Wisconsin,1960000
2015,Alabama,500000
2015,Arkansas,3200000
2015,Delaware,175000
2015,Florida,33000
2015,Georgia,325000
2015,Illinois,9800000
2015,Indiana,5550000
2015,Iowa,9850000
2015,Kansas,3900000
2015,Kentucky,1840000
2015,Louisiana,1430000
2015,Maryland,520000
2015,Michigan,2030000
2015,Minnesota,7600000
2015,Mississippi,2300000
2015,Missouri,4550000
2015,Nebraska,5300000
2015,New Jersey,105000
2015,New York,305000
2015,North Carolina,1820000
2015,North Dakota,5750000
2015,Ohio,4750000
2015,Oklahoma,395000
2015,Other States,0
2015,Pennsylvania,590000
2015,South Carolina,475000
2015,South Dakota,5150000
