Year,State,Value
2023,Alabama,12.6
2023,Arkansas,12.8
2023,Delaware,11.8
2023,Georgia,12.5
2023,Illinois,12.4
2023,Indiana,12.6
2023,Iowa,12.2
2023,Kansas,12.3
2023,Kentucky,12.8
2023,Louisiana,13.3
2023,Maryland,11.8
2023,Michigan,12.8
2023,Minnesota,12.1
2023,Mississippi,13.2
2023,Missouri,12.4
2023,Nebraska,12.2
2023,New Jersey,12.2
2023,New York,12.5
2023,North Carolina,12.7
2023,North Dakota,12
2023,Ohio,12.5
2023,Oklahoma,12.8
2023,Pennsylvania,12.5
2023,South Carolina,13
2023,South Dakota,12
2023,Tennessee,12.6
2023,Texas,12.5
2023,Virginia,12.5
2023,Wisconsin,12.4
2022,Alabama,14.2
2022,Arkansas,14.2
2022,Delaware,14
2022,Georgia,14.7
2022,Illinois,14.3
2022,Indiana,14.4
2022,Iowa,14.2
2022,Kansas,14.3
2022,Kentucky,14.4
2022,Louisiana,13.5
2022,Maryland,14
2022,Michigan,14.7
2022,Minnesota,14.1
2022,Mississippi,13.9
2022,Missouri,14.4
2022,Nebraska,14.2
2022,New Jersey,14.5
2022,New York,14.4
2022,North Carolina,14.4
2022,North Dakota,13.7
2022,Ohio,14.4
2022,Oklahoma,14
2022,Pennsylvania,14.5
2022,South Carolina,15.3
2022,South Dakota,14.1
2022,Tennessee,13.8
2022,Texas,13.1
2022,Virginia,14.2
2022,Wisconsin,13.8
2021,Alabama,13.5
2021,Arkansas,12.9
2021,Delaware,14.2
2021,Georgia,13.9
2021,Illinois,13.5
2021,Indiana,13.3
2021,Iowa,13.4
2021,Kansas,12.9
2021,Kentucky,13.1
2021,Louisiana,12.4
2021,Maryland,14.2
2021,Michigan,14
2021,Minnesota,13.4
2021,Mississippi,12.4
2021,Missouri,13.8
2021,Nebraska,12.7
2021,New Jersey,12.9
2021,New York,12.3
2021,North Carolina,13.2
2021,North Dakota,12.6
2021,Ohio,13.6
2021,Oklahoma,11.9
2021,Other States,0
2021,Pennsylvania,13.8
2021,South Carolina,14.6
2021,South Dakota,13.1
2021,Tennessee,12.8
2021,Texas,11.7
2021,Virginia,13.6
2021,Wisconsin,12.7
2020,Alabama,11.7
2020,Arkansas,10.5
2020,Delaware,11.6
2020,Florida, (NA)
2020,Georgia,13
2020,Illinois,10.9
2020,Indiana,11.1
2020,Iowa,11.1
2020,Kansas,10.7
2020,Kentucky,10.8
2020,Louisiana,10
2020,Maryland,11.6
2020,Michigan,11.7
2020,Minnesota,11
2020,Mississippi,10.2
2020,Missouri,11.1
2020,Nebraska,10.2
2020,New Jersey,11.5
2020,New York,11.3
2020,North Carolina,11.2
2020,North Dakota,10.2
2020,Ohio,11.3
2020,Oklahoma,10.1
2020,Other States,0
2020,Pennsylvania,11.3
2020,South Carolina,12
2020,South Dakota,10.3
2020,Tennessee,10.8
2020,Texas,9.1
2020,Virginia,11.9
2020,West Virginia, (NA)
2020,Wisconsin,10.4
2019,Alabama,9.1
2019,Arkansas,8.87
2019,Delaware,8.35
2019,Florida, (NA)
2019,Georgia,8.95
2019,Illinois,8.84
2019,Indiana,8.92
2019,Iowa,8.48
2019,Kansas,8.28
2019,Kentucky,8.98
2019,Louisiana,8.7
2019,Maryland,8.35
2019,Michigan,8.81
2019,Minnesota,8.29
2019,Mississippi,8.8
2019,Missouri,8.75
2019,Nebraska,8.27
2019,New Jersey,8.45
2019,New York,8.5
2019,North Carolina,8.71
2019,North Dakota,7.93
2019,Ohio,9.04
2019,Oklahoma,8.45
2019,Pennsylvania,8.5
2019,South Carolina,9.2
2019,South Dakota,8.22
2019,Tennessee,8.96
2019,Texas,7.7
2019,Virginia,8.8
2019,West Virginia, (NA)
2019,Wisconsin,8.42
2018,Alabama,8.5
2018,Arkansas,8.81
2018,Delaware,8.25
2018,Florida,8.1
2018,Georgia,7.9
2018,Illinois,8.74
2018,Indiana,8.73
2018,Iowa,8.46
2018,Kansas,7.93
2018,Kentucky,8.79
2018,Louisiana,8.95
2018,Maryland,8.12
2018,Michigan,8.53
2018,Minnesota,8.4
2018,Mississippi,8.85
2018,Missouri,8.56
2018,Nebraska,8.2
2018,New Jersey,7.98
2018,New York,8.2
2018,North Carolina,8.66
2018,North Dakota,7.98
2018,Ohio,8.69
2018,Oklahoma,7.89
2018,Pennsylvania,8.42
2018,South Carolina,9.1
2018,South Dakota,7.97
2018,Tennessee,8.75
2018,Texas,7.59
2018,Virginia,8.3
2018,West Virginia,8.5
2018,Wisconsin,8.49
2017,Alabama,9.43
2017,Arkansas,9.77
2017,Delaware,9.19
2017,Florida,8.85
2017,Georgia,9.62
2017,Illinois,9.6
2017,Indiana,9.61
2017,Iowa,9.25
2017,Kansas,9
2017,Kentucky,9.7
2017,Louisiana,9.67
2017,Maryland,9.2
2017,Michigan,9.39
2017,Minnesota,9.17
2017,Mississippi,9.74
2017,Missouri,9.48
2017,Nebraska,9.08
2017,New Jersey,9.3
2017,New York,9.26
2017,North Carolina,9.5
2017,North Dakota,8.88
2017,Ohio,9.62
2017,Oklahoma,9.1
2017,Pennsylvania,9.34
2017,South Carolina,9.52
2017,South Dakota,8.94
2017,Tennessee,9.7
2017,Texas,8.9
2017,Virginia,9.4
2017,West Virginia,9.4
2017,Wisconsin,9.34
2016,Alabama,9.83
2016,Arkansas,9.83
2016,Delaware,9.44
2016,Florida,8.75
2016,Georgia,10.1
2016,Illinois,9.78
2016,Indiana,9.69
2016,Iowa,9.34
2016,Kansas,9.26
2016,Kentucky,9.87
2016,Louisiana,9.93
2016,Maryland,9.33
2016,Michigan,9.51
2016,Minnesota,9.23
2016,Mississippi,9.94
2016,Missouri,9.6
2016,Nebraska,9.18
2016,New Jersey,9.59
2016,New York,9.57
2016,North Carolina,9.8
2016,North Dakota,8.97
2016,Ohio,9.66
2016,Oklahoma,9.4
2016,Pennsylvania,9.54
2016,South Carolina,9.68
2016,South Dakota,9.03
2016,Tennessee,9.78
2016,Texas,9.16
2016,Virginia,9.4
2016,West Virginia,9.4
2016,Wisconsin,9.36
2015,Alabama,8.95
2015,Arkansas,9.46
2015,Delaware,9.17
2015,Florida,8
2015,Georgia,9.25
2015,Illinois,9.19
2015,Indiana,9.16
2015,Iowa,8.91
2015,Kansas,8.56
2015,Kentucky,9.24
2015,Louisiana,9.74
2015,Maryland,9.11
2015,Michigan,8.82
2015,Minnesota,8.75
2015,Mississippi,9.72
2015,Missouri,9.16
2015,Nebraska,8.66
2015,New Jersey,8.64
2015,New York,9.1
2015,North Carolina,8.68
2015,North Dakota,8.49
2015,Ohio,9.16
2015,Oklahoma,8.8
2015,Pennsylvania,8.69
2015,South Carolina,8.65
2015,South Dakota,8.54
2015,Tennessee,9.29
2015,Texas,8.4
2015,Virginia,8.8
2015,West Virginia,8.8
2015,Wisconsin,8.73
2014,Alabama,10
2014,Arkansas,10.6
2014,Delaware,9.6
2014,Florida,8.9
2014,Georgia,10.5
2014,Illinois,10.2
2014,Indiana,10.2
2014,Iowa,9.96
2014,Kansas,9.63
2014,Kentucky,10.5
2014,Louisiana,10.9
2014,Maryland,9.82
2014,Michigan,10.1
2014,Minnesota,9.96
2014,Mississippi,11
2014,Missouri,9.99
2014,Nebraska,9.73
2014,New Jersey,9.85
2014,New York,9.69
2014,North Carolina,10.2
2014,North Dakota,9.49
2014,Ohio,10.3
2014,Oklahoma,9.9
2014,Pennsylvania,9.8
2014,South Carolina,10.3
2014,South Dakota,9.37
2014,Tennessee,10.6
2014,Texas,9.55
2014,Virginia,9.9
2014,West Virginia,10
2014,Wisconsin,10
2013,Alabama,12.9
2013,Arkansas,13.1
2013,Delaware,12.4
2013,Florida,11.8
2013,Georgia,13.3
2013,Illinois,13.2
2013,Indiana,13.2
2013,Iowa,13.1
2013,Kansas,12.8
2013,Kentucky,13.1
2013,Louisiana,13.4
2013,Maryland,12.4
2013,Michigan,12.9
2013,Minnesota,12.9
2013,Mississippi,13.2
2013,Missouri,13.1
2013,Nebraska,12.7
2013,New Jersey,12.4
2013,New York,12.8
2013,North Carolina,13.1
2013,North Dakota,12.4
2013,Ohio,13
2013,Oklahoma,12.9
2013,Pennsylvania,13
2013,South Carolina,13.3
2013,South Dakota,12.5
2013,Tennessee,13
2013,Texas,12.6
2013,Virginia,13
2013,West Virginia,12.9
2013,Wisconsin,12.8
2012,Alabama,14.6
2012,Arkansas,14.3
2012,Delaware,14.4
2012,Florida,14
2012,Georgia,14.6
2012,Illinois,14.6
2012,Indiana,14.7
2012,Iowa,14.4
2012,Kansas,14.3
2012,Kentucky,14.5
2012,Louisiana,14.7
2012,Maryland,14.2
2012,Michigan,14
2012,Minnesota,14.3
2012,Mississippi,14.5
2012,Missouri,14.5
2012,Nebraska,14.1
2012,New Jersey,13.9
2012,New York,13.6
2012,North Carolina,14
2012,North Dakota,14
2012,Ohio,14.6
2012,Oklahoma,14.4
2012,Pennsylvania,14.2
2012,South Carolina,14.5
2012,South Dakota,14.2
2012,Tennessee,14.6
2012,Texas,14.6
2012,Virginia,14
2012,West Virginia,14.3
2012,Wisconsin,14
2011,Alabama,12
2011,Arkansas,12.3
2011,Delaware,12.2
2011,Florida,11
2011,Georgia,12.1
2011,Illinois,12.8
2011,Indiana,12.7
2011,Iowa,12.6
2011,Kansas,12.1
2011,Kentucky,12.4
2011,Louisiana,12
2011,Maryland,12.1
2011,Michigan,12.1
2011,Minnesota,12.4
2011,Mississippi,12
2011,Missouri,12.5
2011,Nebraska,12
2011,New Jersey,12.1
2011,New York,12.3
2011,North Carolina,12.1
2011,North Dakota,11.9
2011,Ohio,13
2011,Oklahoma,11.9
2011,Pennsylvania,12.5
2011,South Carolina,12
2011,South Dakota,12.2
2011,Tennessee,12.2
2011,Texas,12
2011,Virginia,12.1
2011,West Virginia,12.4
2011,Wisconsin,12.4
2010,Alabama,11.1
2010,Arkansas,10.9
2010,Delaware,12.2
2010,Florida,11
2010,Georgia,11.7
2010,Illinois,11.8
2010,Indiana,11.5
2010,Iowa,11.2
2010,Kansas,11.5
2010,Kentucky,11.4
2010,Louisiana,10.5
2010,Maryland,12
2010,Michigan,11.1
2010,Minnesota,10.9
2010,Mississippi,10.4
2010,Missouri,11.7
2010,Nebraska,11
2010,New Jersey,11.7
2010,New York,11.4
2010,North Carolina,12
2010,North Dakota,10.9
2010,Ohio,11.5
2010,Oklahoma,11.4
2010,Pennsylvania,12.1
2010,South Carolina,11.8
2010,South Dakota,10.9
2010,Tennessee,11.1
2010,Texas,10.4
2010,Virginia,12
2010,West Virginia,12
2010,Wisconsin,10.8
2009,Alabama,10
2009,Arkansas,9.66
2009,Delaware,9.6
2009,Florida,9.5
2009,Georgia,9.8
2009,Illinois,9.8
2009,Indiana,9.8
2009,Iowa,9.52
2009,Kansas,9.38
2009,Kentucky,9.9
2009,Louisiana,9.66
2009,Maryland,9.5
2009,Michigan,9.54
2009,Minnesota,9.39
2009,Mississippi,9.24
2009,Missouri,9.61
2009,Nebraska,9.48
2009,New Jersey,9.37
2009,New York,9.1
2009,North Carolina,9.59
2009,North Dakota,9.26
2009,Ohio,9.78
2009,Oklahoma,9.4
2009,Pennsylvania,9.4
2009,South Carolina,9.5
2009,South Dakota,9.18
2009,Tennessee,9.74
2009,Texas,9.25
2009,Virginia,9.4
2009,West Virginia,9.6
2009,Wisconsin,9.62
2008,Alabama,10.3
2008,Arkansas,9.64
2008,Delaware,9.4
2008,Florida,8.5
2008,Georgia,9.5
2008,Illinois,10.2
2008,Indiana,10.2
2008,Iowa,10.2
2008,Kansas,9.39
2008,Kentucky,10
2008,Louisiana,9.52
2008,Maryland,9.2
2008,Michigan,9.82
2008,Minnesota,10.1
2008,Mississippi,9.29
2008,Missouri,9.74
2008,Nebraska,9.79
2008,New Jersey,9.75
2008,New York,10.3
2008,North Carolina,9.33
2008,North Dakota,9.71
2008,Ohio,10.3
2008,Oklahoma,9.1
2008,Pennsylvania,10.2
2008,South Carolina,9
2008,South Dakota,9.65
2008,Tennessee,9.45
2008,Texas,9.25
2008,Virginia,9.1
2008,West Virginia,9.75
2008,Wisconsin,9.8
2007,Alabama,11.4
2007,Arkansas,9.02
2007,Delaware,11.5
2007,Florida,8.9
2007,Georgia,11.9
2007,Illinois,10.4
2007,Indiana,10.2
2007,Iowa,10.5
2007,Kansas,10.1
2007,Kentucky,10.1
2007,Louisiana,8.43
2007,Maryland,11.2
2007,Michigan,9.69
2007,Minnesota,10.2
2007,Mississippi,8.36
2007,Missouri,10.1
2007,Nebraska,9.92
2007,New Jersey,10.1
2007,New York,11.2
2007,North Carolina,10.1
2007,North Dakota,9.63
2007,Ohio,9.93
2007,Oklahoma,10
2007,Pennsylvania,10.7
2007,South Carolina,10.9
2007,South Dakota,9.6
2007,Tennessee,10.3
2007,Texas,10.4
2007,Virginia,11.4
2007,West Virginia,11.3
2007,Wisconsin,9.83
2006,Alabama,6.85
2006,Arkansas,6.41
2006,Delaware,6.6
2006,Florida,6.25
2006,Georgia,6.85
2006,Illinois,6.68
2006,Indiana,6.53
2006,Iowa,6.58
2006,Kansas,6.37
2006,Kentucky,6.68
2006,Louisiana,5.94
2006,Maryland,6.4
2006,Michigan,6.27
2006,Minnesota,6.26
2006,Mississippi,6.23
2006,Missouri,6.47
2006,Nebraska,6.05
2006,New Jersey,6.25
2006,New York,6.19
2006,North Carolina,6.35
2006,North Dakota,5.98
2006,Ohio,6.46
2006,Oklahoma,6.35
2006,Pennsylvania,6.25
2006,South Carolina,6.8
2006,South Dakota,6.03
2006,Tennessee,6.3
2006,Texas,5.4
2006,Virginia,6.54
2006,West Virginia,6.4
2006,Wisconsin,6.04
2005,Alabama,5.95
2005,Arkansas,5.92
2005,Delaware,5.65
2005,Florida,5.4
2005,Georgia,5.5
2005,Illinois,5.76
2005,Indiana,5.78
2005,Iowa,5.54
2005,Kansas,5.45
2005,Kentucky,5.86
2005,Louisiana,5.97
2005,Maryland,5.53
2005,Michigan,5.73
2005,Minnesota,5.53
2005,Mississippi,5.92
2005,Missouri,5.67
2005,Nebraska,5.55
2005,New Jersey,5.65
2005,New York,5.2
2005,North Carolina,5.64
2005,North Dakota,5.37
2005,Ohio,5.74
2005,Oklahoma,5.45
2005,Pennsylvania,5.6
2005,South Carolina,5.55
2005,South Dakota,5.39
2005,Tennessee,5.73
2005,Texas,5.45
2005,Virginia,5.53
2005,West Virginia,5.49
2005,Wisconsin,5.64
2004,Alabama,6.25
2004,Arkansas,5.88
2004,Delaware,5.4
2004,Florida,5.6
2004,Georgia,5.7
2004,Illinois,5.84
2004,Indiana,5.66
2004,Iowa,5.76
2004,Kansas,5.39
2004,Kentucky,5.87
2004,Louisiana,6.29
2004,Maryland,5.35
2004,Michigan,5.72
2004,Minnesota,5.9
2004,Mississippi,6.2
2004,Missouri,5.62
2004,Nebraska,5.54
2004,New Jersey,5.45
2004,New York,5.4
2004,North Carolina,5.56
2004,North Dakota,5.75
2004,Ohio,5.74
2004,Oklahoma,5.7
2004,Pennsylvania,5.43
2004,South Carolina,5.6
2004,South Dakota,5.58
2004,Tennessee,5.58
2004,Texas,5.85
2004,Virginia,5.32
2004,West Virginia,5.34
2004,Wisconsin,5.7
2003,Alabama,7.25
2003,Arkansas,7.11
2003,Delaware,7.65
2003,Florida,6.9
2003,Georgia,7.47
2003,Illinois,7.51
2003,Indiana,7.67
2003,Iowa,7.7
2003,Kansas,7.68
2003,Kentucky,7.4
2003,Louisiana,6.8
2003,Maryland,7.65
2003,Michigan,7.3
2003,Minnesota,7.26
2003,Mississippi,6.61
2003,Missouri,7.52
2003,Nebraska,7.02
2003,New Jersey,7.35
2003,New York,7.8
2003,North Carolina,7.29
2003,North Dakota,6.62
2003,Ohio,7.2
2003,Oklahoma,7.4
2003,Pennsylvania,7.33
2003,South Carolina,7.6
2003,South Dakota,6.96
2003,Tennessee,7.05
2003,Texas,7
2003,Virginia,7.67
2003,West Virginia,7.54
2003,Wisconsin,7.11
2002,Alabama,5.55
2002,Arkansas,5.65
2002,Delaware,5.7
2002,Florida,5.35
2002,Georgia,5.45
2002,Illinois,5.66
2002,Indiana,5.55
2002,Iowa,5.54
2002,Kansas,5.49
2002,Kentucky,5.74
2002,Louisiana,5.52
2002,Maryland,5.7
2002,Michigan,5.62
2002,Minnesota,5.42
2002,Mississippi,5.52
2002,Missouri,5.54
2002,Nebraska,5.43
2002,New Jersey,5.4
2002,New York,5.85
2002,North Carolina,5.63
2002,North Dakota,5.32
2002,Ohio,5.59
2002,Oklahoma,5.5
2002,Pennsylvania,5.9
2002,South Carolina,5.6
2002,South Dakota,5.33
2002,Tennessee,5.7
2002,Texas,5.1
2002,Virginia,5.54
2002,West Virginia,5.64
2002,Wisconsin,5.35
2001,Alabama,4.6
2001,Arkansas,4.37
2001,Delaware,4.25
2001,Florida,4.2
2001,Georgia,4.35
2001,Illinois,4.55
2001,Indiana,4.42
2001,Iowa,4.35
2001,Kansas,4.16
2001,Kentucky,4.47
2001,Louisiana,4.39
2001,Maryland,4.2
2001,Michigan,4.47
2001,Minnesota,4.32
2001,Mississippi,4.39
2001,Missouri,4.32
2001,Nebraska,4.19
2001,New Jersey,4.15
2001,New York,4.55
2001,North Carolina,4.29
2001,North Dakota,4.05
2001,Ohio,4.46
2001,Oklahoma,4.3
2001,Pennsylvania,4.26
2001,South Carolina,4.45
2001,South Dakota,4.13
2001,Tennessee,4.46
2001,Texas,4.6
2001,Virginia,4.3
2001,West Virginia,4.33
2001,Wisconsin,4.31
2000,Alabama,4.75
2000,Arkansas,4.73
2000,Delaware,4.5
2000,Florida,4.45
2000,Georgia,4.43
2000,Illinois,4.62
2000,Indiana,4.61
2000,Iowa,4.49
2000,Kansas,4.5
2000,Kentucky,4.71
2000,Louisiana,4.86
2000,Maryland,4.5
2000,Michigan,4.54
2000,Minnesota,4.38
2000,Mississippi,4.71
2000,Missouri,4.55
2000,Nebraska,4.44
2000,New Jersey,4.35
2000,New York,4.55
2000,North Carolina,4.51
2000,North Dakota,4.23
2000,Ohio,4.63
2000,Oklahoma,4.25
2000,Pennsylvania,4.37
2000,South Carolina,4.5
2000,South Dakota,4.27
2000,Tennessee,4.69
2000,Texas,4.4
2000,Virginia,4.35
2000,West Virginia,4.66
2000,Wisconsin,4.45
