Year,State,Value
2023,Alabama,14620000
2023,Arkansas,159300000
2023,Delaware,6808000
2023,Georgia,6665000
2023,Illinois,648900000
2023,Indiana,334280000
2023,Iowa,573040000
2023,Kansas,103480000
2023,Kentucky,100100000
2023,Louisiana,39200000
2023,Maryland,21620000
2023,Michigan,92920000
2023,Minnesota,349440000
2023,Mississippi,119280000
2023,Missouri,264960000
2023,Nebraska,266770000
2023,New Jersey,4214000
2023,New York,17340000
2023,North Carolina,62370000
2023,North Dakota,218680000
2023,Ohio,274340000
2023,Oklahoma,10400000
2023,Pennsylvania,26320000
2023,South Carolina,15015000
2023,South Dakota,223080000
2023,Tennessee,80070000
2023,Texas,2125000
2023,Virginia,21660000
2023,Wisconsin,105060000
2022,Alabama,14555000
2022,Arkansas,163280000
2022,Delaware,6794000
2022,Georgia,6478000
2022,Illinois,677250000
2022,Indiana,335225000
2022,Iowa,586755000
2022,Kansas,129800000
2022,Kentucky,98940000
2022,Louisiana,56870000
2022,Maryland,21930000
2022,Michigan,105280000
2022,Minnesota,369500000
2022,Mississippi,123660000
2022,Missouri,274820000
2022,Nebraska,276850000
2022,New Jersey,3024000
2022,New York,14625000
2022,North Carolina,64680000
2022,North Dakota,198450000
2022,Ohio,281940000
2022,Oklahoma,6460000
2022,Pennsylvania,25370000
2022,South Carolina,14615000
2022,South Dakota,192660000
2022,Tennessee,77760000
2022,Texas,1700000
2022,Virginia,25010000
2022,Wisconsin,116100000
2021,Alabama,14030000
2021,Arkansas,156000000
2021,Delaware,7803000
2021,Georgia,6210000
2021,Illinois,683150000
2021,Indiana,338400000
2021,Iowa,631890000
2021,Kansas,192000000
2021,Kentucky,103040000
2021,Louisiana,55120000
2021,Maryland,25705000
2021,Michigan,109140000
2021,Minnesota,356260000
2021,Mississippi,117180000
2021,Missouri,276360000
2021,Nebraska,350910000
2021,New Jersey,4554000
2021,New York,16960000
2021,North Carolina,65200000
2021,North Dakota,181560000
2021,Ohio,278160000
2021,Oklahoma,12305000
2021,Pennsylvania,31535000
2021,South Carolina,14630000
2021,South Dakota,215600000
2021,Tennessee,76000000
2021,Texas,3800000
2021,Virginia,27140000
2021,Wisconsin,113850000
2020,Alabama,11275000
2020,Arkansas,144200000
2020,Delaware,7252000
2020,Georgia,3895000
2020,Illinois,615000000
2020,Indiana,338070000
2020,Iowa,505980000
2020,Kansas,194750000
2020,Kentucky,101200000
2020,Louisiana,54060000
2020,Maryland,21855000
2020,Michigan,105120000
2020,Minnesota,369000000
2020,Mississippi,111240000
2020,Missouri,296310000
2020,Nebraska,299280000
2020,New Jersey,4278000
2020,New York,15912000
2020,North Carolina,59660000
2020,North Dakota,193800000
2020,Ohio,270600000
2020,Oklahoma,16200000
2020,Pennsylvania,28980000
