Year,State,Value
2023,Alabama,195822000
2023,Arkansas,2086830000
2023,Delaware,85781000
2023,Georgia,86645000
2023,Illinois,8241030000
2023,Indiana,4278784000
2023,Iowa,7220304000
2023,Kansas,1320228000
2023,Kentucky,1291290000
2023,Louisiana,521360000
2023,Maryland,272412000
2023,Michigan,1213940000
2023,Minnesota,4368000000
2023,Mississippi,1598352000
2023,Missouri,3364992000
2023,Nebraska,3361302000
2023,New Jersey,53939000
2023,New York,221952000
2023,North Carolina,809540000
2023,North Dakota,2689764000
2023,Ohio,3456684000
2023,Oklahoma,136448000
2023,Other States,0
2023,Pennsylvania,336896000
2023,South Carolina,208709000
2023,South Dakota,2766192000
2023,Tennessee,1016889000
2023,Texas,26563000
2023,Virginia,281580000
2023,Wisconsin,1302744000
2022,Alabama,206681000
2022,Arkansas,2318576000
2022,Delaware,95116000
2022,Georgia,95227000
2022,Illinois,9684675000
2022,Indiana,4827240000
2022,Iowa,8331921000
2022,Kansas,1856140000
2022,Kentucky,1424736000
2022,Louisiana,767745000
2022,Maryland,307020000
2022,Michigan,1547616000
2022,Minnesota,5209950000
2022,Mississippi,1718874000
2022,Missouri,3957408000
2022,Nebraska,3931270000
2022,New Jersey,43848000
2022,New York,210600000
2022,North Carolina,931392000
2022,North Dakota,2718765000
2022,Ohio,4059936000
2022,Oklahoma,90440000
2022,Pennsylvania,367865000
2022,South Carolina,223610000
2022,South Dakota,2716506000
2022,Tennessee,1073088000
2022,Texas,22270000
2022,Virginia,355142000
2022,Wisconsin,1602180000
2021,Alabama,189405000
2021,Arkansas,2012400000
2021,Delaware,110803000
2021,Georgia,86319000
2021,Illinois,9222525000
2021,Indiana,4500720000
2021,Iowa,8467326000
2021,Kansas,2476800000
2021,Kentucky,1349824000
2021,Louisiana,683488000
2021,Maryland,365011000
2021,Michigan,1527960000
2021,Minnesota,4773884000
2021,Mississippi,1453032000
2021,Missouri,3813768000
2021,Nebraska,4456557000
2021,New Jersey,58747000
2021,New York,208608000
2021,North Carolina,860640000
2021,North Dakota,2287656000
2021,Ohio,3782976000
2021,Oklahoma,146430000
2021,Other States,0
2021,Pennsylvania,435183000
2021,South Carolina,213598000
2021,South Dakota,2824360000
2021,Tennessee,972800000
2021,Texas,44460000
2021,Virginia,369104000
2021,Wisconsin,1445895000
2020,Alabama,131918000
2020,Arkansas,1514100000
2020,Delaware,84123000
2020,Georgia,50635000
2020,Illinois,6703500000
2020,Indiana,3752577000
2020,Iowa,5616378000
2020,Kansas,2083825000
2020,Kentucky,1092960000
2020,Louisiana,540600000
2020,Maryland,253518000
2020,Michigan,1229904000
2020,Minnesota,4059000000
2020,Mississippi,1134648000
2020,Missouri,3289041000
2020,Nebraska,3052656000
2020,New Jersey,49197000
2020,New York,179806000
2020,North Carolina,668192000
2020,North Dakota,1976760000
2020,Ohio,3057780000
2020,Oklahoma,163620000
2020,Other States,0
2020,Pennsylvania,327474000
2020,South Carolina,123900000
2020,South Dakota,2331096000
2020,Tennessee,874800000
2020,Texas,34034000
2020,Virginia,279888000
2020,Wisconsin,1076192000
2019,Alabama,85176000
2019,Arkansas,1134384000
2019,Delaware,60045000
2019,Georgia,22321000
2019,Illinois,4706770000
2019,Indiana,2438371000
2019,Iowa,4253568000
2019,Kansas,1542854000
2019,Kentucky,693974000
2019,Louisiana,359136000
2019,Maryland,174515000
2019,Michigan,613705000
2019,Minnesota,2469425000
2019,Mississippi,717200000
2019,Missouri,2016525000
2019,Nebraska,2341568000
2019,New Jersey,28764000
2019,New York,91800000
2019,North Carolina,460324000
2019,North Dakota,1348893000
2019,Ohio,1891439000
2019,Oklahoma,107822000
2019,Pennsylvania,254065000
2019,South Carolina,75348000
2019,South Dakota,1201764000
2019,Tennessee,576934000
2019,Texas,15523000
2019,Virginia,167552000
2019,Wisconsin,668801000
2018,Alabama,113900000
2018,Arkansas,1428145000
2018,Delaware,57519000
2018,Florida,3596000
2018,Georgia,40567000
2018,Illinois,5827395000
2018,Indiana,2991771000
2018,Iowa,4657061000
2018,Kansas,1599243000
2018,Kentucky,865200000
2018,Louisiana,548501000
2018,Maryland,198640000
2018,Michigan,935954000
2018,Minnesota,3148740000
2018,Mississippi,1046601000
2018,Missouri,2201718000
2018,Nebraska,2658604000
2018,New Jersey,33731000
2018,New York,138580000
2018,North Carolina,448675000
2018,North Dakota,1910412000
2018,Ohio,2442933000
2018,Oklahoma,132552000
2018,Pennsylvania,236055000
2018,South Carolina,87087000
2018,South Dakota,2001267000
2018,Tennessee,664869000
2018,Texas,32280000
2018,Virginia,205674000
2018,West Virginia,12164000
2018,Wisconsin,888394000
2017,Alabama,149654000
2017,Arkansas,1743945000
2017,Delaware,74053000
2017,Florida,4213000
2017,Georgia,60606000
2017,Illinois,5874240000
2017,Indiana,3082504000
2017,Iowa,5240865000
2017,Kansas,1724625000
2017,Kentucky,997354000
2017,Louisiana,652725000
2017,Maryland,232254000
2017,Michigan,905900000
2017,Minnesota,3523802000
2017,Mississippi,1120197000
2017,Missouri,2773327000
2017,Nebraska,2960307000
2017,New Jersey,41432000
2017,New York,110426000
2017,North Carolina,642200000
2017,North Dakota,2159838000
2017,Ohio,2423807000
2017,Oklahoma,168896000
2017,Pennsylvania,271234000
2017,South Carolina,141086000
2017,South Dakota,2156596000
2017,Tennessee,805100000
2017,Texas,60921000
2017,Virginia,244024000
2017,West Virginia,13198000
2017,Wisconsin,949411000
2016,Alabama,128970000
2016,Arkansas,1427611000
2016,Delaware,63862000
2016,Florida,9135000
2016,Georgia,72720000
2016,Illinois,5799051000
2016,Indiana,3136895000
2016,Iowa,5290176000
2016,Kansas,1782365000
2016,Kentucky,878430000
2016,Louisiana,573110000
2016,Maryland,199410000
2016,Michigan,989325000
2016,Minnesota,3594900000
2016,Mississippi,963782000
2016,Missouri,2606016000
2016,Nebraska,2883897000
2016,New Jersey,33834000
2016,New York,125558000
2016,North Carolina,569380000
2016,North Dakota,2229807000
2016,Ohio,2548115000
2016,Oklahoma,128122000
2016,Pennsylvania,249757000
2016,South Carolina,121532000
2016,South Dakota,2310912000
2016,Tennessee,717363000
2016,Texas,41174000
2016,Virginia,203040000
2016,West Virginia,12464000
2016,Wisconsin,1003860000
2015,Alabama,179806000
2015,Arkansas,1469422000
2015,Delaware,63456000
2015,Florida,8816000
2015,Georgia,123303000
2015,Illinois,5002301000
2015,Indiana,2519000000
2015,Iowa,4933467000
2015,Kansas,1272102000
2015,Kentucky,819496000
2015,Louisiana,555083000
2015,Maryland,187666000
2015,Michigan,873004000
2015,Minnesota,3303125000
2015,Mississippi,1014962000
2015,Missouri,1658281000
2015,Nebraska,2647016000
2015,New Jersey,28477000
2015,New York,117781000
2015,North Carolina,480525000
2015,North Dakota,1578291000
2015,Ohio,2170920000
2015,Oklahoma,102300000
2015,Pennsylvania,223681000
2015,South Carolina,84813000
2015,South Dakota,2011341000
2015,Tennessee,735025000
2015,Texas,25116000
2015,Virginia,188232000
2015,West Virginia,10982000
2015,Wisconsin,808092000
2014,Alabama,188000000
2014,Arkansas,1679040000
2014,Delaware,83453000
2014,Florida,14160000
2014,Georgia,121800000
2014,Illinois,5580624000
2014,Indiana,3079584000
2014,Iowa,4962769000
2014,Kansas,1353785000
2014,Kentucky,872813000
2014,Louisiana,859116000
2014,Maryland,228119000
2014,Michigan,875670000
2014,Minnesota,3004982000
2014,Mississippi,1252680000
2014,Missouri,2596751000
2014,Nebraska,2800489000
2014,New Jersey,44640000
2014,New York,141009000
2014,North Carolina,705840000
2014,North Dakota,1921867000
2014,Ohio,2536118000
2014,Oklahoma,101178000
2014,Pennsylvania,280917000
2014,South Carolina,158620000
2014,South Dakota,2154632000
2014,Tennessee,785036000
2014,Texas,49641000
2014,Virginia,250272000
2014,West Virginia,13260000
2014,Wisconsin,787600000
2013,Alabama,241295000
2013,Arkansas,1846314000
2013,Delaware,81865000
2013,Florida,14514000
2013,Georgia,123890000
2013,Illinois,6256800000
2013,Indiana,3528162000
2013,Iowa,5513463000
2013,Kansas,1676544000
2013,Kentucky,1087300000
2013,Louisiana,727888000
2013,Maryland,235104000
2013,Michigan,1102176000
2013,Minnesota,3586716000
2013,Mississippi,1208328000
2013,Missouri,2645676000
2013,Nebraska,3240977000
2013,New Jersey,43102000
2013,New York,170803000
2013,North Carolina,636333000
2013,North Dakota,1751066000
2013,Ohio,2889315000
2013,Oklahoma,131812000
2013,Pennsylvania,340795000
2013,South Carolina,117506000
2013,South Dakota,2318625000
2013,Tennessee,936975000
2013,Texas,29560000
2013,Virginia,300300000
2013,West Virginia,13197000
2013,Wisconsin,773760000
2012,Alabama,220095000
2012,Arkansas,1959458000
2012,Delaware,102816000
2012,Florida,10920000
2012,Georgia,117720000
2012,Illinois,5606254000
2012,Indiana,3311616000
2012,Iowa,6032880000
2012,Kansas,1256398000
2012,Kentucky,852600000
2012,Louisiana,762166000
2012,Maryland,317015000
2012,Michigan,1197980000
2012,Minnesota,4354350000
2012,Mississippi,1272375000
2012,Missouri,2292450000
2012,Nebraska,2919899000
2012,New Jersey,50957000
2012,New York,195187000
2012,North Carolina,873740000
2012,North Dakota,2284590000
2012,Ohio,3015630000
2012,Oklahoma,56160000
2012,Pennsylvania,354432000
2012,South Carolina,182410000
2012,South Dakota,2044232000
2012,Tennessee,682404000
2012,Texas,41756000
2012,Virginia,341040000
2012,West Virginia,14014000
2012,Wisconsin,999600000
2011,Alabama,116820000
2011,Arkansas,1553244000
2011,Delaware,80959000
2011,Florida,4752000
2011,Georgia,35937000
2011,Illinois,5417280000
2011,Indiana,3056827000
2011,Iowa,5989347000
2011,Kansas,1251140000
2011,Kentucky,715728000
2011,Louisiana,423360000
2011,Maryland,219434000
2011,Michigan,1044593000
2011,Minnesota,3404544000
2011,Mississippi,842400000
2011,Missouri,2377063000
2011,Nebraska,3136320000
2011,New Jersey,39543000
2011,New York,146505000
2011,North Carolina,501908000
2011,North Dakota,1366596000
2011,Ohio,2832960000
2011,Oklahoma,40996000
2011,Pennsylvania,269500000
2011,South Carolina,110160000
2011,South Dakota,1837198000
2011,Tennessee,491904000
2011,Texas,20520000
2011,Virginia,266200000
2011,West Virginia,10131000
2011,Wisconsin,938308000
2010,Alabama,99567000
2010,Arkansas,1201725000
2010,Delaware,67539000
2010,Florida,7590000
2010,Georgia,77571000
2010,Illinois,5499685000
2010,Indiana,2972808000
2010,Iowa,5557776000
2010,Kansas,1612875000
2010,Kentucky,538764000
2010,Louisiana,439110000
2010,Maryland,189720000
2010,Michigan,985014000
2010,Minnesota,3585555000
2010,Mississippi,792792000
2010,Missouri,2461739000
2010,Nebraska,2945250000
2010,New Jersey,25834000
2010,New York,152669000
2010,North Carolina,483600000
2010,North Dakota,1508342000
2010,Ohio,2533680000
2010,Oklahoma,135375000
2010,Pennsylvania,251559000
2010,South Carolina,123487000
2010,South Dakota,1714788000
2010,Tennessee,485181000
2010,Texas,57720000
2010,Virginia,168480000
2010,West Virginia,6480000
2010,Wisconsin,889002000
2009,Alabama,172000000
2009,Arkansas,1184558000
2009,Delaware,73786000
2009,Florida,12274000
2009,Georgia,155232000
2009,Illinois,4214980000
2009,Indiana,2612288000
2009,Iowa,4627006000
2009,Kansas,1523547000
2009,Kentucky,674784000
2009,Louisiana,354136000
2009,Maryland,189525000
2009,Michigan,759384000
2009,Minnesota,2674272000
2009,Mississippi,712774000
2009,Missouri,2215586000
2009,Nebraska,2459302000
2009,New Jersey,34238000
2009,New York,99390000
2009,North Carolina,570605000
2009,North Dakota,1075086000
2009,Ohio,2170867000
2009,Oklahoma,113646000
2009,Pennsylvania,192418000
2009,South Carolina,131509000
2009,South Dakota,1615496000
2009,Tennessee,670599000
2009,Texas,44816000
2009,Virginia,198246000
2009,West Virginia,7478000
2009,Wisconsin,623376000
2008,Alabama,126175000
2008,Arkansas,1190540000
2008,Delaware,49895000
2008,Florida,9367000
2008,Georgia,122218000
2008,Illinois,4372128000
2008,Indiana,2492370000
2008,Iowa,4586481000
2008,Kansas,1129148000
2008,Kentucky,476100000
2008,Louisiana,298452000
2008,Maryland,133860000
2008,Michigan,686713000
2008,Minnesota,2675086000
2008,Mississippi,728336000
2008,Missouri,1861704000
2008,Nebraska,2212442000
2008,New Jersey,26325000
2008,New York,107079000
2008,North Carolina,514176000
2008,North Dakota,1022269000
2008,Ohio,1661184000
2008,Oklahoma,81900000
2008,Pennsylvania,175440000
2008,South Carolina,152640000
2008,South Dakota,1332086000
2008,Tennessee,469098000
2008,Texas,46463000
2008,Virginia,165984000
2008,West Virginia,7196000
2008,Wisconsin,545370000
2007,Alabama,44289000
2007,Arkansas,915710000
2007,Delaware,46345000
2007,Florida,2563000
2007,Georgia,101745000
2007,Illinois,3745872000
2007,Indiana,2247468000
2007,Iowa,4711980000
2007,Kansas,869913000
