State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,99494,118990,131202,153796,197526,192365,190684,149149,135208,139780,161938,159321,212555,274500,269469,265681
Alaska,,,,,,,,,,,,,,,,
Arizona,14361,12773,19262,29297,42203,42716,43115,30584,39481,38407,24471,31078,36490,26714,50350,71607
Arkansas,304485,258924,238335,316039,632833,775977,647670,365488,398419,414067,440797,462837,516378,690254,843819,814827
California,135083,143880,149409,163390,189042,179619,136299,58574,59492,72498,55445,47628,50313,59938,49742,33759
Colorado,510533,494721,651909,872904,971003,656306,545669,497196,493365,501393,608035,567208,584785,654926,745828,847416
Connecticut,,,,,,,,,,,,,,,,
Delaware,68373,75673,90859,113866,150003,133654,120419,108109,106233,103746,109114,95665,128150,162215,170006,154544
Florida,11164,14125,13092,15161,26291,36232,34322,20099,21514,20584,32636,38735,42344,58064,65528,59529
Georgia,192475,189422,206273,227575,355870,386036,331077,194561,195006,184936,201733,227551,300604,393856,443475,450616
Hawaii,,,,,,,,,,,,,,,,
Idaho,62572,53449,73459,114246,161429,137027,85177,59586,67504,80127,101703,117761,130426,126034,141244,160282
Illinois,8514991,7519936,8112349,10528233,11283961,7575564,9371371,7597694,7386469,7066245,7866810,7491386,7018798,10613190,13661316,13106282
Indiana,3908404,3276474,3523624,5103051,4874684,3750858,4611958,3638872,3030188,3322264,3286338,3460745,3228546,5029723,6468360,5620530
Iowa,9176754,7967229,8355309,11439876,13364355,10240109,8172914,8041007,8451937,7936209,8076021,8701603,8136934,11907771,15380757,14072210
Kansas,1712251,1785810,2513304,2211673,2419453,1979081,1961563,1865179,2073622,2039193,2293754,2392803,2907098,3550889,3926911,3349770
Kentucky,575695,587671,600035,820465,838463,751986,889888,750124,764728,697700,739261,826892,817024,1264511,1430632,1242010
Louisiana,357307,310946,331752,381846,558063,570352,467645,273006,296373,317977,324908,318878,341544,426274,498418,571094
Maine,,,,,,,,,,,,,,,,
Maryland,168399,187745,219962,233516,298191,291969,276462,229687,218591,222308,232072,246449,313853,370532,387358,341604
Massachusetts,,,,,,,,,,,,,,,,
Michigan,1140043,934261,1140190,1708850,1894577,1535417,1294288,1195872,1042656,965582,959662,957268,896511,1530435,1911848,1739197
Minnesota,4587681,3701792,4297762,5611506,7222520,7512305,4653818,4077371,4318137,4424605,4530277,4172188,4005139,6974794,8023472,7911555
Mississippi,420833,414590,379446,465439,749467,780898,585453,352507,385925,379798,348277,361941,389284,512770,648697,689121
Missouri,1678006,1442154,1550419,1992097,1948870,1574115,2031366,1843966,1632226,1757170,1825897,1655819,1821123,2877228,3283616,3063939
Montana,17759,14593,19242,25097,33271,36650,31772,23505,20573,18282,17295,20357,23619,32048,42690,49632
Nebraska,5283467,5091545,5493148,8182648,8458274,7224114,6092382,5742045,5393941,5182906,5791052,6175914,6106616,8881985,10745854,8969616
Nevada,,,,,,,,,,,,,,,,
New Hampshire,,,,,,,,,,,,,,,,
New Jersey,33902,30965,35925,45186,61225,53282,45218,38824,36214,35646,37190,32993,48168,62284,56096,42591
New Mexico,41055,43888,44969,50738,52066,39901,36012,33166,27024,21065,24155,26164,30969,36093,37107,39744
New York,293254,315026,341591,450320,506253,460886,402332,332582,288364,252455,313001,344528,367769,512875,536583,473240
North Carolina,381402,311541,355288,431105,648496,566407,501386,377139,467824,480831,472459,396494,487186,736174,762945,756932
North Dakota,993100,830692,708352,1122104,1638057,1765753,1298479,876972,1176960,1256444,1343113,1294311,1088075,1471804,2077006,2071839
Ohio,1912665,1633791,1919116,2447383,3008454,2736438,2261659,1989210,1751630,1682700,2063744,1988845,1643407,2882387,3706931,3208287
Oklahoma,132136,132500,149147,129081,145781,188450,187726,142740,130025,122153,133783,146295,173053,210566,206834,220619
Oregon,23217,24256,32107,50450,72994,53269,33139,26507,25579,33443,33402,36633,61557,84588,82795,77949
Pennsylvania,455781,373870,574676,523314,790605,649883,565737,496980,543631,402633,455891,552719,486952,678031,902616,494798
Rhode Island,,,,,,,,,,,,,,,,
South Carolina,110510,111920,157828,143080,212457,231134,171653,111341,127801,168656,188390,172922,193912,251671,279794,275555
South Dakota,2152772,2090949,1946581,2953579,3416284,2839923,2813518,2350969,2303065,2194401,2292020,2118493,1937441,3487080,4225160,3896595
Tennessee,276289,283078,271829,417527,531584,572550,487044,397055,416410,382038,366392,457373,515644,851226,690369,646802
Texas,1201812,1020539,1242857,816308,1477859,1170787,1308204,1067346,1170850,1010355,1029645,1102881,901148,1486278,1154451,1374919
Utah,11449,12868,14506,24264,36040,33281,24387,15395,14550,15771,14760,15574,18542,20824,17313,20818
Vermont,,,,,,,,,,,,,,,,
Virginia,122492,140161,128722,141970,232275,214512,219084,167288,179052,170521,181183,188199,219087,270293,324394,320492
Washington,91669,88622,113986,131455,153044,131068,115858,96314,77790,84211,77085,76448,80109,94146,112541,119701
West Virginia,10815,12203,12767,15080,22998,24475,21512,17637,17882,17111,18549,20060,22480,22467,29148,27626
Wisconsin,1230223,943999,1353168,2100897,2287737,1816705,1378247,1343143,1305917,1308075,1465229,1364148,1204139,2058133,2499986,2383219
Wyoming,20056,25390,26435,36567,55729,45230,32175,28336,30541,30377,34932,35485,27111,37257,59806,60223
