Year,State,Value
2023,ALABAMA,52480000
2023,ARIZONA,7828000
2023,ARKANSAS,151890000
2023,CALIFORNIA,7120000
2023,COLORADO,123830000
2023,DELAWARE,32508000
2023,FLORIDA,9796000
2023,GEORGIA,76560000
2023,IDAHO,23345000
2023,ILLINOIS,2276300000
2023,INDIANA,1077930000
2023,IOWA,2522550000
2023,KANSAS,612850000
2023,KENTUCKY,280500000
2023,LOUISIANA,119000000
2023,MARYLAND,72600000
2023,MICHIGAN,346080000
2023,MINNESOTA,1513300000
2023,MISSISSIPPI,139370000
2023,MISSOURI,561510000
2023,MONTANA,8772000
2023,NEBRASKA,1729000000
2023,NEW JERSEY,10920000
2023,NEW MEXICO,7285000
2023,NEW YORK,95400000
2023,NORTH CAROLINA,132300000
2023,NORTH DAKOTA,543400000
2023,OHIO,673200000
2023,OKLAHOMA,50660000
2023,OREGON,11770000
2023,OTHER STATES,0
2023,PENNSYLVANIA,106760000
2023,SOUTH CAROLINA,52500000
2023,SOUTH DAKOTA,854240000
2023,TENNESSEE,153970000
2023,TEXAS,256200000
2023,UTAH,4995000
2023,VIRGINIA,58090000
2023,WASHINGTON,18000000
2023,WEST VIRGINIA,4350000
2023,WISCONSIN,552640000
2023,WYOMING,8721000
2023,ALABAMA,55650000
2023,ARKANSAS,156600000
2023,CALIFORNIA,6880000
2023,COLORADO,130000000
2023,DELAWARE,33196000
2023,GEORGIA,74820000
2023,IDAHO,26520000
2023,ILLINOIS,2271300000
2023,INDIANA,1049100000
2023,IOWA,2618700000
2023,KANSAS,632400000
2023,KENTUCKY,269700000
2023,LOUISIANA,95485000
2023,MARYLAND,70310000
2023,MICHIGAN,348500000
2023,MINNESOTA,1464000000
2023,MISSISSIPPI,125300000
2023,MISSOURI,497640000
2023,NEBRASKA,1685440000
2023,NEW YORK,104000000
2023,NORTH CAROLINA,138180000
2023,NORTH DAKOTA,468000000
2023,OHIO,624570000
2023,OKLAHOMA,44550000
2023,OTHER STATES,77966000
2023,PENNSYLVANIA,139230000
2023,SOUTH CAROLINA,51060000
2023,SOUTH DAKOTA,797500000
2023,TENNESSEE,162540000
2023,TEXAS,292600000
2023,VIRGINIA,62400000
2023,WASHINGTON,22050000
2023,WISCONSIN,514600000
2023,ALABAMA,56280000
2023,ARKANSAS,149400000
2023,CALIFORNIA,6960000
2023,COLORADO,132680000
2023,DELAWARE,31992000
2023,GEORGIA,82350000
2023,IDAHO,25800000
2023,ILLINOIS,2233000000
2023,INDIANA,1076000000
2023,IOWA,2520000000
2023,KANSAS,644930000
2023,KENTUCKY,274500000
2023,LOUISIANA,119000000
2023,MARYLAND,71820000
2023,MICHIGAN,350550000
2023,MINNESOTA,1484200000
2023,MISSISSIPPI,140140000
2023,MISSOURI,539490000
2023,NEBRASKA,1659070000
2023,NEW YORK,101640000
2023,NORTH CAROLINA,128700000
2023,NORTH DAKOTA,534820000
2023,OHIO,657150000
2023,OKLAHOMA,50400000
2023,OTHER STATES,77708000
2023,PENNSYLVANIA,129360000
2023,SOUTH CAROLINA,53250000
2023,SOUTH DAKOTA,849680000
2023,TENNESSEE,158415000
2023,TEXAS,286000000
2023,VIRGINIA,57750000
2023,WASHINGTON,21150000
2023,WISCONSIN,530100000
2023,ALABAMA,55945000
2023,ARKANSAS,149400000
2023,CALIFORNIA,6960000
2023,COLORADO,136960000
2023,DELAWARE,31992000
2023,GEORGIA,79650000
2023,IDAHO,25440000
2023,ILLINOIS,2200000000
2023,INDIANA,1059860000
2023,IOWA,2507400000
2023,KANSAS,650260000
2023,KENTUCKY,274500000
2023,LOUISIANA,119000000
2023,MARYLAND,66360000
2023,MICHIGAN,348500000
2023,MINNESOTA,1467800000
2023,MISSISSIPPI,140140000
2023,MISSOURI,517470000
2023,NEBRASKA,1668660000
2023,NEW YORK,98615000
2023,NORTH CAROLINA,132300000
2023,NORTH DAKOTA,508640000
2023,OHIO,657150000
2023,OKLAHOMA,50400000
2023,OTHER STATES,77708000
2023,PENNSYLVANIA,129360000
2023,SOUTH CAROLINA,52185000
2023,SOUTH DAKOTA,821730000
2023,TENNESSEE,154835000
2023,TEXAS,286000000
2023,VIRGINIA,57000000
2023,WASHINGTON,20700000
2023,WISCONSIN,511500000
2023,ALABAMA,55610000
2023,ARKANSAS,149400000
2023,CALIFORNIA,7120000
2023,COLORADO,139100000
2023,DELAWARE,31648000
2023,GEORGIA,79650000
2023,IDAHO,24960000
2023,ILLINOIS,2178000000
2023,INDIANA,1043720000
2023,IOWA,2520000000
2023,KANSAS,676910000
2023,KENTUCKY,279000000
2023,LOUISIANA,119000000
2023,MARYLAND,67200000
2023,MICHIGAN,354650000
2023,MINNESOTA,1476000000
2023,MISSISSIPPI,140140000
2023,MISSOURI,532150000
2023,NEBRASKA,1697430000
2023,NEW YORK,99220000
2023,NORTH CAROLINA,132300000
2023,NORTH DAKOTA,516120000
2023,OHIO,657150000
2023,OKLAHOMA,49350000
2023,OTHER STATES,77708000
2023,PENNSYLVANIA,131040000
2023,SOUTH CAROLINA,50410000
2023,SOUTH DAKOTA,816140000
2023,TENNESSEE,154835000
2023,TEXAS,290400000
2023,VIRGINIA,56250000
2023,WASHINGTON,19800000
2023,WISCONSIN,511500000
2022,ALABAMA,34220000
2022,ARIZONA,9900000
2022,ARKANSAS,120235000
2022,CALIFORNIA,3540000
2022,COLORADO,117370000
2022,DELAWARE,26520000
2022,FLORIDA,9184000
2022,GEORGIA,65625000
2022,IDAHO,22680000
