Year,State,Value
2023,ALABAMA,164
2023,ARIZONA,206
2023,ARKANSAS,183
2023,CALIFORNIA,178
2023,COLORADO,122
2023,DELAWARE,189
2023,FLORIDA,158
2023,GEORGIA,174
2023,IDAHO,203
2023,ILLINOIS,206
2023,INDIANA,203
2023,IOWA,201
2023,KANSAS,119
2023,KENTUCKY,187
2023,LOUISIANA,175
2023,MARYLAND,165
2023,MICHIGAN,168
2023,MINNESOTA,185
2023,MISSISSIPPI,181
2023,MISSOURI,153
2023,MONTANA,129
2023,NEBRASKA,182
2023,NEW JERSEY,168
2023,NEW MEXICO,155
2023,NEW YORK,159
2023,NORTH CAROLINA,147
2023,NORTH DAKOTA,143
2023,OHIO,198
2023,OKLAHOMA,149
2023,OREGON,214
2023,OTHER STATES,0
2023,PENNSYLVANIA,157
2023,SOUTH CAROLINA,150
2023,SOUTH DAKOTA,152
2023,TENNESSEE,173
2023,TEXAS,122
2023,UTAH,185
2023,VIRGINIA,157
2023,WASHINGTON,240
2023,WEST VIRGINIA,145
2023,WISCONSIN,176
2023,WYOMING,153
2023,ALABAMA,159
2023,ARKANSAS,180
2023,CALIFORNIA,172
2023,COLORADO,130
2023,DELAWARE,193
2023,GEORGIA,174
2023,IDAHO,204
2023,ILLINOIS,201
2023,INDIANA,195
2023,IOWA,203
2023,KANSAS,124
2023,KENTUCKY,186
2023,LOUISIANA,169
2023,MARYLAND,158
2023,MICHIGAN,170
2023,MINNESOTA,183
2023,MISSISSIPPI,179
2023,MISSOURI,143
2023,NEBRASKA,184
2023,NEW YORK,160
2023,NORTH CAROLINA,147
2023,NORTH DAKOTA,130
2023,OHIO,191
2023,OKLAHOMA,135
2023,OTHER STATES,162.4
2023,PENNSYLVANIA,153
2023,SOUTH CAROLINA,138
2023,SOUTH DAKOTA,145
2023,TENNESSEE,172
2023,TEXAS,133
2023,VIRGINIA,156
2023,WASHINGTON,210
2023,WISCONSIN,166
2023,ALABAMA,168
2023,ARKANSAS,180
2023,CALIFORNIA,174
2023,COLORADO,124
2023,DELAWARE,186
2023,GEORGIA,183
2023,IDAHO,215
2023,ILLINOIS,203
2023,INDIANA,200
2023,IOWA,200
2023,KANSAS,121
2023,KENTUCKY,183
2023,LOUISIANA,175
2023,MARYLAND,171
2023,MICHIGAN,171
2023,MINNESOTA,181
2023,MISSISSIPPI,182
2023,MISSOURI,147
2023,NEBRASKA,173
2023,NEW YORK,168
2023,NORTH CAROLINA,143
2023,NORTH DAKOTA,143
2023,OHIO,195
2023,OKLAHOMA,144
2023,OTHER STATES,162.2
2023,PENNSYLVANIA,154
2023,SOUTH CAROLINA,150
2023,SOUTH DAKOTA,152
2023,TENNESSEE,177
2023,TEXAS,130
2023,VIRGINIA,154
2023,WASHINGTON,235
2023,WISCONSIN,171
2023,ALABAMA,167
2023,ARKANSAS,180
2023,CALIFORNIA,174
2023,COLORADO,128
2023,DELAWARE,186
2023,GEORGIA,177
2023,IDAHO,212
2023,ILLINOIS,200
2023,INDIANA,197
2023,IOWA,199
2023,KANSAS,122
2023,KENTUCKY,183
2023,LOUISIANA,175
2023,MARYLAND,158
2023,MICHIGAN,170
2023,MINNESOTA,179
2023,MISSISSIPPI,182
2023,MISSOURI,141
2023,NEBRASKA,174
2023,NEW YORK,163
2023,NORTH CAROLINA,147
2023,NORTH DAKOTA,136
2023,OHIO,195
2023,OKLAHOMA,144
2023,OTHER STATES,162.2
2023,PENNSYLVANIA,154
2023,SOUTH CAROLINA,147
2023,SOUTH DAKOTA,147
2023,TENNESSEE,173
2023,TEXAS,130
2023,VIRGINIA,152
2023,WASHINGTON,230
2023,WISCONSIN,165
2023,ALABAMA,166
2023,ARKANSAS,180
2023,CALIFORNIA,178
2023,COLORADO,130
2023,DELAWARE,184
2023,GEORGIA,177
2023,IDAHO,208
2023,ILLINOIS,198
2023,INDIANA,194
2023,IOWA,200
2023,KANSAS,127
2023,KENTUCKY,186
2023,LOUISIANA,175
2023,MARYLAND,160
2023,MICHIGAN,173
2023,MINNESOTA,180
2023,MISSISSIPPI,182
2023,MISSOURI,145
2023,NEBRASKA,177
2023,NEW YORK,164
2023,NORTH CAROLINA,147
2023,NORTH DAKOTA,138
2023,OHIO,195
2023,OKLAHOMA,141
2023,OTHER STATES,162.2
2023,PENNSYLVANIA,156
2023,SOUTH CAROLINA,142
2023,SOUTH DAKOTA,146
2023,TENNESSEE,173
2023,TEXAS,132
2023,VIRGINIA,150
2023,WASHINGTON,220
2023,WISCONSIN,165
2022,ALABAMA,118
2022,ARIZONA,220
2022,ARKANSAS,173
2022,CALIFORNIA,177
2022,COLORADO,121
2022,DELAWARE,170
2022,FLORIDA,164
2022,GEORGIA,175
2022,IDAHO,216
2022,ILLINOIS,214
2022,INDIANA,190
