Year,State,Corn_Acres_Planted,Corn_Cash_Receipts,Corn_Production_Bushels,Corn_Production_Dollars,Corn_Yield_Bushels,Soybean_Acres_Planted,Soybean_Cash_Receipts,Soybean_Production_Bushels,Soybean_Production_Dollars,Soybean_Yield_Bushels,Employment_Rural,Personal_Income_Rural,Poverty_Levels,Economic_Indicator_2020,Economic_Indicator_2021,Economic_Indicator_2022,Economic_Indicator_2023,Historical_Economic_2000,Historical_Economic_2001,Historical_Economic_2002,Historical_Economic_2003,Historical_Economic_2004,Historical_Economic_2005,Historical_Economic_2006,Historical_Economic_2007
2023,Alabama,330000.0,99494.0,118990.0,131202.0,153796.0,197526.0,192365.0,190684.0,149149.0,135208.0,139780.0,161938.0,159321.0,212555.0,274500.0,269469.0,265681.0,562205,545604,540241,538284,548939,559794,567082,569698
2023,Arizona,105000.0,,,,,531584.0,,,,,317977.0,,,,,,,141405,140075,141926,140997,143838,145573,148123,150778
2023,Arkansas,850000.0,14361.0,12773.0,19262.0,29297.0,42203.0,42716.0,43115.0,30584.0,39481.0,38407.0,24471.0,31078.0,36490.0,26714.0,50350.0,71607.0,118118,116952,116694,119521,121950,127052,132052,139070
2023,California,400000.0,304485.0,258924.0,238335.0,316039.0,632833.0,775977.0,647670.0,365488.0,398419.0,414067.0,440797.0,462837.0,516378.0,690254.0,843819.0,814827.0,564014,554741,548018,540043,543902,549207,553099,553351
2023,Colorado,1330000.0,135083.0,143880.0,149409.0,163390.0,189042.0,179619.0,136299.0,58574.0,59492.0,72498.0,55445.0,47628.0,50313.0,59938.0,49742.0,33759.0,382321,384505,393759,392971,396208,399885,403833,409485
2023,Connecticut,24000.0,510533.0,494721.0,651909.0,872904.0,971003.0,656306.0,545669.0,497196.0,493365.0,501393.0,608035.0,567208.0,584785.0,654926.0,745828.0,847416.0,409183,414009,412878,414512,421173,433942,447639,464994
2023,Delaware,175000.0,,,,,531584.0,,,,,317977.0,,,,,,,95571,94593,93597,93988,95270,95578,97013,98840
2023,Florida,90000.0,68373.0,75673.0,90859.0,113866.0,150003.0,133654.0,120419.0,108109.0,106233.0,103746.0,109114.0,95665.0,128150.0,162215.0,170006.0,154544.0,0,0,0,0,0,0,0,0
2023,Georgia,485000.0,11164.0,14125.0,13092.0,15161.0,26291.0,36232.0,34322.0,20099.0,21514.0,20584.0,32636.0,38735.0,42344.0,58064.0,65528.0,59529.0,260369,260835,260951,264371,269516,278752,285523,291705
2023,Idaho,360000.0,192475.0,189422.0,206273.0,227575.0,355870.0,386036.0,331077.0,194561.0,195006.0,184936.0,201733.0,227551.0,300604.0,393856.0,443475.0,450616.0,784915,768614,765013,766410,780707,804628,817175,820152
2023,Illinois,11200000.0,,,,,531584.0,,,,,317977.0,,,,,,,114308,118185,120462,124115,129593,136368,141253,147081
2023,Indiana,5450000.0,62572.0,53449.0,73459.0,114246.0,161429.0,137027.0,85177.0,59586.0,67504.0,80127.0,101703.0,117761.0,130426.0,126034.0,141244.0,160282.0,216431,214831,217152,218017,222223,228322,235581,243737
