Year,State,Corn_Acres_Planted,Corn_Cash_Receipts,Corn_Production_Bushels,Corn_Production_Dollars,Corn_Yield_Bushels,Soybean_Acres_Planted,Soybean_Cash_Receipts,Soybean_Production_Bushels,Soybean_Production_Dollars,Soybean_Yield_Bushels,Employment_Rural,Personal_Income_Rural,Poverty_Levels,Economic_Indicator_2020,Economic_Indicator_2021,Economic_Indicator_2022,Economic_Indicator_2023,Historical_Economic_2000,Historical_Economic_2001,Historical_Economic_2002,Historical_Economic_2003,Historical_Economic_2004,Historical_Economic_2005,Historical_Economic_2006,Historical_Economic_2007
2023,Alabama,-0.5083858164542437,-0.4723389949497115,-0.46230644232040746,-0.4700399629220491,-0.4654819308461658,-0.4811129792392044,-0.5064835256154852,-0.4925607804973414,-0.4762752456500568,-0.4781940101784543,-0.4840029422347702,161938.0,159321.0,212555.0,274500.0,269469.0,265681.0,562205,545604,540241,538284,548939,559794,567082,569698
2023,Arizona,-0.5812984569752754,-0.3730746092842671,-0.36657611316844513,-0.3939340953139995,-0.37473380300223424,-0.36104435617771885,-0.3356164635967403,-0.35379068529768143,-0.3736356444749435,-0.38758883190635907,-0.3799078798956667,,,,,,,141405,140075,141926,140997,143838,145573,148123,150778
2023,Arkansas,-0.3398766028056373,-0.5159531307097047,-0.5242743398603493,-0.5306207249381987,-0.515023922376276,-0.5369398678028044,-0.57484505978556,-0.5664995811895639,-0.5426180755297803,-0.5320106695055592,-0.5432207110776909,24471.0,31078.0,36490.0,26714.0,50350.0,71607.0,118118,116952,116694,119521,121950,127052,132052,139070
2023,California,-0.4857018838477006,-0.36732090204124174,-0.3806677613714612,-0.41206069923546557,-0.40092043772718755,-0.32465298696532957,-0.23988226747098876,-0.2635899480519364,-0.3552231520866149,-0.33021970075533846,-0.323776213592842,440797.0,462837.0,516378.0,690254.0,843819.0,814827.0,564014,554741,548018,540043,543902,549207,553099,553351
2023,Colorado,-0.18432963636076982,-0.45410654128823597,-0.4477854054829036,-0.4601865241688953,-0.4616641823763799,-0.4841623365306138,-0.5123060577709407,-0.5198101463915774,-0.5269563219909327,-0.5207607069057212,-0.5233062076337363,55445.0,47628.0,50313.0,59938.0,49742.0,33759.0,382321,384505,393759,392971,396208,399885,403833,409485
2023,Connecticut,-0.6075470075628467,-0.26176130182657675,-0.2431017941889417,-0.18823875828435727,-0.17932668104307906,-0.2031064104405867,-0.29454947644443347,-0.31469710205723145,-0.2815261804862387,-0.276842110979504,-0.27276410107790316,608035.0,567208.0,584785.0,654926.0,745828.0,847416.0,409183,414009,412878,414512,421173,433942,447639,464994
2023,Delaware,-0.5586145243687322,-0.3730746092842671,-0.36657611316844513,-0.3939340953139995,-0.37473380300223424,-0.36104435617771885,-0.3356164635967403,-0.35379068529768143,-0.3736356444749435,-0.38758883190635907,-0.3799078798956667,,,,,,,95571,94593,93597,93988,95270,95578,97013,98840
2023,Florida,-0.5861592996766775,-0.48828246597724195,-0.4875779470488188,-0.4918731743033027,-0.4813713092491835,-0.49819390881954967,-0.5333034444432706,-0.5277667507935352,-0.4992391029288815,-0.4944834343116964,-0.505052463137632,109114.0,95665.0,128150.0,162215.0,170006.0,154544.0,0,0,0,0,0,0,0,0
2023,Georgia,-0.4581571085397553,-0.5175909725809497,-0.5234855716078662,-0.5339598646705521,-0.5206490727169988,-0.5426590301343588,-0.577807032051053,-0.5709052753020585,-0.5484849381898308,-0.5421115179404845,-0.553632145030394,32636.0,38735.0,42344.0,58064.0,65528.0,59529.0,260369,260835,260951,264371,269516,278752,285523,291705
2023,Idaho,-0.49866413105143953,-0.42470428271004035,-0.4212158169070256,-0.42941231967285876,-0.43612299147235556,-0.4242002693204242,-0.418012191465223,-0.42221748315451746,-0.45086504373129493,-0.4445762367765696,-0.4576247392628652,201733.0,227551.0,300604.0,393856.0,443475.0,450616.0,784915,768614,765013,766410,780707,804628,817175,820152
2023,Illinois,3.0141048611618175,-0.3730746092842671,-0.36657611316844513,-0.3939340953139995,-0.37473380300223424,-0.36104435617771885,-0.3356164635967403,-0.35379068529768143,-0.3736356444749435,-0.38758883190635907,-0.3799078798956667,,,,,,,114308,118185,120462,124115,129593,136368,141253,147081
2023,Indiana,1.1507818256243427,-0.49125435233792136,-0.5005436169032457,-0.5012898730622897,-0.4812200955303469,-0.4940871247069089,-0.531762615872711,-0.545424600436721,-0.5263900592334724,-0.5162564492299477,-0.5188496722791286,101703.0,117761.0,130426.0,126034.0,141244.0,160282.0,216431,214831,217152,218017,222223,228322,235581,243737
2023,Iowa,3.629811603339418,3.8389695298974713,3.8554681458024227,3.8492736606522455,3.6628264891705578,3.5036231597266645,2.8662540852136056,4.10738220421271,3.6915445475980726,3.5983846241558726,3.5621415268899543,7866810.0,7491386.0,7018798.0,10613190.0,13661316.0,13106282.0,812713,788787,768081,757409,752049,754863,758900,766449
2023,Kansas,1.2479986796523848,1.478987962136208,1.3797964696052338,1.3659034875009486,1.5039792639454037,1.1999721044917988,1.1190805664497623,1.7226991798717408,1.476392905291267,1.149331687052026,1.3750680318736572,3286338.0,3460745.0,3228546.0,5029723.0,6468360.0,5620530.0,804233,780467,770553,764550,768454,771027,769227,772537
2023,Kentucky,-0.09683446773553188,4.177994600351236,4.116422670919242,3.9807610819443995,4.025597353068936,4.2513676921293495,4.083451554392832,3.5069005768980386,3.939599529611903,4.197378934851202,4.070337269875391,8076021.0,8701603.0,8136934.0,11907771.0,15380757.0,14072210.0,808993,791567,775127,766620,772411,782386,788930,794581
2023,Louisiana,-0.3884850298196584,0.3538858854830149,0.5101304649310299,0.8191288271457914,0.35341079041270873,0.31750197814285896,0.3097106814037364,0.39473038113580783,0.48392621648886924,0.6115608747849389,0.6255528563628694,2293754.0,2392803.0,2907098.0,3550889.0,3926911.0,3349770.0,604361,592672,585394,577865,578758,577570,583052,591945
2023,Maine,-0.6062507828424729,-0.2283784266266816,-0.188873976830726,-0.2163124267569832,-0.20019377631169527,-0.25074453106805045,-0.25084165621581345,-0.14222768073245376,-0.1400007785900747,-0.12428483743096315,-0.15808995166684467,739261.0,826892.0,817024.0,1264511.0,1430632.0,1242010.0,843568,831482,822890,822005,829363,836699,842835,851469
2023,Maryland,-0.4597773894402227,-0.34025988129588614,-0.3503176859049836,-0.3615043918809663,-0.37473380300223424,-0.3515271553621567,-0.333814338274814,-0.35379068529768143,-0.4069712868054323,-0.38758883190635907,-0.3799078798956667,324908.0,318878.0,341544.0,426274.0,498418.0,571094.0,314854,310309,308787,310206,310972,315107,323826,330790
2023,Massachusetts,-0.6107875693637815,-0.3730746092842671,-0.36657611316844513,-0.3939340953139995,-0.37473380300223424,-0.36104435617771885,-0.3356164635967403,-0.35379068529768143,-0.3736356444749435,-0.38758883190635907,-0.3799078798956667,,,,,,,311136,308451,309515,309270,312808,313273,314672,317121
2023,Michigan,0.16241047633924727,-0.43703855887272225,-0.4221941929125095,-0.42200397545953844,-0.4337588843575965,-0.44493151392334773,-0.46098317312748893,-0.44958208954072143,-0.4312103543849013,-0.4313170109549125,-0.435793616013108,232072.0,246449.0,313853.0,370532.0,387358.0,341604.0,84346,81876,83407,84346,86288,88392,89648,91035
2023,Minnesota,2.1715587929187854,-0.3730746092842671,-0.36657611316844513,-0.3939340953139995,-0.37473380300223424,-0.36104435617771885,-0.3356164635967403,-0.35379068529768143,-0.3736356444749435,-0.38758883190635907,-0.3799078798956667,,,,,,,21133,21619,21975,22416,23310,23812,24314,24941
2023,Mississippi,-0.35931997361124574,0.06074036735309856,0.013329565053986,0.07601383290742009,0.1533220121322036,0.12884869458724807,0.10703941934363514,0.06039516688415108,0.10941670324037234,0.03196320641730971,-0.0016047499545615107,959662.0,957268.0,896511.0,1530435.0,1911848.0,1739197.0,887686,858761,853673,853492,861606,866352,863988,865309
2023,Missouri,0.6322919374747844,1.8269855576237495,1.6279305935768484,1.7848589095632859,1.7063091887114035,2.0438418387720314,2.837356583124953,1.7436729494098988,1.721754222369906,1.873402352211129,2.019008474832572,4530277.0,4172188.0,4005139.0,6974794.0,8023472.0,7911555.0,733751,732370,731025,729318,734702,742869,747392,752553
2023,Montana,-0.5715767715724711,-0.3077151385017954,-0.2898508983603369,-0.33569289586883266,-0.34146957037404846,-0.2827318721225379,-0.23763429314673043,-0.2947635032204881,-0.36248664700221983,-0.33724368919781395,-0.34379469702016535,348277.0,361941.0,389284.0,512770.0,648697.0,689121.0,773819,754540,750857,740083,742047,751275,768030,771695
2023,Nebraska,2.609034636044975,0.3363419709128604,0.30963864349956155,0.29802549470055073,0.2660347284988341,0.14836292789965858,0.12471714956110107,0.42970486835683125,0.47205652096119605,0.36341293156780274,0.4608070875448704,1825897.0,1655819.0,1821123.0,2877228.0,3283616.0,3063939.0,776495,758984,754499,754876,764004,777247,787723,791148
2023,Nevada,-0.611111625543875,-0.5142123153582845,-0.5232125364435452,-0.5306315487298757,-0.5166952319002599,-0.540150247261417,-0.5776160844250542,-0.5721829416260504,-0.5465791170911057,-0.5426405377199283,-0.5549768749276685,17295.0,20357.0,23619.0,32048.0,42690.0,49632.0,340720,344083,346984,351070,360517,371385,382925,395154
2023,New Hampshire,-0.611111625543875,2.183440810744192,2.4387242660570245,2.4317893614431947,2.729445882072078,2.4880020780799446,2.705707331248843,2.464459136746035,2.6532195282122597,2.4782074476464477,2.461975471284838,5791052.0,6175914.0,6106616.0,8881985.0,10745854.0,8969616.0,437743,436452,430803,428434,429932,431487,434458,440638
2023,New Jersey,-0.5913441985581731,-0.3730746092842671,-0.36657611316844513,-0.3939340953139995,-0.37473380300223424,-0.36104435617771885,-0.3356164635967403,-0.35379068529768143,-0.3736356444749435,-0.38758883190635907,-0.3799078798956667,,,,,,,124166,119107,118080,120930,126665,132918,136378,140628
2023,New Mexico,-0.5748173333734059,-0.3730746092842671,-0.36657611316844513,-0.3939340953139995,-0.37473380300223424,-0.36104435617771885,-0.3356164635967403,-0.35379068529768143,-0.3736356444749435,-0.38758883190635907,-0.3799078798956667,,,,,,,304236,306723,309647,312988,317715,320689,324532,328469
2023,New York,-0.2783059285878773,-0.5059421616743597,-0.5136609729600733,-0.5216028829025091,-0.5087011992747096,-0.5301028953373177,-0.5700183788853134,-0.5654458822564835,-0.5380073985322774,-0.533847340727071,-0.5448335691343263,37190.0,32993.0,48168.0,62284.0,56096.0,42591.0,0,0,0,0,0,0,0,0
2023,North Carolina,-0.3074709847962899,-0.5022776377753871,-0.5061215852922926,-0.5167083643061712,-0.5064918872563385,-0.5333948641529729,-0.5761309869797862,-0.570058508208903,-0.5411733221308054,-0.5390138569577696,-0.5533511654124145,24155.0,26164.0,30969.0,36093.0,37107.0,39744.0,307701,308071,311811,319326,324167,329150,333889,340818
2023,North Dakota,0.6971031734934792,-0.3730746092842671,-0.34793737934423563,-0.35617962756546784,-0.3474858867295512,-0.37014893768982304,-0.38381977566137465,-0.38651547769724454,-0.3736356444749435,-0.3920914030153542,-0.41818302860514406,313001.0,344528.0,367769.0,512875.0,536583.0,473240.0,682826,667109,665534,665026,669479,672705,675223,684377
2023,Ohio,0.5512778924514159,-0.3279158713216454,-0.34997055786487447,-0.3487669538354768,-0.3551321278017772,-0.319023321329386,-0.3356164635967403,-0.3368849051259904,-0.3487038562494905,-0.2912009783405786,-0.2847755416286231,472459.0,396494.0,487186.0,736174.0,762945.0,756932.0,949322,930049,922229,918098,932231,945167,958411,975829
2023,Oklahoma,-0.4889424456486353,-0.014539394325459412,-0.0470934668553528,-0.15769239460312148,-0.08016231595337178,0.03664912688423761,0.21225978389400543,0.06249504906605313,-0.0690232111411382,0.10746742794590142,0.16830438444206874,1343113.0,1294311.0,1088075.0,1471804.0,2077006.0,2071839.0,224248,225704,221159,218831,221447,223725,225833,230139
2023,Oregon,-0.5845390187762101,0.4565591544175441,0.4214412926128093,0.49756047069723036,0.44720706848371555,0.5292033565018207,0.6556808277758832,0.5450921666905869,0.5533275367166934,0.4305405380977643,0.41730490012087873,2063744.0,1988845.0,1643407.0,2882387.0,3706931.0,3208287.0,1216492,1197873,1186330,1181506,1187066,1191699,1196723,1200296
2023,Other States,-0.6153243558850902,-0.4556163066916013,-0.45442459388028383,-0.46032831583986394,-0.47531679153313255,-0.4997113989756471,-0.5082719465623396,-0.4940428734331721,-0.4798613899312456,-0.4811078353823402,-0.49429988137432573,133783.0,146295.0,173053.0,210566.0,206834.0,220619.0,650324,652076,642277,638134,644248,660849,676229,696118
2023,Pennsylvania,-0.2783059285878773,-0.5114161499115359,-0.5175750603904796,-0.5236691447336477,-0.5066064913379832,-0.5258728286279121,-0.5700243174478444,-0.5714980122672673,-0.5448993534568214,-0.5398262199559589,-0.5461204674678171,33402.0,36633.0,61557.0,84588.0,82795.0,77949.0,336340,326448,327454,330498,337196,343069,347981,352340
2023,Rhode Island,-0.6146762435249031,-0.28981107290396324,-0.31360729129015447,-0.23003645341383094,-0.3184393230643903,-0.26794586784931773,-0.29748358314728074,-0.3046421186102235,-0.2816470428929693,-0.24858312242103822,-0.33045546713125906,455891.0,552719.0,486952.0,678031.0,902616.0,494798.0,715267,713054,703678,700522,704298,712617,718515,726712
2023,South Carolina,-0.49704385015097213,-0.3730746092842671,-0.36657611316844513,-0.3939340953139995,-0.37473380300223424,-0.36104435617771885,-0.3356164635967403,-0.35379068529768143,-0.3736356444749435,-0.38758883190635907,-0.3799078798956667,,,,,,,0,0,0,0,0,0,0,0
2023,South Dakota,1.4262295787037955,-0.4666954334690626,-0.46643114020876236,-0.45563024906246363,-0.46974615771735884,-0.47574641232288734,-0.4887733617103495,-0.5020961796392593,-0.4974306432133561,-0.4823581435539478,-0.4671348186406359,188390.0,172922.0,193912.0,251671.0,279794.0,275555.0,341869,331597,324947,320299,321459,323790,326288,329282
2023,Tennessee,-0.31071154659722466,0.5795673803102611,0.6881511422937903,0.5124242426176658,0.6486380674843153,0.6757874423287299,0.7029540695856527,0.8215986999815165,0.755749126515191,0.740551188552099,0.7162187286027364,2292020.0,2118493.0,1937441.0,3487080.0,4225160.0,3896595.0,273269,271336,267606,265701,270052,274501,278748,283482
2023,Texas,0.19481609434859465,-0.3817658783945802,-0.36657611316844513,-0.3939340953139995,-0.36053523273431354,-0.36104435617771885,-0.33281026439456207,-0.3440709013686149,-0.33755989471038056,-0.3201053597861872,-0.34248618486990695,366392.0,457373.0,515644.0,851226.0,690369.0,646802.0,681542,662455,658265,661715,675395,681813,687257,691393
2023,Utah,-0.5910201423780795,0.09238498873093111,0.06366488109521391,0.13157614391253025,-0.2018479748096002,-0.02092995602113767,-0.05952812340262041,0.06736771769382634,0.03750021394655602,0.10403245360753699,0.024549720805937716,1029645.0,1102881.0,901148.0,1486278.0,1154451.0,1374919.0,1393382,1386702,1374309,1377384,1386070,1414887,1437864,1483222
2023,Vermont,-0.5864833558567709,-0.5174449654075669,-0.5242189160556261,-0.5331946225989885,-0.5170267082891833,-0.5391550008752887,-0.5791550857456041,-0.5758831635094546,-0.5511170528252984,-0.5460266016217235,-0.5564436936818198,14760.0,15574.0,18542.0,20824.0,17313.0,20818.0,140579,140357,141666,142796,148292,156499,166007,175333
2023,Virginia,-0.45491654673882054,-0.3730746092842671,-0.36657611316844513,-0.3939340953139995,-0.37473380300223424,-0.36104435617771885,-0.3356164635967403,-0.35379068529768143,-0.3736356444749435,-0.38758883190635907,-0.3799078798956667,,,,,,,258924,259673,261944,262005,266036,269137,271933,273756
2023,Washington,-0.5634753670701343,-0.4605569845165267,-0.44995510158570295,-0.47138211308999667,-0.4701878609486974,-0.46862333797103073,-0.49636649912506653,-0.4783310849673919,-0.4661256012255782,-0.4535453989032907,-0.4660453654441038,181183.0,188199.0,219087.0,270293.0,324394.0,320492.0,510136,494545,489952,487717,491053,497677,498549,503601
2023,West Virginia,-0.6010658839609773,-0.47634778839434455,-0.480023390760798,-0.4793570827976077,-0.47437210372124267,-0.4971008989747623,-0.5344847615744496,-0.5300520198538203,-0.5058389737038264,-0.5104737739362626,-0.5164639742337469,77085.0,76448.0,80109.0,94146.0,112541.0,119701.0,317101,309760,312901,315784,321031,328050,334327,341723
2023,Wisconsin,0.6809003644888055,-0.5177697673301096,-0.5246068826886892,-0.5341357512853033,-0.5206813051149612,-0.5438426149481979,-0.5831777766416455,-0.5773236696590532,-0.5498625458072885,-0.5441533881200163,-0.5556609230205044,18549.0,20060.0,22480.0,22467.0,29148.0,27626.0,289989,288870,288171,286649,288992,293164,297608,300715
2023,Wyoming,-0.5877795805771449,0.10694011084664612,0.01901079674235937,0.19127530809658852,0.30932960378679614,0.2701600232872153,0.23553529451575136,0.10246245586299016,0.19182192315532823,0.17996562528672969,0.19846500534831438,1465229.0,1364148.0,1204139.0,2058133.0,2499986.0,2383219.0,824752,816471,817572,822788,837440,847263,853992,859789
2022,Alabama,-0.5181075018570479,-0.5130355487714062,-0.5169134751846247,-0.5267387720532439,-0.5121309651764279,-0.532078292281399,-0.573696633154553,-0.5719810202422979,-0.5438759398368659,-0.5370366385047373,-0.5479114934734832,34932.0,35485.0,27111.0,37257.0,59806.0,60223.0,227520,232834,234760,235432,239959,247826,260718,274629
