Year,State,Value
2023,ALABAMA,330000
2023,ARIZONA,105000
2023,ARKANSAS,850000
2023,CALIFORNIA,400000
2023,COLORADO,1330000
2023,CONNECTICUT,24000
2023,DELAWARE,175000
2023,FLORIDA,90000
2023,GEORGIA,485000
2023,IDAHO,360000
2023,ILLINOIS,11200000
2023,INDIANA,5450000
2023,IOWA,13100000
2023,KANSAS,5750000
2023,KENTUCKY,1600000
2023,LOUISIANA,700000
2023,MAINE,28000
2023,MARYLAND,480000
2023,MASSACHUSETTS,14000
2023,MICHIGAN,2400000
2023,MINNESOTA,8600000
2023,MISSISSIPPI,790000
2023,MISSOURI,3850000
2023,MONTANA,135000
2023,NEBRASKA,9950000
2023,NEVADA,13000
2023,NEW HAMPSHIRE,13000
2023,NEW JERSEY,74000
2023,NEW MEXICO,125000
2023,NEW YORK,1040000
2023,NORTH CAROLINA,950000
2023,NORTH DAKOTA,4050000
2023,OHIO,3600000
2023,OKLAHOMA,390000
2023,OREGON,95000
2023,OTHER STATES,0
2023,PENNSYLVANIA,1040000
2023,RHODE ISLAND,2000
2023,SOUTH CAROLINA,365000
2023,SOUTH DAKOTA,6300000
2023,TENNESSEE,940000
2023,TEXAS,2500000
2023,UTAH,75000
2023,VERMONT,89000
2023,VIRGINIA,495000
2023,WASHINGTON,160000
2023,WEST VIRGINIA,44000
2023,WISCONSIN,4000000
2023,WYOMING,85000
2022,ALABAMA,300000
2022,ARIZONA,90000
2022,ARKANSAS,710000
2022,CALIFORNIA,360000
2022,COLORADO,1340000
2022,CONNECTICUT,24000
2022,DELAWARE,160000
2022,FLORIDA,85000
2022,GEORGIA,415000
2022,IDAHO,310000
2022,ILLINOIS,10800000
2022,INDIANA,5250000
2022,IOWA,12900000
2022,KANSAS,5500000
2022,KENTUCKY,1420000
2022,LOUISIANA,450000
2022,MAINE,29000
2022,MARYLAND,420000
2022,MASSACHUSETTS,14000
2022,MICHIGAN,2300000
2022,MINNESOTA,8000000
2022,MISSISSIPPI,580000
2022,MISSOURI,3350000
2022,MONTANA,130000
2022,NEBRASKA,9600000
2022,NEVADA,12000
2022,NEW HAMPSHIRE,13000
2022,NEW JERSEY,68000
2022,NEW MEXICO,100000
2022,NEW YORK,1010000
2022,NORTH CAROLINA,820000
2022,NORTH DAKOTA,2950000
2022,OHIO,3400000
2022,OKLAHOMA,350000
2022,OREGON,80000
2022,OTHER STATES,0
2022,PENNSYLVANIA,1020000
2022,RHODE ISLAND,2000
2022,SOUTH CAROLINA,320000
2022,SOUTH DAKOTA,5750000
2022,TENNESSEE,830000
2022,TEXAS,2150000
2022,UTAH,60000
2022,VERMONT,90000
2022,VIRGINIA,430000
2022,WASHINGTON,135000
2022,WEST VIRGINIA,40000
2022,WISCONSIN,3900000
2022,WYOMING,95000
2021,ALABAMA,330000
2021,ARIZONA,95000
2021,ARKANSAS,850000
2021,CALIFORNIA,400000
2021,COLORADO,1370000
2021,CONNECTICUT,24000
2021,DELAWARE,170000
2021,FLORIDA,95000
2021,GEORGIA,470000
2021,IDAHO,380000
2021,ILLINOIS,11000000
2021,INDIANA,5400000
2021,IOWA,12900000
2021,KANSAS,5700000
2021,KENTUCKY,1530000
2021,LOUISIANA,580000
2021,MAINE,30000
2021,MARYLAND,460000
2021,MASSACHUSETTS,14000
2021,MICHIGAN,2350000
2021,MINNESOTA,8350000
2021,MISSISSIPPI,730000
2021,MISSOURI,3600000
2021,MONTANA,120000
2021,NEBRASKA,9900000
2021,NEVADA,13000
2021,NEW HAMPSHIRE,13000
2021,NEW JERSEY,75000
2021,NEW MEXICO,120000
2021,NEW YORK,1030000
2021,NORTH CAROLINA,960000
2021,NORTH DAKOTA,4100000
2021,OHIO,3550000
2021,OKLAHOMA,340000
2021,OREGON,95000
2021,OTHER STATES,0
2021,PENNSYLVANIA,1180000
2021,RHODE ISLAND,2000
2021,SOUTH CAROLINA,390000
2021,SOUTH DAKOTA,6150000
2021,TENNESSEE,990000
2021,TEXAS,2150000
2021,UTAH,65000
2021,VERMONT,85000
2021,VIRGINIA,490000
2021,WASHINGTON,165000
2021,WEST VIRGINIA,45000
2021,WISCONSIN,3950000
2021,WYOMING,95000
2020,ALABAMA,320000
2020,ARIZONA,75000
2020,ARKANSAS,620000
2020,CALIFORNIA,440000
2020,COLORADO,1420000
2020,CONNECTICUT,24000
2020,DELAWARE,180000
2020,FLORIDA,100000
2020,GEORGIA,420000
2020,IDAHO,390000
2020,ILLINOIS,11300000
2020,INDIANA,5400000
2020,IOWA,13600000
2020,KANSAS,6100000
2020,KENTUCKY,1470000
2020,LOUISIANA,500000
2020,MAINE,30000
2020,MARYLAND,475000
2020,MASSACHUSETTS,14000
2020,MICHIGAN,2350000
2020,MINNESOTA,8000000
2020,MISSISSIPPI,510000
2020,MISSOURI,3450000
2020,MONTANA,115000
2020,NEBRASKA,10200000
2020,NEVADA,13000
2020,NEW HAMPSHIRE,13000
2020,NEW JERSEY,80000
2020,NEW MEXICO,125000
2020,NEW YORK,1030000
2020,NORTH CAROLINA,990000
2020,NORTH DAKOTA,1950000
2020,OHIO,3550000
2020,OKLAHOMA,360000
2020,OREGON,100000
2020,OTHER STATES,0
2020,PENNSYLVANIA,1320000
2020,RHODE ISLAND,2000
2020,SOUTH CAROLINA,390000
2020,SOUTH DAKOTA,4900000
2020,TENNESSEE,860000
2020,TEXAS,2250000
2020,UTAH,85000
2020,VERMONT,85000
2020,VIRGINIA,540000
2020,WASHINGTON,195000
2020,WEST VIRGINIA,46000
2020,WISCONSIN,3950000
2020,WYOMING,95000
2019,ALABAMA,300000
2019,ARIZONA,90000
2019,ARKANSAS,770000
2019,CALIFORNIA,480000
2019,COLORADO,1550000
2019,CONNECTICUT,23000
2019,DELAWARE,185000
2019,FLORIDA,95000
2019,GEORGIA,395000
2019,IDAHO,390000
2019,ILLINOIS,10500000
2019,INDIANA,4950000
2019,IOWA,13400000
2019,KANSAS,6400000
2019,KENTUCKY,1550000
2019,LOUISIANA,570000
2019,MAINE,29000
2019,MARYLAND,510000
2019,MASSACHUSETTS,14000
2019,MICHIGAN,2000000
2019,MINNESOTA,7800000
2019,MISSISSIPPI,660000
2019,MISSOURI,3200000
2019,MONTANA,115000
2019,NEBRASKA,10100000
2019,NEVADA,15000
2019,NEW HAMPSHIRE,12000
2019,NEW JERSEY,77000
2019,NEW MEXICO,150000
2019,NEW YORK,970000
2019,NORTH CAROLINA,990000
2019,NORTH DAKOTA,3500000
2019,OHIO,2800000
2019,OKLAHOMA,370000
2019,OREGON,85000
2019,OTHER STATES,0
2019,PENNSYLVANIA,1300000
2019,RHODE ISLAND,2000
2019,SOUTH CAROLINA,380000
2019,SOUTH DAKOTA,4350000
2019,TENNESSEE,970000
2019,TEXAS,2500000
2019,UTAH,85000
2019,VERMONT,81000
2019,VIRGINIA,540000
2019,WASHINGTON,170000
2019,WEST VIRGINIA,52000
2019,WISCONSIN,3800000
2019,WYOMING,95000
2018,ALABAMA,255000
2018,ARIZONA,80000
2018,ARKANSAS,660000
2018,CALIFORNIA,430000
2018,COLORADO,1460000
2018,CONNECTICUT,23000
2018,DELAWARE,170000
2018,FLORIDA,95000
2018,GEORGIA,325000
2018,IDAHO,350000
2018,ILLINOIS,11000000
2018,INDIANA,5300000
2018,IOWA,13200000
2018,KANSAS,5450000
2018,KENTUCKY,1330000
2018,LOUISIANA,460000
2018,MAINE,30000
2018,MARYLAND,440000
2018,MASSACHUSETTS,14000
2018,MICHIGAN,2250000
2018,MINNESOTA,7900000
2018,MISSISSIPPI,480000
2018,MISSOURI,3500000
2018,MONTANA,115000
2018,NEBRASKA,9600000
2018,NEVADA,13000
2018,NEW HAMPSHIRE,13000
2018,NEW JERSEY,70000
2018,NEW MEXICO,135000
2018,NEW YORK,1070000
2018,NORTH CAROLINA,910000
2018,NORTH DAKOTA,3150000
2018,OHIO,3500000
2018,OKLAHOMA,310000
2018,OREGON,75000
2018,OTHER STATES,0
2018,PENNSYLVANIA,1250000
2018,RHODE ISLAND,2000
2018,SOUTH CAROLINA,340000
2018,SOUTH DAKOTA,5300000
2018,TENNESSEE,720000
2018,TEXAS,2200000
2018,UTAH,70000
2018,VERMONT,85000
2018,VIRGINIA,485000
2018,WASHINGTON,165000
2018,WEST VIRGINIA,46000
2018,WISCONSIN,3900000
2018,WYOMING,95000
2017,ALABAMA,250000
