Year,State,Value
2023,ALABAMA,5.3
2023,ARIZONA,7
2023,ARKANSAS,5.2
2023,CALIFORNIA,6.15
2023,COLORADO,5.3
2023,DELAWARE,4.9
2023,FLORIDA,5.4
2023,GEORGIA,5.75
2023,IDAHO,6.75
2023,ILLINOIS,4.75
2023,INDIANA,4.7
2023,IOWA,4.85
2023,KANSAS,4.9
2023,KENTUCKY,4.9
2023,LOUISIANA,5.55
2023,MARYLAND,4.9
2023,MICHIGAN,4.3
2023,MINNESOTA,4.75
2023,MISSISSIPPI,5.35
2023,MISSOURI,4.8
2023,MONTANA,4.85
2023,NEBRASKA,4.95
2023,NEW JERSEY,4.95
2023,NEW MEXICO,5.9
2023,NEW YORK,4.95
2023,NORTH CAROLINA,5.75
2023,NORTH DAKOTA,4.45
2023,OHIO,4.6
2023,OKLAHOMA,5.65
2023,OREGON,6.75
2023,PENNSYLVANIA,5.1
2023,SOUTH CAROLINA,5.45
2023,SOUTH DAKOTA,4.5
2023,TENNESSEE,4.8
2023,TEXAS,5.6
2023,UTAH,5.9
2023,VIRGINIA,5.3
2023,WASHINGTON,6.75
2023,WEST VIRGINIA,5.2
2023,WISCONSIN,4.4
2023,WYOMING,5.9
2022,ALABAMA,7.36
2022,ARIZONA,8.55
2022,ARKANSAS,6.78
2022,CALIFORNIA,7.7
2022,COLORADO,7.36
2022,DELAWARE,6.68
2022,FLORIDA,7.42
2022,GEORGIA,7.1
2022,IDAHO,7.37
2022,ILLINOIS,6.4
2022,INDIANA,6.48
2022,IOWA,6.62
2022,KANSAS,7.04
2022,KENTUCKY,6.72
2022,LOUISIANA,6.66
2022,MARYLAND,6.53
2022,MICHIGAN,6.16
2022,MINNESOTA,6.27
2022,MISSISSIPPI,6.87
2022,MISSOURI,6.71
2022,MONTANA,7.16
2022,NEBRASKA,6.77
2022,NEW JERSEY,6.51
2022,NEW MEXICO,7.25
2022,NEW YORK,6.62
2022,NORTH CAROLINA,7.34
2022,NORTH DAKOTA,6.16
2022,OHIO,6.28
2022,OKLAHOMA,7.55
2022,OREGON,7.49
2022,PENNSYLVANIA,7
2022,SOUTH CAROLINA,7.31
2022,SOUTH DAKOTA,6.5
2022,TENNESSEE,6.72
2022,TEXAS,7.57
2022,UTAH,7.25
2022,VIRGINIA,7
2022,WASHINGTON,7.05
2022,WEST VIRGINIA,6.9
2022,WISCONSIN,6.11
2022,WYOMING,7.9
2021,ALABAMA,5.91
2021,ARIZONA,7.65
2021,ARKANSAS,5.95
2021,CALIFORNIA,7.3
2021,COLORADO,6.08
2021,DELAWARE,6.55
2021,FLORIDA,6.02
2021,GEORGIA,5.76
2021,IDAHO,6.05
2021,ILLINOIS,5.96
2021,INDIANA,6.07
2021,IOWA,6.1
2021,KANSAS,6.02
2021,KENTUCKY,5.79
2021,LOUISIANA,5.29
2021,MARYLAND,6.39
2021,MICHIGAN,5.86
2021,MINNESOTA,5.91
2021,MISSISSIPPI,5.59
2021,MISSOURI,6.15
2021,MONTANA,6.9
2021,NEBRASKA,5.96
2021,NEW JERSEY,6.48
2021,NEW MEXICO,5.75
2021,NEW YORK,6.5
2021,NORTH CAROLINA,6.3
2021,NORTH DAKOTA,5.86
2021,OHIO,5.92
2021,OKLAHOMA,6.14
2021,OREGON,7.23
2021,PENNSYLVANIA,6.65
2021,SOUTH CAROLINA,5.94
2021,SOUTH DAKOTA,6.11
2021,TENNESSEE,5.67
2021,TEXAS,6.18
2021,UTAH,6.55
2021,VIRGINIA,6.4
2021,WASHINGTON,6.31
2021,WEST VIRGINIA,6.1
2021,WISCONSIN,6
2021,WYOMING,6
2020,ALABAMA,5.14
2020,ARIZONA,5.4
2020,ARKANSAS,4.49
2020,CALIFORNIA,4.75
2020,COLORADO,4.62
2020,DELAWARE,5.6
2020,FLORIDA,5.67
2020,GEORGIA,5.08
2020,IDAHO,4.8
2020,ILLINOIS,4.46
2020,INDIANA,4.65
2020,IOWA,4.64
2020,KANSAS,4.35
2020,KENTUCKY,4.52
2020,LOUISIANA,3.74
2020,MARYLAND,5.6
2020,MICHIGAN,4.72
2020,MINNESOTA,4.52
