Year,State,Value
2023,ALABAMA,278144000
2023,ARIZONA,54796000
2023,ARKANSAS,789828000
2023,CALIFORNIA,43788000
2023,COLORADO,656299000
2023,DELAWARE,159289000
2023,FLORIDA,52898000
2023,GEORGIA,440220000
2023,IDAHO,157579000
2023,ILLINOIS,10812425000
2023,INDIANA,5066271000
2023,IOWA,12234368000
2023,KANSAS,3002965000
2023,KENTUCKY,1374450000
2023,LOUISIANA,660450000
2023,MARYLAND,355740000
2023,MICHIGAN,1488144000
2023,MINNESOTA,7188175000
2023,MISSISSIPPI,745630000
2023,MISSOURI,2695248000
2023,MONTANA,42544000
2023,NEBRASKA,8558550000
2023,NEW JERSEY,54054000
2023,NEW MEXICO,42982000
2023,NEW YORK,472230000
2023,NORTH CAROLINA,760725000
2023,NORTH DAKOTA,2418130000
2023,OHIO,3096720000
2023,OKLAHOMA,286229000
2023,OREGON,79448000
2023,PENNSYLVANIA,544476000
2023,SOUTH CAROLINA,286125000
2023,SOUTH DAKOTA,3844080000
2023,TENNESSEE,739056000
2023,TEXAS,1434720000
2023,UTAH,29471000
2023,VIRGINIA,312038000
2023,WASHINGTON,121500000
2023,WEST VIRGINIA,24128000
2023,WISCONSIN,2431616000
2023,WYOMING,51454000
2022,ALABAMA,251859000
2022,ARIZONA,84645000
2022,ARKANSAS,815193000
2022,CALIFORNIA,27258000
2022,COLORADO,863843000
2022,DELAWARE,177154000
2022,FLORIDA,68145000
2022,GEORGIA,465938000
2022,IDAHO,167152000
2022,ILLINOIS,14517760000
2022,INDIANA,6316056000
2022,IOWA,16351400000
2022,KANSAS,3594624000
2022,KENTUCKY,1394266000
2022,LOUISIANA,492507000
2022,MARYLAND,387882000
2022,MICHIGAN,2007667000
2022,MINNESOTA,9157649000
2022,MISSISSIPPI,640456000
2022,MISSOURI,3359764000
2022,MONTANA,55332000
2022,NEBRASKA,9852381000
2022,NEW JERSEY,43044000
2022,NEW MEXICO,38889000
2022,NEW YORK,531123000
2022,NORTH CAROLINA,716751000
2022,NORTH DAKOTA,2122120000
2022,OHIO,3734465000
2022,OKLAHOMA,184220000
2022,OREGON,79881000
2022,PENNSYLVANIA,632100000
2022,SOUTH CAROLINA,267546000
2022,SOUTH DAKOTA,4298580000
2022,TENNESSEE,685776000
2022,TEXAS,1157832000
2022,UTAH,16748000
2022,VIRGINIA,379925000
2022,WASHINGTON,124080000
2022,WEST VIRGINIA,34776000
2022,WISCONSIN,3288402000
2022,WYOMING,67687000
2021,ALABAMA,308266000
2021,ARIZONA,24924000
2021,ARKANSAS,908684000
2021,CALIFORNIA,68620000
2021,COLORADO,894125000
2021,DELAWARE,201268000
2021,FLORIDA,69928000
2021,GEORGIA,456019000
2021,IDAHO,146108000
2021,ILLINOIS,13062532000
2021,INDIANA,6237836000
2021,IOWA,15492780000
2021,KANSAS,4518612000
2021,KENTUCKY,1578586000
2021,LOUISIANA,546960000
2021,MARYLAND,464074000
2021,MICHIGAN,2029084000
2021,MINNESOTA,8148885000
2021,MISSISSIPPI,708253000
2021,MISSOURI,3354026000
2021,MONTANA,41400000
2021,NEBRASKA,11053654000
2021,NEW JERSEY,72881000
2021,NEW MEXICO,41262000
2021,NEW YORK,624163000
2021,NORTH CAROLINA,849524000
2021,NORTH DAKOTA,2233539000
2021,OHIO,3816150000
2021,OKLAHOMA,271695000
2021,OREGON,95436000
2021,PENNSYLVANIA,955273000
2021,SOUTH CAROLINA,305494000
2021,SOUTH DAKOTA,4486695000
2021,TENNESSEE,896427000
2021,TEXAS,1463424000
2021,UTAH,19932000
2021,VIRGINIA,353280000
2021,WASHINGTON,133015000
2021,WEST VIRGINIA,28987000
2021,WISCONSIN,3240000000
2021,WYOMING,62568000
2020,ALABAMA,251757000
2020,ARIZONA,31633000
2020,ARKANSAS,499827000
2020,CALIFORNIA,53295000
2020,COLORADO,568075000
2020,DELAWARE,157696000
2020,FLORIDA,47730000
2020,GEORGIA,356616000
2020,IDAHO,124176000
2020,ILLINOIS,9455646000
2020,INDIANA,4565138000
2020,IOWA,10594512000
2020,KANSAS,3334188000
2020,KENTUCKY,1131085000
2020,LOUISIANA,328316000
2020,MARYLAND,364560000
2020,MICHIGAN,1429877000
2020,MINNESOTA,6483533000
2020,MISSISSIPPI,355446000
2020,MISSOURI,2559384000
2020,MONTANA,29256000
2020,NEBRASKA,7917264000
2020,NEW JERSEY,64912000
2020,NEW MEXICO,33911000
2020,NEW YORK,526735000
2020,NORTH CAROLINA,499234000
2020,NORTH DAKOTA,1098545000
2020,OHIO,2646567000
2020,OKLAHOMA,187920000
2020,OREGON,85374000
2020,PENNSYLVANIA,688144000
2020,SOUTH CAROLINA,212942000
2020,SOUTH DAKOTA,3150333000
2020,TENNESSEE,651185000
2020,TEXAS,1047194000
2020,UTAH,23117000
2020,VIRGINIA,251991000
2020,WASHINGTON,91086000
2020,WEST VIRGINIA,22334000
2020,WISCONSIN,2250592000
2020,WYOMING,26023000
2019,ALABAMA,167161000
2019,ARIZONA,46154000
2019,ARKANSAS,496493000
2019,CALIFORNIA,46368000
2019,COLORADO,588432000
2019,DELAWARE,124614000
2019,FLORIDA,38167000
2019,GEORGIA,253680000
2019,IDAHO,137453000
2019,ILLINOIS,6554010000
2019,INDIANA,3095539000
2019,IOWA,8974350000
2019,KANSAS,2850350000
2019,KENTUCKY,960596000
2019,LOUISIANA,347111000
2019,MARYLAND,318458000
2019,MICHIGAN,882779000
2019,MINNESOTA,4112490000
2019,MISSISSIPPI,413059000
2019,MISSOURI,1695173000
2019,MONTANA,21090000
2019,NEBRASKA,6284678000
2019,NEW JERSEY,45322000
2019,NEW MEXICO,28512000
2019,NEW YORK,345072000
2019,NORTH CAROLINA,455244000
2019,NORTH DAKOTA,1258792000
2019,OHIO,1647987000
2019,OKLAHOMA,180840000
2019,OREGON,50400000
2019,PENNSYLVANIA,587658000
2019,SOUTH CAROLINA,172144000
2019,SOUTH DAKOTA,1850170000
2019,TENNESSEE,608845000
2019,TEXAS,1200990000
2019,UTAH,15987000
2019,VIRGINIA,224352000
2019,WASHINGTON,82220000
2019,WEST VIRGINIA,25707000
2019,WISCONSIN,1520245000
2019,WYOMING,28431000
2018,ALABAMA,157084000
2018,ARIZONA,21824000
2018,ARKANSAS,443631000
2018,CALIFORNIA,49478000
2018,COLORADO,567987000
2018,DELAWARE,98332000
2018,FLORIDA,43511000
2018,GEORGIA,218196000
2018,IDAHO,117683000
2018,ILLINOIS,8210160000
2018,INDIANA,3657830000
2018,IOWA,8971410000
2018,KANSAS,2299864000
2018,KENTUCKY,819840000
2018,LOUISIANA,300501000
2018,MARYLAND,228023000
2018,MICHIGAN,1051718000
2018,MINNESOTA,4711288000
2018,MISSISSIPPI,323380000
2018,MISSOURI,1700160000
2018,MONTANA,21906000
2018,NEBRASKA,6392448000
2018,NEW JERSEY,32994000
2018,NEW MEXICO,28144000
2018,NEW YORK,400171000
2018,NORTH CAROLINA,411738000
2018,NORTH DAKOTA,1488323000
2018,OHIO,2307954000
2018,OKLAHOMA,139655000
2018,OREGON,32214000
2018,PENNSYLVANIA,505134000
2018,SOUTH CAROLINA,177165000
2018,SOUTH DAKOTA,2628288000
2018,TENNESSEE,423226000
2018,TEXAS,780570000
2018,UTAH,17257000
2018,VIRGINIA,192647000
2018,WASHINGTON,75953000
2018,WEST VIRGINIA,20465000
2018,WISCONSIN,1919245000
2018,WYOMING,42361000
