GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,24400883,25482147,25913395,27099319,28954893,30243310,31351821,32896950,34096644,33968748,35249472,35689938,36396595,37091072,38002160,39611103,39637973,40667553,41891542,43534091,46610952,51154481,51895808
Alaska,6681457,6913732,7083467,7376564,7559004,7928756,8237206,8728445,9560052,9667984,10548357,11430290,12004094,12055116,12839750,13112174,12933678,13222978,13737414,14143805,14229425,14979769,15625885
Arizona,5156942,5598184,5832369,6414318,6610637,7101803,7620966,8263485,8944239,9153273,9332290,9679430,9629979,9837675,10133103,10442393,10734464,11352526,11919675,12306365,13930128,15245490,15603237
Arkansas,22457841,23666519,23797888,25065231,26385312,26859554,28088683,29816085,31231650,30649561,31729074,33169967,34239207,34833648,35817543,35668371,35882541,37081118,38050418,39041800,42318332,46128972,46475245
California,19215168,20881249,21555225,22686871,24039710,24697286,26104372,27515653,28311510,28444252,29984385,30580610,30781099,31205342,32669336,34514007,35747106,36957881,38019561,39802057,43937620,46868170,46379686
Colorado,16743932,18146702,18298282,18892215,19768881,21268744,23046775,25268512,26301743,24828010,24544727,26379534,27277150,28815079,31005592,32799651,33245833,34237608,36837112,38849831,40843143,45949963,47746504
Connecticut,7106105,7697724,7689520,7823908,8103731,8390742,8984935,9445591,9637362,9240464,9385987,9852604,10170898,10062121,10249265,10518576,10675399,10808799,11117423,11958598,13112258,14144655,14879454
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,13212326,14025798,14328373,14932017,16025935,17257318,18357414,19276526,19554087,18879153,20053512,20634036,21056367,20649528,21765516,22688908,23298857,24839389,26229800,27395656,29397554,32445144,33422037
Georgia,33839724,35171711,36231906,37685871,39445089,41459623,42979028,45320909,47020471,46855765,47821890,50185300,51047550,51680648,53436517,56216513,57364890,60033683,62013353,64677349,70673115,77705818,78706915
Hawaii,4729562,4983155,5257618,5575245,6164939,6748836,7267586,7779298,8243915,7920663,8136852,8437192,8651231,8931050,9480636,10103881,10522511,11146258,11602481,12271612,13022831,14513606,14392479
Idaho,8747560,9187033,9454406,9705082,10484580,10942898,11861708,12819607,13421899,12800137,13277904,14168036,14766219,15210983,15883501,16640252,17025129,17666299,18627928,20452297,22634423,25165177,26994200
Illinois,36447497,38323873,38467582,39750220,42021794,41894665,43863291,46295896,49336688,48782220,51326608,54579272,54027521,56918446,55668796,55415344,56682191,57889021,60022595,61110316,66946182,73779392,73435716
Indiana,35845844,36653619,37046780,38239185,40182671,40803839,42427552,44138094,46353610,44511218,46395385,49188002,51031187,52533933,54123223,55137792,55781901,57745132,60120616,61778455,66984227,73755700,75203240
Iowa,32460843,33113207,33624109,34088386,37460158,37902234,39916117,42833024,45710521,43654849,45145802,50003862,51632739,53222230,53684750,54870339,53900604,54967466,57455696,57829403,60962208,68992847,72680220
Kansas,22157646,23345470,22963538,24442312,24842360,26296508,27476761,29471443,32423579,31294285,33150133,36111030,36454027,38165706,37135156,36409837,36445856,36702729,38250203,39323941,42999735,45744140,44318629
Kentucky,35727917,37207436,38002388,38992652,41476190,43561314,45475358,47372467,50315883,50578846,52307728,54480077,55168879,55891128,58015114,59958043,60102110,61486469,62997489,65696347,72389015,79257221,78865918
Louisiana,14368265,15438752,15854588,16498568,17607229,19020373,20309311,21632621,23310350,23377684,24336500,25107145,25778026,25945544,25998104,25982349,25839548,26624756,27432970,28291832,30748625,32681702,32207494
Maine,13496410,14275770,14771030,15443021,16094029,16466526,17132214,17769661,18672280,18879727,19297443,19993202,19996432,19880621,20511059,21263329,21750318,22436078,23218157,24392940,26673373,28989816,29985843
Maryland,4057747,4360784,4498728,4750991,5233262,5484289,5820063,6115502,6360717,6276884,6323479,6635862,6703569,6821410,7045339,7237577,7396649,7621674,7883097,8285791,8760212,9702614,9894855
Massachusetts,970815,1285960,1316410,1343434,1413328,1440549,1567272,1592415,1624908,1669344,1707688,1871712,1999178,2010745,2123338,2243947,2374733,2476908,2676012,2876921,3078714,3284242,3314321
Michigan,42465378,43372475,43965577,45267198,47272792,48527294,49967650,51773629,54434427,53284422,55764989,58540698,59816905,60801632,62757545,65594680,66989025,69156444,72001743,74380370,82548455,88980987,88683875
Minnesota,29587611,31010251,31937177,33796394,35987826,36616631,37782103,39927026,43405474,42318740,44622402,47749373,50659698,50505987,51422113,53431875,53100562,55294845,57449536,58636418,65034083,71008113,72621322
Mississippi,31416432,33455432,33801850,35003601,37056187,38802315,40326756,42337320,44516426,44077459,45710057,47561218,49238557,50316184,50795739,51096835,51827195,53374647,54651101,56616256,61003493,66407750,65085666
Missouri,30704897,31999258,32530345,34240053,36999910,37738397,39482785,41450759,44280601,44674660,45440747,47498277,48123398,49662557,50824346,50961539,51598162,52858883,54173354,56227414,61077741,65959341,66608181
Montana,12588408,13210947,13538749,14702276,16057246,17448855,18896078,20382880,21650690,20839485,22177932,23784406,25189778,25534761,26700263,27581519,28127840,29781795,31352605,33589205,36755855,40948439,43740316
Nebraska,17120562,18200944,17929054,19823211,20126792,20780237,20726649,22953424,24636020,24297804,25255817,29681833,29558311,30893927,31653419,32579498,31215482,30590677,31584221,33411089,36280236,40506269,40055051
