Year,State,Value
2023,ALABAMA,350000
2023,ARKANSAS,2980000
2023,DELAWARE,150000
2023,GEORGIA,160000
2023,ILLINOIS,10350000
2023,INDIANA,5500000
2023,IOWA,9950000
2023,KANSAS,4430000
2023,KENTUCKY,1830000
2023,LOUISIANA,1030000
2023,MARYLAND,470000
2023,MICHIGAN,2040000
2023,MINNESOTA,7350000
2023,MISSISSIPPI,2180000
2023,MISSOURI,5600000
2023,NEBRASKA,5250000
2023,NEW JERSEY,100000
2023,NEW YORK,350000
2023,NORTH CAROLINA,1640000
2023,NORTH DAKOTA,6200000
2023,OHIO,4750000
2023,OKLAHOMA,460000
2023,OTHER STATES,0
2023,PENNSYLVANIA,570000
2023,SOUTH CAROLINA,395000
2023,SOUTH DAKOTA,5100000
2023,TENNESSEE,1600000
2023,TEXAS,125000
2023,VIRGINIA,580000
2023,WISCONSIN,2110000
2022,ALABAMA,360000
2022,ARKANSAS,3180000
2022,DELAWARE,160000
2022,GEORGIA,165000
2022,ILLINOIS,10800000
2022,INDIANA,5850000
2022,IOWA,10100000
2022,KANSAS,5050000
2022,KENTUCKY,1950000
2022,LOUISIANA,1260000
2022,MARYLAND,520000
2022,MICHIGAN,2250000
2022,MINNESOTA,7450000
2022,MISSISSIPPI,2310000
2022,MISSOURI,6100000
2022,NEBRASKA,5750000
2022,NEW JERSEY,110000
2022,NEW YORK,350000
2022,NORTH CAROLINA,1700000
2022,NORTH DAKOTA,5700000
2022,OHIO,5100000
2022,OKLAHOMA,545000
2022,PENNSYLVANIA,600000
2022,SOUTH CAROLINA,405000
2022,SOUTH DAKOTA,5100000
2022,TENNESSEE,1650000
2022,TEXAS,155000
2022,VIRGINIA,620000
2022,WISCONSIN,2160000
2021,ALABAMA,310000
2021,ARKANSAS,3040000
2021,DELAWARE,155000
2021,GEORGIA,140000
2021,ILLINOIS,10600000
2021,INDIANA,5650000
2021,IOWA,10100000
2021,KANSAS,4850000
2021,KENTUCKY,1850000
2021,LOUISIANA,1080000
2021,MARYLAND,490000
2021,MICHIGAN,2150000
2021,MINNESOTA,7650000
2021,MISSISSIPPI,2220000
2021,MISSOURI,5700000
2021,NEBRASKA,5600000
2021,NEW JERSEY,100000
2021,NEW YORK,325000
2021,NORTH CAROLINA,1650000
2021,NORTH DAKOTA,7250000
2021,OHIO,4900000
2021,OKLAHOMA,580000
2021,OTHER STATES,0
2021,PENNSYLVANIA,600000
2021,SOUTH CAROLINA,395000
2021,SOUTH DAKOTA,5450000
2021,TENNESSEE,1550000
2021,TEXAS,110000
2021,VIRGINIA,600000
2021,WISCONSIN,2100000
2020,ALABAMA,280000
2020,ARKANSAS,2820000
2020,DELAWARE,150000
2020,GEORGIA,100000
2020,ILLINOIS,10300000
2020,INDIANA,5750000
2020,IOWA,9450000
2020,KANSAS,4800000
2020,KENTUCKY,1850000
2020,LOUISIANA,1050000
2020,MARYLAND,485000
2020,MICHIGAN,2200000
2020,MINNESOTA,7450000
2020,MISSISSIPPI,2090000
2020,MISSOURI,5850000
2020,NEBRASKA,5200000
2020,NEW JERSEY,94000
2020,NEW YORK,315000
2020,NORTH CAROLINA,1600000
2020,NORTH DAKOTA,5750000
2020,OHIO,4950000
2020,OKLAHOMA,560000
2020,OTHER STATES,0
2020,PENNSYLVANIA,640000
2020,SOUTH CAROLINA,310000
2020,SOUTH DAKOTA,4950000
2020,TENNESSEE,1650000
2020,TEXAS,120000
2020,VIRGINIA,570000
2020,WISCONSIN,2020000
2019,ALABAMA,265000
2019,ARKANSAS,2650000
2019,DELAWARE,155000
2019,GEORGIA,100000
2019,ILLINOIS,9950000
2019,INDIANA,5400000
2019,IOWA,9200000
2019,KANSAS,4550000
2019,KENTUCKY,1700000
2019,LOUISIANA,890000
2019,MARYLAND,480000
2019,MICHIGAN,1760000
2019,MINNESOTA,6850000
2019,MISSISSIPPI,1660000
2019,MISSOURI,5100000
2019,NEBRASKA,4900000
2019,NEW JERSEY,95000
2019,NEW YORK,235000
2019,NORTH CAROLINA,1540000
2019,NORTH DAKOTA,5600000
2019,OHIO,4300000
2019,OKLAHOMA,465000
2019,OTHER STATES,0
2019,PENNSYLVANIA,620000
2019,SOUTH CAROLINA,335000
2019,SOUTH DAKOTA,3500000
2019,TENNESSEE,1400000
2019,TEXAS,80000
2019,VIRGINIA,570000
2019,WISCONSIN,1750000
2018,ALABAMA,345000
2018,ARKANSAS,3270000
2018,DELAWARE,170000
2018,FLORIDA,18000
2018,GEORGIA,145000
2018,ILLINOIS,10800000
2018,INDIANA,6000000
2018,IOWA,9950000
2018,KANSAS,4750000
2018,KENTUCKY,1950000
2018,LOUISIANA,1340000
2018,MARYLAND,530000
2018,MICHIGAN,2330000
2018,MINNESOTA,7750000
2018,MISSISSIPPI,2230000
2018,MISSOURI,5850000
2018,NEBRASKA,5650000
2018,NEW JERSEY,110000
2018,NEW YORK,335000
2018,NORTH CAROLINA,1650000
2018,NORTH DAKOTA,6900000
2018,OHIO,5050000
2018,OKLAHOMA,640000
2018,OTHER STATES,0
2018,PENNSYLVANIA,640000
2018,SOUTH CAROLINA,390000
2018,SOUTH DAKOTA,5650000
2018,TENNESSEE,1700000
2018,TEXAS,175000
2018,VIRGINIA,600000
2018,WEST VIRGINIA,29000
2018,WISCONSIN,2220000
2017,ALABAMA,350000
2017,ARKANSAS,3530000
2017,DELAWARE,160000
2017,FLORIDA,15000
2017,GEORGIA,155000
2017,ILLINOIS,10600000
2017,INDIANA,5950000
2017,IOWA,10000000
2017,KANSAS,5150000
2017,KENTUCKY,1950000
2017,LOUISIANA,1270000
2017,MARYLAND,500000
2017,MICHIGAN,2280000
2017,MINNESOTA,8150000
2017,MISSISSIPPI,2190000
2017,MISSOURI,5950000
2017,NEBRASKA,5700000
2017,NEW JERSEY,100000
2017,NEW YORK,270000
2017,NORTH CAROLINA,1700000
2017,NORTH DAKOTA,7100000
2017,OHIO,5100000
2017,OKLAHOMA,655000
2017,OTHER STATES,0
2017,PENNSYLVANIA,610000
2017,SOUTH CAROLINA,400000
2017,SOUTH DAKOTA,5650000
2017,TENNESSEE,1690000
2017,TEXAS,210000
2017,VIRGINIA,600000
2017,WEST VIRGINIA,27000
2017,WISCONSIN,2150000
2016,ALABAMA,420000
2016,ARKANSAS,3130000
2016,DELAWARE,165000
2016,FLORIDA,31000
2016,GEORGIA,260000
2016,ILLINOIS,10100000
2016,INDIANA,5650000
2016,IOWA,9500000
2016,KANSAS,4050000
2016,KENTUCKY,1790000
2016,LOUISIANA,1230000
