Year,State,Value
2023,ALABAMA,14620000
2023,ARKANSAS,159300000
2023,DELAWARE,6808000
2023,GEORGIA,6665000
2023,ILLINOIS,648900000
2023,INDIANA,334280000
2023,IOWA,573040000
2023,KANSAS,103480000
2023,KENTUCKY,100100000
2023,LOUISIANA,39200000
2023,MARYLAND,21620000
2023,MICHIGAN,92920000
2023,MINNESOTA,349440000
2023,MISSISSIPPI,119280000
2023,MISSOURI,264960000
2023,NEBRASKA,266770000
2023,NEW JERSEY,4214000
2023,NEW YORK,17340000
2023,NORTH CAROLINA,62370000
2023,NORTH DAKOTA,218680000
2023,OHIO,274340000
2023,OKLAHOMA,10400000
2023,PENNSYLVANIA,26320000
2023,SOUTH CAROLINA,15015000
2023,SOUTH DAKOTA,223080000
2023,TENNESSEE,80070000
2023,TEXAS,2125000
2023,VIRGINIA,21660000
2023,WISCONSIN,105060000
2022,ALABAMA,14555000
2022,ARKANSAS,163280000
2022,DELAWARE,6794000
2022,GEORGIA,6478000
2022,ILLINOIS,677250000
2022,INDIANA,335225000
2022,IOWA,586755000
2022,KANSAS,129800000
2022,KENTUCKY,98940000
2022,LOUISIANA,56870000
2022,MARYLAND,21930000
2022,MICHIGAN,105280000
2022,MINNESOTA,369500000
2022,MISSISSIPPI,123660000
2022,MISSOURI,274820000
2022,NEBRASKA,276850000
2022,NEW JERSEY,3024000
2022,NEW YORK,14625000
2022,NORTH CAROLINA,64680000
2022,NORTH DAKOTA,198450000
2022,OHIO,281940000
2022,OKLAHOMA,6460000
2022,PENNSYLVANIA,25370000
2022,SOUTH CAROLINA,14615000
2022,SOUTH DAKOTA,192660000
2022,TENNESSEE,77760000
2022,TEXAS,1700000
2022,VIRGINIA,25010000
2022,WISCONSIN,116100000
2021,ALABAMA,14030000
2021,ARKANSAS,156000000
2021,DELAWARE,7803000
2021,GEORGIA,6210000
2021,ILLINOIS,683150000
2021,INDIANA,338400000
2021,IOWA,631890000
2021,KANSAS,192000000
2021,KENTUCKY,103040000
2021,LOUISIANA,55120000
2021,MARYLAND,25705000
2021,MICHIGAN,109140000
2021,MINNESOTA,356260000
2021,MISSISSIPPI,117180000
2021,MISSOURI,276360000
2021,NEBRASKA,350910000
2021,NEW JERSEY,4554000
2021,NEW YORK,16960000
2021,NORTH CAROLINA,65200000
2021,NORTH DAKOTA,181560000
2021,OHIO,278160000
2021,OKLAHOMA,12305000
2021,PENNSYLVANIA,31535000
2021,SOUTH CAROLINA,14630000
2021,SOUTH DAKOTA,215600000
2021,TENNESSEE,76000000
2021,TEXAS,3800000
2021,VIRGINIA,27140000
2021,WISCONSIN,113850000
2020,ALABAMA,11275000
2020,ARKANSAS,144200000
2020,DELAWARE,7252000
2020,GEORGIA,3895000
2020,ILLINOIS,615000000
