Year,State,Value
2023,ALABAMA,195822000
2023,ARKANSAS,2086830000
2023,DELAWARE,85781000
2023,GEORGIA,86645000
2023,ILLINOIS,8241030000
2023,INDIANA,4278784000
2023,IOWA,7220304000
2023,KANSAS,1320228000
2023,KENTUCKY,1291290000
2023,LOUISIANA,521360000
2023,MARYLAND,272412000
2023,MICHIGAN,1213940000
2023,MINNESOTA,4368000000
2023,MISSISSIPPI,1598352000
2023,MISSOURI,3364992000
2023,NEBRASKA,3361302000
2023,NEW JERSEY,53939000
2023,NEW YORK,221952000
2023,NORTH CAROLINA,809540000
2023,NORTH DAKOTA,2689764000
2023,OHIO,3456684000
2023,OKLAHOMA,136448000
2023,OTHER STATES,0
2023,PENNSYLVANIA,336896000
2023,SOUTH CAROLINA,208709000
2023,SOUTH DAKOTA,2766192000
2023,TENNESSEE,1016889000
2023,TEXAS,26563000
2023,VIRGINIA,281580000
2023,WISCONSIN,1302744000
2022,ALABAMA,206681000
2022,ARKANSAS,2318576000
2022,DELAWARE,95116000
2022,GEORGIA,95227000
2022,ILLINOIS,9684675000
2022,INDIANA,4827240000
2022,IOWA,8331921000
2022,KANSAS,1856140000
2022,KENTUCKY,1424736000
2022,LOUISIANA,767745000
2022,MARYLAND,307020000
2022,MICHIGAN,1547616000
2022,MINNESOTA,5209950000
2022,MISSISSIPPI,1718874000
2022,MISSOURI,3957408000
2022,NEBRASKA,3931270000
2022,NEW JERSEY,43848000
2022,NEW YORK,210600000
2022,NORTH CAROLINA,931392000
2022,NORTH DAKOTA,2718765000
2022,OHIO,4059936000
2022,OKLAHOMA,90440000
2022,PENNSYLVANIA,367865000
2022,SOUTH CAROLINA,223610000
2022,SOUTH DAKOTA,2716506000
2022,TENNESSEE,1073088000
2022,TEXAS,22270000
2022,VIRGINIA,355142000
2022,WISCONSIN,1602180000
2021,ALABAMA,189405000
2021,ARKANSAS,2012400000
2021,DELAWARE,110803000
2021,GEORGIA,86319000
2021,ILLINOIS,9222525000
2021,INDIANA,4500720000
2021,IOWA,8467326000
2021,KANSAS,2476800000
2021,KENTUCKY,1349824000
2021,LOUISIANA,683488000
2021,MARYLAND,365011000
2021,MICHIGAN,1527960000
2021,MINNESOTA,4773884000
2021,MISSISSIPPI,1453032000
2021,MISSOURI,3813768000
2021,NEBRASKA,4456557000
2021,NEW JERSEY,58747000
2021,NEW YORK,208608000
2021,NORTH CAROLINA,860640000
2021,NORTH DAKOTA,2287656000
2021,OHIO,3782976000
2021,OKLAHOMA,146430000
2021,OTHER STATES,0
2021,PENNSYLVANIA,435183000
2021,SOUTH CAROLINA,213598000
2021,SOUTH DAKOTA,2824360000
2021,TENNESSEE,972800000
2021,TEXAS,44460000
2021,VIRGINIA,369104000
2021,WISCONSIN,1445895000
2020,ALABAMA,131918000
2020,ARKANSAS,1514100000
2020,DELAWARE,84123000
2020,GEORGIA,50635000
2020,ILLINOIS,6703500000
2020,INDIANA,3752577000
2020,IOWA,5616378000
2020,KANSAS,2083825000
2020,KENTUCKY,1092960000
2020,LOUISIANA,540600000
2020,MARYLAND,253518000
2020,MICHIGAN,1229904000
2020,MINNESOTA,4059000000
2020,MISSISSIPPI,1134648000
2020,MISSOURI,3289041000
2020,NEBRASKA,3052656000
2020,NEW JERSEY,49197000
2020,NEW YORK,179806000
2020,NORTH CAROLINA,668192000
2020,NORTH DAKOTA,1976760000
2020,OHIO,3057780000
2020,OKLAHOMA,163620000
2020,OTHER STATES,0
2020,PENNSYLVANIA,327474000
2020,SOUTH CAROLINA,123900000
2020,SOUTH DAKOTA,2331096000
2020,TENNESSEE,874800000
2020,TEXAS,34034000
2020,VIRGINIA,279888000
2020,WISCONSIN,1076192000
2019,ALABAMA,85176000
2019,ARKANSAS,1134384000
2019,DELAWARE,60045000
2019,GEORGIA,22321000
2019,ILLINOIS,4706770000
2019,INDIANA,2438371000
2019,IOWA,4253568000
2019,KANSAS,1542854000
2019,KENTUCKY,693974000
2019,LOUISIANA,359136000
2019,MARYLAND,174515000
2019,MICHIGAN,613705000
2019,MINNESOTA,2469425000
2019,MISSISSIPPI,717200000
2019,MISSOURI,2016525000
2019,NEBRASKA,2341568000
2019,NEW JERSEY,28764000
2019,NEW YORK,91800000
2019,NORTH CAROLINA,460324000
2019,NORTH DAKOTA,1348893000
2019,OHIO,1891439000
2019,OKLAHOMA,107822000
2019,PENNSYLVANIA,254065000
2019,SOUTH CAROLINA,75348000
2019,SOUTH DAKOTA,1201764000
2019,TENNESSEE,576934000
2019,TEXAS,15523000
2019,VIRGINIA,167552000
2019,WISCONSIN,668801000
2018,ALABAMA,113900000
2018,ARKANSAS,1428145000
2018,DELAWARE,57519000
2018,FLORIDA,3596000
2018,GEORGIA,40567000
2018,ILLINOIS,5827395000
2018,INDIANA,2991771000
2018,IOWA,4657061000
2018,KANSAS,1599243000
2018,KENTUCKY,865200000
2018,LOUISIANA,548501000
2018,MARYLAND,198640000
2018,MICHIGAN,935954000
2018,MINNESOTA,3148740000
2018,MISSISSIPPI,1046601000
2018,MISSOURI,2201718000
2018,NEBRASKA,2658604000
2018,NEW JERSEY,33731000
2018,NEW YORK,138580000
2018,NORTH CAROLINA,448675000
2018,NORTH DAKOTA,1910412000
2018,OHIO,2442933000
2018,OKLAHOMA,132552000
2018,PENNSYLVANIA,236055000
2018,SOUTH CAROLINA,87087000
2018,SOUTH DAKOTA,2001267000
2018,TENNESSEE,664869000
2018,TEXAS,32280000
2018,VIRGINIA,205674000
2018,WEST VIRGINIA,12164000
2018,WISCONSIN,888394000
2017,ALABAMA,149654000
2017,ARKANSAS,1743945000
2017,DELAWARE,74053000
2017,FLORIDA,4213000
2017,GEORGIA,60606000
2017,ILLINOIS,5874240000
2017,INDIANA,3082504000
2017,IOWA,5240865000
2017,KANSAS,1724625000
2017,KENTUCKY,997354000
2017,LOUISIANA,652725000
2017,MARYLAND,232254000
2017,MICHIGAN,905900000
2017,MINNESOTA,3523802000
2017,MISSISSIPPI,1120197000
2017,MISSOURI,2773327000
2017,NEBRASKA,2960307000
2017,NEW JERSEY,41432000
2017,NEW YORK,110426000
2017,NORTH CAROLINA,642200000
2017,NORTH DAKOTA,2159838000
2017,OHIO,2423807000
2017,OKLAHOMA,168896000
2017,PENNSYLVANIA,271234000
2017,SOUTH CAROLINA,141086000
2017,SOUTH DAKOTA,2156596000
2017,TENNESSEE,805100000
2017,TEXAS,60921000
2017,VIRGINIA,244024000
2017,WEST VIRGINIA,13198000
2017,WISCONSIN,949411000
2016,ALABAMA,128970000
2016,ARKANSAS,1427611000
2016,DELAWARE,63862000
2016,FLORIDA,9135000
2016,GEORGIA,72720000
2016,ILLINOIS,5799051000
2016,INDIANA,3136895000
2016,IOWA,5290176000
2016,KANSAS,1782365000
2016,KENTUCKY,878430000
2016,LOUISIANA,573110000
2016,MARYLAND,199410000
2016,MICHIGAN,989325000
2016,MINNESOTA,3594900000
2016,MISSISSIPPI,963782000
2016,MISSOURI,2606016000
2016,NEBRASKA,2883897000
2016,NEW JERSEY,33834000
2016,NEW YORK,125558000
2016,NORTH CAROLINA,569380000
2016,NORTH DAKOTA,2229807000
2016,OHIO,2548115000
2016,OKLAHOMA,128122000
2016,PENNSYLVANIA,249757000
2016,SOUTH CAROLINA,121532000
2016,SOUTH DAKOTA,2310912000
2016,TENNESSEE,717363000
2016,TEXAS,41174000
2016,VIRGINIA,203040000
2016,WEST VIRGINIA,12464000
2016,WISCONSIN,1003860000
2015,ALABAMA,179806000
2015,ARKANSAS,1469422000
2015,DELAWARE,63456000
2015,FLORIDA,8816000
2015,GEORGIA,123303000
2015,ILLINOIS,5002301000
2015,INDIANA,2519000000
2015,IOWA,4933467000
2015,KANSAS,1272102000
2015,KENTUCKY,819496000
2015,LOUISIANA,555083000
2015,MARYLAND,187666000
2015,MICHIGAN,873004000
2015,MINNESOTA,3303125000
2015,MISSISSIPPI,1014962000
2015,MISSOURI,1658281000
2015,NEBRASKA,2647016000
2015,NEW JERSEY,28477000
2015,NEW YORK,117781000
2015,NORTH CAROLINA,480525000
2015,NORTH DAKOTA,1578291000
2015,OHIO,2170920000
2015,OKLAHOMA,102300000
2015,PENNSYLVANIA,223681000
2015,SOUTH CAROLINA,84813000
2015,SOUTH DAKOTA,2011341000
2015,TENNESSEE,735025000
2015,TEXAS,25116000
2015,VIRGINIA,188232000
2015,WEST VIRGINIA,10982000
2015,WISCONSIN,808092000
2014,ALABAMA,188000000
2014,ARKANSAS,1679040000
2014,DELAWARE,83453000
2014,FLORIDA,14160000
2014,GEORGIA,121800000
2014,ILLINOIS,5580624000
2014,INDIANA,3079584000
2014,IOWA,4962769000
2014,KANSAS,1353785000
2014,KENTUCKY,872813000
2014,LOUISIANA,859116000
2014,MARYLAND,228119000
2014,MICHIGAN,875670000
2014,MINNESOTA,3004982000
2014,MISSISSIPPI,1252680000
2014,MISSOURI,2596751000
2014,NEBRASKA,2800489000
2014,NEW JERSEY,44640000
2014,NEW YORK,141009000
2014,NORTH CAROLINA,705840000
2014,NORTH DAKOTA,1921867000
2014,OHIO,2536118000
2014,OKLAHOMA,101178000
2014,PENNSYLVANIA,280917000
2014,SOUTH CAROLINA,158620000
2014,SOUTH DAKOTA,2154632000
2014,TENNESSEE,785036000
2014,TEXAS,49641000
2014,VIRGINIA,250272000
2014,WEST VIRGINIA,13260000
2014,WISCONSIN,787600000
2013,ALABAMA,241295000
2013,ARKANSAS,1846314000
2013,DELAWARE,81865000
2013,FLORIDA,14514000
2013,GEORGIA,123890000
2013,ILLINOIS,6256800000
2013,INDIANA,3528162000
2013,IOWA,5513463000
2013,KANSAS,1676544000
2013,KENTUCKY,1087300000
2013,LOUISIANA,727888000
2013,MARYLAND,235104000
2013,MICHIGAN,1102176000
2013,MINNESOTA,3586716000
2013,MISSISSIPPI,1208328000
2013,MISSOURI,2645676000
2013,NEBRASKA,3240977000
2013,NEW JERSEY,43102000
2013,NEW YORK,170803000
2013,NORTH CAROLINA,636333000
2013,NORTH DAKOTA,1751066000
2013,OHIO,2889315000
2013,OKLAHOMA,131812000
2013,PENNSYLVANIA,340795000
2013,SOUTH CAROLINA,117506000
2013,SOUTH DAKOTA,2318625000
2013,TENNESSEE,936975000
2013,TEXAS,29560000
2013,VIRGINIA,300300000
2013,WEST VIRGINIA,13197000
2013,WISCONSIN,773760000
2012,ALABAMA,220095000
2012,ARKANSAS,1959458000
2012,DELAWARE,102816000
2012,FLORIDA,10920000
2012,GEORGIA,117720000
2012,ILLINOIS,5606254000
2012,INDIANA,3311616000
2012,IOWA,6032880000
2012,KANSAS,1256398000
2012,KENTUCKY,852600000
2012,LOUISIANA,762166000
2012,MARYLAND,317015000
2012,MICHIGAN,1197980000
2012,MINNESOTA,4354350000
2012,MISSISSIPPI,1272375000
2012,MISSOURI,2292450000
2012,NEBRASKA,2919899000
2012,NEW JERSEY,50957000
2012,NEW YORK,195187000
2012,NORTH CAROLINA,873740000
2012,NORTH DAKOTA,2284590000
2012,OHIO,3015630000
2012,OKLAHOMA,56160000
2012,PENNSYLVANIA,354432000
2012,SOUTH CAROLINA,182410000
2012,SOUTH DAKOTA,2044232000
2012,TENNESSEE,682404000
2012,TEXAS,41756000
2012,VIRGINIA,341040000
2012,WEST VIRGINIA,14014000
2012,WISCONSIN,999600000
2011,ALABAMA,116820000
2011,ARKANSAS,1553244000
2011,DELAWARE,80959000
2011,FLORIDA,4752000
2011,GEORGIA,35937000
2011,ILLINOIS,5417280000
2011,INDIANA,3056827000
2011,IOWA,5989347000
2011,KANSAS,1251140000
2011,KENTUCKY,715728000
2011,LOUISIANA,423360000
2011,MARYLAND,219434000
2011,MICHIGAN,1044593000
2011,MINNESOTA,3404544000
2011,MISSISSIPPI,842400000
2011,MISSOURI,2377063000
2011,NEBRASKA,3136320000
2011,NEW JERSEY,39543000
2011,NEW YORK,146505000
2011,NORTH CAROLINA,501908000
2011,NORTH DAKOTA,1366596000
2011,OHIO,2832960000
2011,OKLAHOMA,40996000
2011,PENNSYLVANIA,269500000
2011,SOUTH CAROLINA,110160000
2011,SOUTH DAKOTA,1837198000
2011,TENNESSEE,491904000
2011,TEXAS,20520000
2011,VIRGINIA,266200000
2011,WEST VIRGINIA,10131000
2011,WISCONSIN,938308000
2010,ALABAMA,99567000
2010,ARKANSAS,1201725000
2010,DELAWARE,67539000
2010,FLORIDA,7590000
2010,GEORGIA,77571000
2010,ILLINOIS,5499685000
2010,INDIANA,2972808000
2010,IOWA,5557776000
2010,KANSAS,1612875000
2010,KENTUCKY,538764000
2010,LOUISIANA,439110000
2010,MARYLAND,189720000
2010,MICHIGAN,985014000
2010,MINNESOTA,3585555000
2010,MISSISSIPPI,792792000
2010,MISSOURI,2461739000
2010,NEBRASKA,2945250000
2010,NEW JERSEY,25834000
