Year,State,Value
2023,ALABAMA,43.0
2023,ARKANSAS,54.0
2023,DELAWARE,46.0
2023,GEORGIA,43.0
2023,ILLINOIS,63.0
2023,INDIANA,61.0
2023,IOWA,58.0
2023,KANSAS,26.0
2023,KENTUCKY,55.0
2023,LOUISIANA,40.0
2023,MARYLAND,47.0
2023,MICHIGAN,46.0
2023,MINNESOTA,48.0
2023,MISSISSIPPI,56.0
2023,MISSOURI,48.0
2023,NEBRASKA,51.5
2023,NEW JERSEY,43.0
2023,NEW YORK,51.0
2023,NORTH CAROLINA,38.5
2023,NORTH DAKOTA,35.5
2023,OHIO,58.0
2023,OKLAHOMA,26.0
2023,PENNSYLVANIA,47.0
2023,SOUTH CAROLINA,39.0
2023,SOUTH DAKOTA,44.0
2023,TENNESSEE,51.0
2023,TEXAS,25.0
2023,VIRGINIA,38.0
2023,WISCONSIN,51.0
2022,ALABAMA,41.0
2022,ARKANSAS,52.0
2022,DELAWARE,43.0
2022,GEORGIA,41.0
2022,ILLINOIS,63.0
2022,INDIANA,57.5
2022,IOWA,58.5
2022,KANSAS,27.5
2022,KENTUCKY,51.0
2022,LOUISIANA,47.0
2022,MARYLAND,43.0
2022,MICHIGAN,47.0
2022,MINNESOTA,50.0
2022,MISSISSIPPI,54.0
2022,MISSOURI,45.5
2022,NEBRASKA,49.0
2022,NEW JERSEY,28.0
2022,NEW YORK,45.0
2022,NORTH CAROLINA,38.5
2022,NORTH DAKOTA,35.0
2022,OHIO,55.5
2022,OKLAHOMA,17.0
2022,PENNSYLVANIA,43.0
2022,SOUTH CAROLINA,37.0
2022,SOUTH DAKOTA,38.0
2022,TENNESSEE,48.0
2022,TEXAS,20.0
2022,VIRGINIA,41.0
2022,WISCONSIN,54.0
2021,ALABAMA,46.0
2021,ARKANSAS,52.0
2021,DELAWARE,51.0
2021,GEORGIA,46.0
2021,ILLINOIS,65.0
2021,INDIANA,60.0
2021,IOWA,63.0
2021,KANSAS,40.0
2021,KENTUCKY,56.0
2021,LOUISIANA,52.0
2021,MARYLAND,53.0
2021,MICHIGAN,51.0
2021,MINNESOTA,47.0
2021,MISSISSIPPI,54.0
2021,MISSOURI,49.0
2021,NEBRASKA,63.0
2021,NEW JERSEY,46.0
2021,NEW YORK,53.0
2021,NORTH CAROLINA,40.0
2021,NORTH DAKOTA,25.5
2021,OHIO,57.0
2021,OKLAHOMA,23.0
2021,PENNSYLVANIA,53.0
2021,SOUTH CAROLINA,38.0
2021,SOUTH DAKOTA,40.0
2021,TENNESSEE,50.0
2021,TEXAS,38.0
2021,VIRGINIA,46.0
2021,WISCONSIN,55.0
2020,ALABAMA,41.0
2020,ARKANSAS,51.5
2020,DELAWARE,49.0
2020,GEORGIA,41.0
2020,ILLINOIS,60.0
2020,INDIANA,59.0
2020,IOWA,54.0
2020,KANSAS,41.0
2020,KENTUCKY,55.0
2020,LOUISIANA,53.0
2020,MARYLAND,47.0
2020,MICHIGAN,48.0
2020,MINNESOTA,50.0
2020,MISSISSIPPI,54.0
2020,MISSOURI,51.0
2020,NEBRASKA,58.0
2020,NEW JERSEY,46.0
2020,NEW YORK,51.0
2020,NORTH CAROLINA,38.0
2020,NORTH DAKOTA,34.0
2020,OHIO,55.0
2020,OKLAHOMA,30.0
2020,PENNSYLVANIA,46.0
2020,SOUTH CAROLINA,35.0
2020,SOUTH DAKOTA,46.0
2020,TENNESSEE,50.0
2020,TEXAS,34.0
2020,VIRGINIA,42.0
2020,WISCONSIN,52.0
2019,ALABAMA,36.0
2019,ARKANSAS,49.0
2019,DELAWARE,47.0
2019,GEORGIA,29.0
2019,ILLINOIS,54.0
2019,INDIANA,51.0
2019,IOWA,55.0
2019,KANSAS,41.5
2019,KENTUCKY,46.0
2019,LOUISIANA,48.0
2019,MARYLAND,44.0
2019,MICHIGAN,40.5
2019,MINNESOTA,44.0
2019,MISSISSIPPI,50.0
2019,MISSOURI,46.0
2019,NEBRASKA,58.5
2019,NEW JERSEY,37.0
2019,NEW YORK,48.0
2019,NORTH CAROLINA,35.0
2019,NORTH DAKOTA,31.5
2019,OHIO,49.0
2019,OKLAHOMA,29.0
2019,PENNSYLVANIA,49.0
2019,SOUTH CAROLINA,26.0
2019,SOUTH DAKOTA,42.5
2019,TENNESSEE,47.0
2019,TEXAS,28.0
2019,VIRGINIA,34.0
2019,WISCONSIN,47.0
2018,ALABAMA,40.0
2018,ARKANSAS,50.5
2018,DELAWARE,41.5
2018,FLORIDA,37.0
2018,GEORGIA,39.5
2018,ILLINOIS,63.5
2018,INDIANA,57.5
2018,IOWA,56.0
2018,KANSAS,43.0
2018,KENTUCKY,51.0
2018,LOUISIANA,51.5
2018,MARYLAND,47.5
2018,MICHIGAN,47.5
2018,MINNESOTA,49.0
2018,MISSISSIPPI,54.0
2018,MISSOURI,44.5
2018,NEBRASKA,58.0
2018,NEW JERSEY,39.5
2018,NEW YORK,52.0
2018,NORTH CAROLINA,33.0
2018,NORTH DAKOTA,35.0
2018,OHIO,56.0
2018,OKLAHOMA,28.0
2018,OTHER STATES,0.0
2018,PENNSYLVANIA,44.5
2018,SOUTH CAROLINA,29.0
2018,SOUTH DAKOTA,45.0
2018,TENNESSEE,45.5
2018,TEXAS,31.5
2018,VIRGINIA,42.0
2018,WEST VIRGINIA,53.0
2018,WISCONSIN,48.0
2017,ALABAMA,46.0
2017,ARKANSAS,51.0
2017,DELAWARE,51.0
2017,FLORIDA,34.0
2017,GEORGIA,42.0
2017,ILLINOIS,58.0
2017,INDIANA,54.0
2017,IOWA,57.0
2017,KANSAS,37.5
2017,KENTUCKY,53.0
2017,LOUISIANA,54.0
2017,MARYLAND,51.0
2017,MICHIGAN,42.5
2017,MINNESOTA,47.5
2017,MISSISSIPPI,53.0
2017,MISSOURI,49.5
2017,NEBRASKA,57.5
2017,NEW JERSEY,45.0
2017,NEW YORK,45.0
2017,NORTH CAROLINA,40.0
2017,NORTH DAKOTA,34.5
2017,OHIO,49.5
2017,OKLAHOMA,29.0
2017,OTHER STATES,0.0
2017,PENNSYLVANIA,48.0
2017,SOUTH CAROLINA,38.0
2017,SOUTH DAKOTA,43.0
2017,TENNESSEE,50.0
2017,TEXAS,37.0
2017,VIRGINIA,44.0
2017,WEST VIRGINIA,54.0
2017,WISCONSIN,47.5
2016,ALABAMA,32.0
2016,ARKANSAS,47.0
2016,DELAWARE,41.5
2016,FLORIDA,36.0
2016,GEORGIA,30.0
2016,ILLINOIS,59.0
2016,INDIANA,57.5
2016,IOWA,60.0
2016,KANSAS,48.0
2016,KENTUCKY,50.0
2016,LOUISIANA,48.5
2016,MARYLAND,41.5
2016,MICHIGAN,50.5
2016,MINNESOTA,52.0
2016,MISSISSIPPI,48.0
2016,MISSOURI,49.0
2016,NEBRASKA,61.0
2016,NEW JERSEY,36.0
2016,NEW YORK,41.0
2016,NORTH CAROLINA,35.0
2016,NORTH DAKOTA,41.5
2016,OHIO,54.5
2016,OKLAHOMA,29.0
2016,OTHER STATES,0.0
2016,PENNSYLVANIA,44.0
2016,SOUTH CAROLINA,31.0
2016,SOUTH DAKOTA,49.5
2016,TENNESSEE,45.0
2016,TEXAS,31.0
2016,VIRGINIA,36.0
2016,WEST VIRGINIA,51.0
2016,WISCONSIN,55.0
2015,ALABAMA,41.0
2015,ARKANSAS,49.0
2015,DELAWARE,40.0
2015,FLORIDA,38.0
2015,GEORGIA,43.0
2015,ILLINOIS,56.0
2015,INDIANA,50.0
2015,IOWA,56.5
2015,KANSAS,38.5
2015,KENTUCKY,49.0
2015,LOUISIANA,41.0
2015,MARYLAND,40.0
2015,MICHIGAN,49.0
2015,MINNESOTA,50.0
2015,MISSISSIPPI,46.0
2015,MISSOURI,40.5
2015,NEBRASKA,58.0
2015,NEW JERSEY,32.0
2015,NEW YORK,43.0
2015,NORTH CAROLINA,32.0
2015,NORTH DAKOTA,32.5
2015,OHIO,50.0
2015,OKLAHOMA,31.0
2015,OTHER STATES,0.0
2015,PENNSYLVANIA,44.0
2015,SOUTH CAROLINA,26.5
2015,SOUTH DAKOTA,46.0
2015,TENNESSEE,46.0
2015,TEXAS,26.0
2015,VIRGINIA,34.5
2015,WEST VIRGINIA,48.0
2015,WISCONSIN,49.5
2014,ALABAMA,40.0
2014,ARKANSAS,49.5
2014,DELAWARE,47.5
2014,FLORIDA,43.0
2014,GEORGIA,40.0
2014,ILLINOIS,56.0
2014,INDIANA,55.5
2014,IOWA,51.0
2014,KANSAS,35.5
2014,KENTUCKY,47.5
2014,LOUISIANA,56.5
2014,MARYLAND,46.0
2014,MICHIGAN,42.5
2014,MINNESOTA,41.5
2014,MISSISSIPPI,52.0
2014,MISSOURI,46.5
2014,NEBRASKA,54.0
2014,NEW JERSEY,44.0
2014,NEW YORK,44.5
2014,NORTH CAROLINA,40.0
2014,NORTH DAKOTA,34.5
2014,OHIO,52.5
2014,OKLAHOMA,28.0
2014,PENNSYLVANIA,49.0
2014,SOUTH CAROLINA,35.0
2014,SOUTH DAKOTA,45.0
2014,TENNESSEE,46.0
2014,TEXAS,38.5
2014,VIRGINIA,39.5
2014,WEST VIRGINIA,51.0
2014,WISCONSIN,44.0
2013,ALABAMA,43.5
2013,ARKANSAS,43.5
2013,DELAWARE,40.5
2013,FLORIDA,41.0
2013,GEORGIA,40.5
2013,ILLINOIS,50.0
2013,INDIANA,51.5
2013,IOWA,45.5
2013,KANSAS,37.0
2013,KENTUCKY,50.0
2013,LOUISIANA,48.5
2013,MARYLAND,39.5
2013,MICHIGAN,44.5
2013,MINNESOTA,42.0
2013,MISSISSIPPI,46.0
2013,MISSOURI,36.0
2013,NEBRASKA,53.5
2013,NEW JERSEY,39.5
2013,NEW YORK,48.0
2013,NORTH CAROLINA,33.5
2013,NORTH DAKOTA,30.5
2013,OHIO,49.5
2013,OKLAHOMA,30.5
2013,PENNSYLVANIA,49.0
2013,SOUTH CAROLINA,28.5
2013,SOUTH DAKOTA,40.5
2013,TENNESSEE,46.5
2013,TEXAS,25.5
2013,VIRGINIA,38.5
2013,WEST VIRGINIA,46.5
2013,WISCONSIN,39.0
2012,ALABAMA,45.0
2012,ARKANSAS,43.5
2012,DELAWARE,42.5
2012,FLORIDA,39.0
2012,GEORGIA,37.5
2012,ILLINOIS,43.0
2012,INDIANA,44.0
2012,IOWA,45.0
2012,KANSAS,23.0
2012,KENTUCKY,40.0
2012,LOUISIANA,46.5
2012,MARYLAND,47.0
2012,MICHIGAN,43.0
2012,MINNESOTA,43.5
2012,MISSISSIPPI,45.0
2012,MISSOURI,30.0
2012,NEBRASKA,41.5
2012,NEW JERSEY,39.0
2012,NEW YORK,46.0
2012,NORTH CAROLINA,39.5
2012,NORTH DAKOTA,34.5
2012,OHIO,45.0
2012,OKLAHOMA,15.0
2012,PENNSYLVANIA,48.0
2012,SOUTH CAROLINA,34.0
2012,SOUTH DAKOTA,30.5
2012,TENNESSEE,38.0
2012,TEXAS,26.0
2012,VIRGINIA,42.0
2012,WEST VIRGINIA,49.0
2012,WISCONSIN,42.0
2011,ALABAMA,33.0
2011,ARKANSAS,38.5
2011,DELAWARE,39.5
2011,FLORIDA,27.0
2011,GEORGIA,22.0
2011,ILLINOIS,47.5
2011,INDIANA,45.5
2011,IOWA,51.5
2011,KANSAS,27.5
2011,KENTUCKY,39.0
2011,LOUISIANA,36.0
2011,MARYLAND,39.0
2011,MICHIGAN,44.5
2011,MINNESOTA,39.0
2011,MISSISSIPPI,39.0
2011,MISSOURI,36.5
2011,NEBRASKA,54.0
2011,NEW JERSEY,38.0
2011,NEW YORK,43.0
2011,NORTH CAROLINA,30.5
2011,NORTH DAKOTA,29.0
2011,OHIO,48.0
2011,OKLAHOMA,13.0
2011,PENNSYLVANIA,44.0
2011,SOUTH CAROLINA,25.5
2011,SOUTH DAKOTA,37.0
2011,TENNESSEE,32.0
2011,TEXAS,19.0
2011,VIRGINIA,40.0
2011,WEST VIRGINIA,43.0
2011,WISCONSIN,47.0
2010,ALABAMA,26.0
2010,ARKANSAS,35.0
2010,DELAWARE,32.0
2010,FLORIDA,30.0
2010,GEORGIA,26.0
2010,ILLINOIS,51.5
2010,INDIANA,48.5
2010,IOWA,51.0
2010,KANSAS,33.0
2010,KENTUCKY,34.0
2010,LOUISIANA,41.0
2010,MARYLAND,34.0
2010,MICHIGAN,43.5
2010,MINNESOTA,45.0
2010,MISSISSIPPI,38.5
2010,MISSOURI,41.5
2010,NEBRASKA,52.5
2010,NEW JERSEY,24.0
2010,NEW YORK,48.0
2010,NORTH CAROLINA,26.0
2010,NORTH DAKOTA,34.0
2010,OHIO,48.0
2010,OKLAHOMA,25.0
2010,PENNSYLVANIA,42.0
2010,SOUTH CAROLINA,23.0
2010,SOUTH DAKOTA,38.0
2010,TENNESSEE,31.0
2010,TEXAS,30.0
2010,VIRGINIA,26.0
2010,WEST VIRGINIA,30.0
2010,WISCONSIN,50.5
2009,ALABAMA,40.0
2009,ARKANSAS,37.5
2009,DELAWARE,42.0
2009,FLORIDA,38.0
2009,GEORGIA,36.0
2009,ILLINOIS,46.0
2009,INDIANA,49.0
2009,IOWA,51.0
2009,KANSAS,44.5
2009,KENTUCKY,48.0
2009,LOUISIANA,39.0
2009,MARYLAND,42.0
2009,MICHIGAN,40.0
2009,MINNESOTA,40.0
2009,MISSISSIPPI,38.0
2009,MISSOURI,43.5
2009,NEBRASKA,54.5
2009,NEW JERSEY,42.0
2009,NEW YORK,43.0
2009,NORTH CAROLINA,34.0
2009,NORTH DAKOTA,30.0
2009,OHIO,49.0
2009,OKLAHOMA,31.0
2009,PENNSYLVANIA,46.0
2009,SOUTH CAROLINA,24.5
2009,SOUTH DAKOTA,42.0
2009,TENNESSEE,45.0
2009,TEXAS,25.5
2009,VIRGINIA,37.0
2009,WEST VIRGINIA,41.0
2009,WISCONSIN,40.0
2008,ALABAMA,35.0
2008,ARKANSAS,38.0
2008,DELAWARE,27.5
2008,FLORIDA,38.0
2008,GEORGIA,31.0
2008,ILLINOIS,47.0
2008,INDIANA,45.0
2008,IOWA,46.5
2008,KANSAS,37.0
2008,KENTUCKY,34.5
2008,LOUISIANA,33.0
2008,MARYLAND,30.0
2008,MICHIGAN,37.0
2008,MINNESOTA,38.0
2008,MISSISSIPPI,40.0
2008,MISSOURI,38.0
2008,NEBRASKA,46.5
2008,NEW JERSEY,30.0
2008,NEW YORK,46.0
2008,NORTH CAROLINA,33.0
2008,NORTH DAKOTA,28.0
2008,OHIO,36.0
2008,OKLAHOMA,25.0
2008,PENNSYLVANIA,40.0
2008,SOUTH CAROLINA,32.0
2008,SOUTH DAKOTA,34.0
2008,TENNESSEE,34.0
2008,TEXAS,24.5
2008,VIRGINIA,32.0
2008,WEST VIRGINIA,41.0
2008,WISCONSIN,35.0
2007,ALABAMA,21.0
2007,ARKANSAS,36.0
2007,DELAWARE,26.0
2007,FLORIDA,24.0
2007,GEORGIA,30.0
2007,ILLINOIS,43.5
2007,INDIANA,46.0
2007,IOWA,52.0
2007,KANSAS,33.0
2007,KENTUCKY,27.5
2007,LOUISIANA,43.0
2007,MARYLAND,27.5
2007,MICHIGAN,40.0
2007,MINNESOTA,42.5
2007,MISSISSIPPI,40.5
2007,MISSOURI,37.5
2007,NEBRASKA,51.0
2007,NEW JERSEY,31.0
2007,NEW YORK,39.0
2007,NORTH CAROLINA,22.0
2007,NORTH DAKOTA,35.5
2007,OHIO,47.0
2007,OKLAHOMA,26.0
2007,PENNSYLVANIA,41.0
2007,SOUTH CAROLINA,18.5
2007,SOUTH DAKOTA,42.0
2007,TENNESSEE,19.0
2007,TEXAS,37.5
2007,VIRGINIA,27.5
2007,WEST VIRGINIA,33.0
2007,WISCONSIN,40.5
2006,ALABAMA,20.0
2006,ARKANSAS,35.0
2006,DELAWARE,31.5
2006,FLORIDA,27.0
2006,GEORGIA,25.0
2006,ILLINOIS,48.0
2006,INDIANA,50.0
2006,IOWA,50.5
2006,KANSAS,32.0
2006,KENTUCKY,44.0
2006,LOUISIANA,36.0
2006,MARYLAND,34.0
2006,MICHIGAN,46.0
2006,MINNESOTA,44.5
2006,MISSISSIPPI,26.0
2006,MISSOURI,38.0
2006,NEBRASKA,50.0
2006,NEW JERSEY,35.0
2006,NEW YORK,46.0
2006,NORTH CAROLINA,32.0
2006,NORTH DAKOTA,31.5
2006,OHIO,47.0
2006,OKLAHOMA,17.0
2006,PENNSYLVANIA,40.0
2006,SOUTH CAROLINA,29.0
2006,SOUTH DAKOTA,34.0
2006,TENNESSEE,39.0
2006,TEXAS,24.0
2006,VIRGINIA,31.0
2006,WEST VIRGINIA,42.0
2006,WISCONSIN,44.0
2005,ALABAMA,33.0
2005,ARKANSAS,34.0
2005,DELAWARE,26.0
2005,FLORIDA,32.0
2005,GEORGIA,26.0
2005,ILLINOIS,46.5
2005,INDIANA,49.0
2005,IOWA,52.5
2005,KANSAS,37.0
2005,KENTUCKY,43.0
2005,LOUISIANA,34.0
2005,MARYLAND,34.0
2005,MICHIGAN,38.5
2005,MINNESOTA,45.5
2005,MISSISSIPPI,36.5
2005,MISSOURI,37.0
2005,NEBRASKA,50.5
2005,NEW JERSEY,28.0
2005,NEW YORK,42.0
2005,NORTH CAROLINA,27.0
2005,NORTH DAKOTA,36.5
2005,OHIO,45.0
2005,OKLAHOMA,26.0
2005,PENNSYLVANIA,41.0
2005,SOUTH CAROLINA,20.5
2005,SOUTH DAKOTA,35.0
2005,TENNESSEE,38.0
2005,TEXAS,26.0
2005,VIRGINIA,30.5
2005,WEST VIRGINIA,35.0
2005,WISCONSIN,44.0
2004,ALABAMA,35.0
2004,ARKANSAS,39.0
2004,DELAWARE,42.5
2004,FLORIDA,34.0
2004,GEORGIA,31.0
2004,ILLINOIS,50.0
2004,INDIANA,51.5
2004,IOWA,49.0
2004,KANSAS,41.0
2004,KENTUCKY,44.0
2004,LOUISIANA,33.0
2004,MARYLAND,43.0
2004,MICHIGAN,38.0
2004,MINNESOTA,33.0
2004,MISSISSIPPI,37.5
2004,MISSOURI,45.0
2004,NEBRASKA,46.0
2004,NEW JERSEY,42.0
2004,NEW YORK,39.0
2004,NORTH CAROLINA,34.0
2004,NORTH DAKOTA,23.0
2004,OHIO,47.0
2004,OKLAHOMA,30.0
2004,PENNSYLVANIA,46.0
2004,SOUTH CAROLINA,27.0
2004,SOUTH DAKOTA,34.0
2004,TENNESSEE,41.0
2004,TEXAS,32.0
2004,VIRGINIA,39.0
2004,WEST VIRGINIA,46.0
2004,WISCONSIN,34.5
2003,ALABAMA,36.0
2003,ARKANSAS,38.5
2003,DELAWARE,36.0
2003,FLORIDA,30.0
2003,GEORGIA,34.0
2003,ILLINOIS,37.0
2003,INDIANA,38.0
2003,IOWA,32.5
2003,KANSAS,23.0
2003,KENTUCKY,43.5
2003,LOUISIANA,34.0
2003,MARYLAND,37.0
2003,MICHIGAN,27.5
2003,MINNESOTA,32.0
2003,MISSISSIPPI,39.0
2003,MISSOURI,29.5
2003,NEBRASKA,40.5
2003,NEW JERSEY,34.0
2003,NEW YORK,35.0
2003,NORTH CAROLINA,30.0
2003,NORTH DAKOTA,29.0
2003,OHIO,38.5
2003,OKLAHOMA,26.0
2003,PENNSYLVANIA,41.0
2003,SOUTH CAROLINA,28.0
2003,SOUTH DAKOTA,27.5
2003,TENNESSEE,42.0
2003,TEXAS,29.0
2003,VIRGINIA,34.0
2003,WEST VIRGINIA,41.0
2003,WISCONSIN,28.0
2002,ALABAMA,24.0
2002,ARKANSAS,33.5
2002,DELAWARE,25.0
2002,FLORIDA,33.0
2002,GEORGIA,23.0
2002,ILLINOIS,43.0
2002,INDIANA,41.5
2002,IOWA,48.0
2002,KANSAS,23.0
2002,KENTUCKY,33.0
2002,LOUISIANA,32.0
2002,MARYLAND,23.0
2002,MICHIGAN,38.5
2002,MINNESOTA,43.5
2002,MISSISSIPPI,32.0
2002,MISSOURI,34.0
2002,NEBRASKA,38.5
2002,NEW JERSEY,24.0
2002,NEW YORK,32.0
2002,NORTH CAROLINA,24.0
2002,NORTH DAKOTA,33.0
2002,OHIO,32.0
2002,OKLAHOMA,26.0
2002,PENNSYLVANIA,26.0
2002,SOUTH CAROLINA,17.0
2002,SOUTH DAKOTA,31.0
2002,TENNESSEE,31.0
2002,TEXAS,28.0
2002,VIRGINIA,23.0
2002,WEST VIRGINIA,37.0
2002,WISCONSIN,44.0
2001,ALABAMA,35.0
2001,ARKANSAS,32.0
2001,DELAWARE,39.0
2001,FLORIDA,29.0
2001,GEORGIA,26.0
2001,ILLINOIS,45.0
2001,INDIANA,49.0
2001,IOWA,44.0
2001,KANSAS,32.0
2001,KENTUCKY,40.0
2001,LOUISIANA,33.0
2001,MARYLAND,39.0
2001,MICHIGAN,30.0
2001,MINNESOTA,37.0
2001,MISSISSIPPI,33.0
2001,MISSOURI,38.0
2001,NEBRASKA,45.5
2001,NEW JERSEY,31.0
2001,NEW YORK,33.0
2001,NORTH CAROLINA,32.0
2001,NORTH DAKOTA,33.5
2001,OHIO,41.0
2001,OKLAHOMA,19.0
2001,PENNSYLVANIA,35.0
2001,SOUTH CAROLINA,21.0
2001,SOUTH DAKOTA,32.0
2001,TENNESSEE,34.0
2001,TEXAS,26.0
2001,VIRGINIA,35.5
2001,WEST VIRGINIA,42.0
2001,WISCONSIN,37.0
2000,ALABAMA,18.0
2000,ARKANSAS,25.5
2000,DELAWARE,43.0
2000,FLORIDA,19.0
2000,GEORGIA,24.0
2000,ILLINOIS,44.0
2000,INDIANA,46.0
2000,IOWA,43.5
2000,KANSAS,20.0
2000,KENTUCKY,39.0
2000,LOUISIANA,24.0
2000,MARYLAND,43.0
2000,MICHIGAN,36.0
2000,MINNESOTA,41.0
2000,MISSISSIPPI,22.0
2000,MISSOURI,35.0
2000,NEBRASKA,38.0
2000,NEW JERSEY,40.0
2000,NEW YORK,33.0
2000,NORTH CAROLINA,32.5
2000,NORTH DAKOTA,32.0
2000,OHIO,42.0
2000,OKLAHOMA,15.0
2000,PENNSYLVANIA,43.0
2000,SOUTH CAROLINA,25.0
2000,SOUTH DAKOTA,35.0
2000,TENNESSEE,25.0
2000,TEXAS,27.0
2000,VIRGINIA,38.5
2000,WEST VIRGINIA,47.0
2000,WISCONSIN,40.0
