Year,State,Value
2023,ALABAMA,12.6
2023,ARKANSAS,12.8
2023,DELAWARE,11.8
2023,GEORGIA,12.5
2023,ILLINOIS,12.4
2023,INDIANA,12.6
2023,IOWA,12.2
2023,KANSAS,12.3
2023,KENTUCKY,12.8
2023,LOUISIANA,13.3
2023,MARYLAND,11.8
2023,MICHIGAN,12.8
2023,MINNESOTA,12.1
2023,MISSISSIPPI,13.2
2023,MISSOURI,12.4
2023,NEBRASKA,12.2
2023,NEW JERSEY,12.2
2023,NEW YORK,12.5
2023,NORTH CAROLINA,12.7
2023,NORTH DAKOTA,12
2023,OHIO,12.5
2023,OKLAHOMA,12.8
2023,PENNSYLVANIA,12.5
2023,SOUTH CAROLINA,13
2023,SOUTH DAKOTA,12
2023,TENNESSEE,12.6
2023,TEXAS,12.5
2023,VIRGINIA,12.5
2023,WISCONSIN,12.4
2022,ALABAMA,14.2
2022,ARKANSAS,14.2
2022,DELAWARE,14
2022,GEORGIA,14.7
2022,ILLINOIS,14.3
2022,INDIANA,14.4
2022,IOWA,14.2
2022,KANSAS,14.3
2022,KENTUCKY,14.4
2022,LOUISIANA,13.5
2022,MARYLAND,14
2022,MICHIGAN,14.7
2022,MINNESOTA,14.1
2022,MISSISSIPPI,13.9
2022,MISSOURI,14.4
2022,NEBRASKA,14.2
2022,NEW JERSEY,14.5
2022,NEW YORK,14.4
2022,NORTH CAROLINA,14.4
2022,NORTH DAKOTA,13.7
2022,OHIO,14.4
2022,OKLAHOMA,14
2022,PENNSYLVANIA,14.5
2022,SOUTH CAROLINA,15.3
2022,SOUTH DAKOTA,14.1
2022,TENNESSEE,13.8
2022,TEXAS,13.1
2022,VIRGINIA,14.2
2022,WISCONSIN,13.8
2021,ALABAMA,13.5
2021,ARKANSAS,12.9
2021,DELAWARE,14.2
2021,GEORGIA,13.9
2021,ILLINOIS,13.5
2021,INDIANA,13.3
2021,IOWA,13.4
2021,KANSAS,12.9
2021,KENTUCKY,13.1
2021,LOUISIANA,12.4
2021,MARYLAND,14.2
2021,MICHIGAN,14
2021,MINNESOTA,13.4
2021,MISSISSIPPI,12.4
2021,MISSOURI,13.8
2021,NEBRASKA,12.7
2021,NEW JERSEY,12.9
2021,NEW YORK,12.3
2021,NORTH CAROLINA,13.2
2021,NORTH DAKOTA,12.6
2021,OHIO,13.6
2021,OKLAHOMA,11.9
2021,OTHER STATES,0
2021,PENNSYLVANIA,13.8
2021,SOUTH CAROLINA,14.6
2021,SOUTH DAKOTA,13.1
2021,TENNESSEE,12.8
2021,TEXAS,11.7
2021,VIRGINIA,13.6
2021,WISCONSIN,12.7
2020,ALABAMA,11.7
2020,ARKANSAS,10.5
2020,DELAWARE,11.6
2020,FLORIDA, (NA)
2020,GEORGIA,13
2020,ILLINOIS,10.9
2020,INDIANA,11.1
2020,IOWA,11.1
2020,KANSAS,10.7
2020,KENTUCKY,10.8
2020,LOUISIANA,10
2020,MARYLAND,11.6
2020,MICHIGAN,11.7
2020,MINNESOTA,11
2020,MISSISSIPPI,10.2
2020,MISSOURI,11.1
2020,NEBRASKA,10.2
2020,NEW JERSEY,11.5
2020,NEW YORK,11.3
2020,NORTH CAROLINA,11.2
2020,NORTH DAKOTA,10.2
2020,OHIO,11.3
2020,OKLAHOMA,10.1
2020,OTHER STATES,0
2020,PENNSYLVANIA,11.3
2020,SOUTH CAROLINA,12
2020,SOUTH DAKOTA,10.3
2020,TENNESSEE,10.8
2020,TEXAS,9.1
2020,VIRGINIA,11.9
2020,WEST VIRGINIA, (NA)
2020,WISCONSIN,10.4
2019,ALABAMA,9.1
2019,ARKANSAS,8.87
2019,DELAWARE,8.35
2019,FLORIDA, (NA)
2019,GEORGIA,8.95
2019,ILLINOIS,8.84
2019,INDIANA,8.92
2019,IOWA,8.48
2019,KANSAS,8.28
2019,KENTUCKY,8.98
2019,LOUISIANA,8.7
2019,MARYLAND,8.35
2019,MICHIGAN,8.81
2019,MINNESOTA,8.29
2019,MISSISSIPPI,8.8
2019,MISSOURI,8.75
2019,NEBRASKA,8.27
2019,NEW JERSEY,8.45
2019,NEW YORK,8.5
2019,NORTH CAROLINA,8.71
2019,NORTH DAKOTA,7.93
2019,OHIO,9.04
2019,OKLAHOMA,8.45
2019,PENNSYLVANIA,8.5
2019,SOUTH CAROLINA,9.2
2019,SOUTH DAKOTA,8.22
2019,TENNESSEE,8.96
2019,TEXAS,7.7
2019,VIRGINIA,8.8
2019,WEST VIRGINIA, (NA)
2019,WISCONSIN,8.42
2018,ALABAMA,8.5
2018,ARKANSAS,8.81
2018,DELAWARE,8.25
2018,FLORIDA,8.1
2018,GEORGIA,7.9
2018,ILLINOIS,8.74
2018,INDIANA,8.73
2018,IOWA,8.46
2018,KANSAS,7.93
2018,KENTUCKY,8.79
2018,LOUISIANA,8.95
2018,MARYLAND,8.12
2018,MICHIGAN,8.53
2018,MINNESOTA,8.4
2018,MISSISSIPPI,8.85
2018,MISSOURI,8.56
2018,NEBRASKA,8.2
2018,NEW JERSEY,7.98
2018,NEW YORK,8.2
2018,NORTH CAROLINA,8.66
2018,NORTH DAKOTA,7.98
2018,OHIO,8.69
2018,OKLAHOMA,7.89
2018,PENNSYLVANIA,8.42
2018,SOUTH CAROLINA,9.1
2018,SOUTH DAKOTA,7.97
2018,TENNESSEE,8.75
2018,TEXAS,7.59
2018,VIRGINIA,8.3
2018,WEST VIRGINIA,8.5
2018,WISCONSIN,8.49
2017,ALABAMA,9.43
2017,ARKANSAS,9.77
2017,DELAWARE,9.19
2017,FLORIDA,8.85
2017,GEORGIA,9.62
2017,ILLINOIS,9.6
2017,INDIANA,9.61
2017,IOWA,9.25
2017,KANSAS,9
2017,KENTUCKY,9.7
2017,LOUISIANA,9.67
2017,MARYLAND,9.2
2017,MICHIGAN,9.39
2017,MINNESOTA,9.17
2017,MISSISSIPPI,9.74
2017,MISSOURI,9.48
2017,NEBRASKA,9.08
2017,NEW JERSEY,9.3
2017,NEW YORK,9.26
2017,NORTH CAROLINA,9.5
2017,NORTH DAKOTA,8.88
2017,OHIO,9.62
2017,OKLAHOMA,9.1
2017,PENNSYLVANIA,9.34
2017,SOUTH CAROLINA,9.52
2017,SOUTH DAKOTA,8.94
2017,TENNESSEE,9.7
2017,TEXAS,8.9
2017,VIRGINIA,9.4
2017,WEST VIRGINIA,9.4
2017,WISCONSIN,9.34
2016,ALABAMA,9.83
2016,ARKANSAS,9.83
2016,DELAWARE,9.44
2016,FLORIDA,8.75
2016,GEORGIA,10.1
2016,ILLINOIS,9.78
2016,INDIANA,9.69
2016,IOWA,9.34
2016,KANSAS,9.26
2016,KENTUCKY,9.87
2016,LOUISIANA,9.93
2016,MARYLAND,9.33
2016,MICHIGAN,9.51
2016,MINNESOTA,9.23
2016,MISSISSIPPI,9.94
2016,MISSOURI,9.6
2016,NEBRASKA,9.18
2016,NEW JERSEY,9.59
2016,NEW YORK,9.57
2016,NORTH CAROLINA,9.8
2016,NORTH DAKOTA,8.97
2016,OHIO,9.66
2016,OKLAHOMA,9.4
2016,PENNSYLVANIA,9.54
2016,SOUTH CAROLINA,9.68
2016,SOUTH DAKOTA,9.03
2016,TENNESSEE,9.78
2016,TEXAS,9.16
2016,VIRGINIA,9.4
2016,WEST VIRGINIA,9.4
2016,WISCONSIN,9.36
2015,ALABAMA,8.95
2015,ARKANSAS,9.46
2015,DELAWARE,9.17
2015,FLORIDA,8
2015,GEORGIA,9.25
2015,ILLINOIS,9.19
2015,INDIANA,9.16
2015,IOWA,8.91
2015,KANSAS,8.56
2015,KENTUCKY,9.24
2015,LOUISIANA,9.74
2015,MARYLAND,9.11
2015,MICHIGAN,8.82
2015,MINNESOTA,8.75
2015,MISSISSIPPI,9.72
2015,MISSOURI,9.16
2015,NEBRASKA,8.66
2015,NEW JERSEY,8.64
2015,NEW YORK,9.1
2015,NORTH CAROLINA,8.68
2015,NORTH DAKOTA,8.49
2015,OHIO,9.16
2015,OKLAHOMA,8.8
2015,PENNSYLVANIA,8.69
2015,SOUTH CAROLINA,8.65
2015,SOUTH DAKOTA,8.54
2015,TENNESSEE,9.29
2015,TEXAS,8.4
2015,VIRGINIA,8.8
2015,WEST VIRGINIA,8.8
2015,WISCONSIN,8.73
2014,ALABAMA,10
2014,ARKANSAS,10.6
2014,DELAWARE,9.6
2014,FLORIDA,8.9
2014,GEORGIA,10.5
2014,ILLINOIS,10.2
2014,INDIANA,10.2
2014,IOWA,9.96
2014,KANSAS,9.63
2014,KENTUCKY,10.5
2014,LOUISIANA,10.9
2014,MARYLAND,9.82
2014,MICHIGAN,10.1
2014,MINNESOTA,9.96
2014,MISSISSIPPI,11
2014,MISSOURI,9.99
2014,NEBRASKA,9.73
2014,NEW JERSEY,9.85
2014,NEW YORK,9.69
2014,NORTH CAROLINA,10.2
2014,NORTH DAKOTA,9.49
2014,OHIO,10.3
2014,OKLAHOMA,9.9
2014,PENNSYLVANIA,9.8
2014,SOUTH CAROLINA,10.3
2014,SOUTH DAKOTA,9.37
2014,TENNESSEE,10.6
2014,TEXAS,9.55
2014,VIRGINIA,9.9
2014,WEST VIRGINIA,10
2014,WISCONSIN,10
2013,ALABAMA,12.9
2013,ARKANSAS,13.1
2013,DELAWARE,12.4
2013,FLORIDA,11.8
2013,GEORGIA,13.3
2013,ILLINOIS,13.2
2013,INDIANA,13.2
2013,IOWA,13.1
2013,KANSAS,12.8
2013,KENTUCKY,13.1
2013,LOUISIANA,13.4
2013,MARYLAND,12.4
2013,MICHIGAN,12.9
2013,MINNESOTA,12.9
2013,MISSISSIPPI,13.2
2013,MISSOURI,13.1
2013,NEBRASKA,12.7
2013,NEW JERSEY,12.4
2013,NEW YORK,12.8
2013,NORTH CAROLINA,13.1
2013,NORTH DAKOTA,12.4
2013,OHIO,13
2013,OKLAHOMA,12.9
2013,PENNSYLVANIA,13
2013,SOUTH CAROLINA,13.3
2013,SOUTH DAKOTA,12.5
2013,TENNESSEE,13
2013,TEXAS,12.6
2013,VIRGINIA,13
2013,WEST VIRGINIA,12.9
2013,WISCONSIN,12.8
2012,ALABAMA,14.6
2012,ARKANSAS,14.3
2012,DELAWARE,14.4
2012,FLORIDA,14
2012,GEORGIA,14.6
2012,ILLINOIS,14.6
2012,INDIANA,14.7
2012,IOWA,14.4
2012,KANSAS,14.3
2012,KENTUCKY,14.5
2012,LOUISIANA,14.7
2012,MARYLAND,14.2
2012,MICHIGAN,14
2012,MINNESOTA,14.3
2012,MISSISSIPPI,14.5
2012,MISSOURI,14.5
2012,NEBRASKA,14.1
2012,NEW JERSEY,13.9
2012,NEW YORK,13.6
2012,NORTH CAROLINA,14
2012,NORTH DAKOTA,14
2012,OHIO,14.6
2012,OKLAHOMA,14.4
2012,PENNSYLVANIA,14.2
2012,SOUTH CAROLINA,14.5
2012,SOUTH DAKOTA,14.2
2012,TENNESSEE,14.6
2012,TEXAS,14.6
2012,VIRGINIA,14
2012,WEST VIRGINIA,14.3
2012,WISCONSIN,14
2011,ALABAMA,12
2011,ARKANSAS,12.3
2011,DELAWARE,12.2
2011,FLORIDA,11
2011,GEORGIA,12.1
2011,ILLINOIS,12.8
2011,INDIANA,12.7
2011,IOWA,12.6
2011,KANSAS,12.1
2011,KENTUCKY,12.4
2011,LOUISIANA,12
2011,MARYLAND,12.1
2011,MICHIGAN,12.1
2011,MINNESOTA,12.4
2011,MISSISSIPPI,12
2011,MISSOURI,12.5
2011,NEBRASKA,12
2011,NEW JERSEY,12.1
2011,NEW YORK,12.3
2011,NORTH CAROLINA,12.1
2011,NORTH DAKOTA,11.9
2011,OHIO,13
2011,OKLAHOMA,11.9
2011,PENNSYLVANIA,12.5
2011,SOUTH CAROLINA,12
2011,SOUTH DAKOTA,12.2
2011,TENNESSEE,12.2
2011,TEXAS,12
2011,VIRGINIA,12.1
2011,WEST VIRGINIA,12.4
2011,WISCONSIN,12.4
2010,ALABAMA,11.1
2010,ARKANSAS,10.9
2010,DELAWARE,12.2
2010,FLORIDA,11
2010,GEORGIA,11.7
2010,ILLINOIS,11.8
2010,INDIANA,11.5
2010,IOWA,11.2
2010,KANSAS,11.5
2010,KENTUCKY,11.4
2010,LOUISIANA,10.5
2010,MARYLAND,12
2010,MICHIGAN,11.1
2010,MINNESOTA,10.9
2010,MISSISSIPPI,10.4
2010,MISSOURI,11.7
2010,NEBRASKA,11
2010,NEW JERSEY,11.7
2010,NEW YORK,11.4
2010,NORTH CAROLINA,12
2010,NORTH DAKOTA,10.9
2010,OHIO,11.5
2010,OKLAHOMA,11.4
2010,PENNSYLVANIA,12.1
2010,SOUTH CAROLINA,11.8
2010,SOUTH DAKOTA,10.9
2010,TENNESSEE,11.1
2010,TEXAS,10.4
2010,VIRGINIA,12
2010,WEST VIRGINIA,12
2010,WISCONSIN,10.8
2009,ALABAMA,10
2009,ARKANSAS,9.66
2009,DELAWARE,9.6
2009,FLORIDA,9.5
2009,GEORGIA,9.8
2009,ILLINOIS,9.8
2009,INDIANA,9.8
2009,IOWA,9.52
2009,KANSAS,9.38
2009,KENTUCKY,9.9
2009,LOUISIANA,9.66
2009,MARYLAND,9.5
2009,MICHIGAN,9.54
2009,MINNESOTA,9.39
2009,MISSISSIPPI,9.24
2009,MISSOURI,9.61
2009,NEBRASKA,9.48
2009,NEW JERSEY,9.37
2009,NEW YORK,9.1
2009,NORTH CAROLINA,9.59
2009,NORTH DAKOTA,9.26
2009,OHIO,9.78
2009,OKLAHOMA,9.4
2009,PENNSYLVANIA,9.4
2009,SOUTH CAROLINA,9.5
2009,SOUTH DAKOTA,9.18
2009,TENNESSEE,9.74
2009,TEXAS,9.25
2009,VIRGINIA,9.4
2009,WEST VIRGINIA,9.6
2009,WISCONSIN,9.62
2008,ALABAMA,10.3
2008,ARKANSAS,9.64
2008,DELAWARE,9.4
2008,FLORIDA,8.5
2008,GEORGIA,9.5
2008,ILLINOIS,10.2
2008,INDIANA,10.2
2008,IOWA,10.2
2008,KANSAS,9.39
2008,KENTUCKY,10
2008,LOUISIANA,9.52
2008,MARYLAND,9.2
2008,MICHIGAN,9.82
2008,MINNESOTA,10.1
2008,MISSISSIPPI,9.29
2008,MISSOURI,9.74
2008,NEBRASKA,9.79
2008,NEW JERSEY,9.75
2008,NEW YORK,10.3
2008,NORTH CAROLINA,9.33
2008,NORTH DAKOTA,9.71
2008,OHIO,10.3
2008,OKLAHOMA,9.1
2008,PENNSYLVANIA,10.2
2008,SOUTH CAROLINA,9
2008,SOUTH DAKOTA,9.65
2008,TENNESSEE,9.45
2008,TEXAS,9.25
2008,VIRGINIA,9.1
2008,WEST VIRGINIA,9.75
2008,WISCONSIN,9.8
2007,ALABAMA,11.4
2007,ARKANSAS,9.02
2007,DELAWARE,11.5
2007,FLORIDA,8.9
2007,GEORGIA,11.9
2007,ILLINOIS,10.4
2007,INDIANA,10.2
2007,IOWA,10.5
2007,KANSAS,10.1
2007,KENTUCKY,10.1
2007,LOUISIANA,8.43
2007,MARYLAND,11.2
2007,MICHIGAN,9.69
2007,MINNESOTA,10.2
2007,MISSISSIPPI,8.36
2007,MISSOURI,10.1
2007,NEBRASKA,9.92
2007,NEW JERSEY,10.1
2007,NEW YORK,11.2
2007,NORTH CAROLINA,10.1
2007,NORTH DAKOTA,9.63
2007,OHIO,9.93
2007,OKLAHOMA,10
2007,PENNSYLVANIA,10.7
2007,SOUTH CAROLINA,10.9
2007,SOUTH DAKOTA,9.6
2007,TENNESSEE,10.3
2007,TEXAS,10.4
2007,VIRGINIA,11.4
2007,WEST VIRGINIA,11.3
2007,WISCONSIN,9.83
2006,ALABAMA,6.85
2006,ARKANSAS,6.41
2006,DELAWARE,6.6
2006,FLORIDA,6.25
2006,GEORGIA,6.85
2006,ILLINOIS,6.68
2006,INDIANA,6.53
2006,IOWA,6.58
2006,KANSAS,6.37
2006,KENTUCKY,6.68
2006,LOUISIANA,5.94
2006,MARYLAND,6.4
2006,MICHIGAN,6.27
2006,MINNESOTA,6.26
2006,MISSISSIPPI,6.23
2006,MISSOURI,6.47
2006,NEBRASKA,6.05
2006,NEW JERSEY,6.25
2006,NEW YORK,6.19
2006,NORTH CAROLINA,6.35
2006,NORTH DAKOTA,5.98
2006,OHIO,6.46
2006,OKLAHOMA,6.35
2006,PENNSYLVANIA,6.25
2006,SOUTH CAROLINA,6.8
2006,SOUTH DAKOTA,6.03
2006,TENNESSEE,6.3
2006,TEXAS,5.4
2006,VIRGINIA,6.54
2006,WEST VIRGINIA,6.4
2006,WISCONSIN,6.04
2005,ALABAMA,5.95
2005,ARKANSAS,5.92
2005,DELAWARE,5.65
2005,FLORIDA,5.4
2005,GEORGIA,5.5
2005,ILLINOIS,5.76
2005,INDIANA,5.78
2005,IOWA,5.54
2005,KANSAS,5.45
2005,KENTUCKY,5.86
2005,LOUISIANA,5.97
2005,MARYLAND,5.53
2005,MICHIGAN,5.73
2005,MINNESOTA,5.53
2005,MISSISSIPPI,5.92
2005,MISSOURI,5.67
2005,NEBRASKA,5.55
2005,NEW JERSEY,5.65
2005,NEW YORK,5.2
2005,NORTH CAROLINA,5.64
2005,NORTH DAKOTA,5.37
2005,OHIO,5.74
2005,OKLAHOMA,5.45
2005,PENNSYLVANIA,5.6
2005,SOUTH CAROLINA,5.55
2005,SOUTH DAKOTA,5.39
2005,TENNESSEE,5.73
2005,TEXAS,5.45
2005,VIRGINIA,5.53
2005,WEST VIRGINIA,5.49
2005,WISCONSIN,5.64
2004,ALABAMA,6.25
2004,ARKANSAS,5.88
2004,DELAWARE,5.4
2004,FLORIDA,5.6
2004,GEORGIA,5.7
2004,ILLINOIS,5.84
2004,INDIANA,5.66
2004,IOWA,5.76
2004,KANSAS,5.39
2004,KENTUCKY,5.87
2004,LOUISIANA,6.29
2004,MARYLAND,5.35
2004,MICHIGAN,5.72
2004,MINNESOTA,5.9
2004,MISSISSIPPI,6.2
2004,MISSOURI,5.62
2004,NEBRASKA,5.54
2004,NEW JERSEY,5.45
2004,NEW YORK,5.4
2004,NORTH CAROLINA,5.56
2004,NORTH DAKOTA,5.75
2004,OHIO,5.74
2004,OKLAHOMA,5.7
2004,PENNSYLVANIA,5.43
2004,SOUTH CAROLINA,5.6
2004,SOUTH DAKOTA,5.58
2004,TENNESSEE,5.58
